id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C-NF7FIELD,nf7-field,false,false,Field ops,NF-7 field,U-GLORIA,1700000000,4
C-CONSORTIUM,consortium,false,false,Consortium,Coordination,U-GLORIA,1700000100,4
id-00003,Frost violet 3,kelp-3,jade-3,bravo-3,pine-3,iris-3,1002,285
id-00004,Bravo meadow 4,tidal-4,umber-4,delta-4,tidal-4,grove-4,1003,213
id-00005,River zephyr 5,kelp-5,zephyr-5,summit-5,frost-5,violet-5,1004,350
id-00006,Pine jade 6,zephyr-6,alpha-6,river-6,umber-6,jade-6,1005,240
id-00007,Cedar summit 7,willow-7,summit-7,willow-7,cedar-7,frost-7,1006,233
id-00008,Ember delta 8,pine-8,haze-8,jade-8,meadow-8,tidal-8,1007,416
id-00009,Meadow alpha 9,tidal-9,umber-9,haze-9,summit-9,grove-9,1008,578
id-00010,Bravo meadow 10,umber-10,harbor-10,umber-10,coral-10,haze-10,1009,116
id-00011,Violet willow 11,frost-11,summit-11,umber-11,willow-11,orbit-11,1010,848
id-00012,Quartz summit 12,harbor-12,pine-12,coral-12,violet-12,grove-12,1011,232
id-00013,River alpha 13,pine-13,willow-13,iris-13,willow-13,tidal-13,1012,768
id-00014,Meadow umber 14,frost-14,zephyr-14,quartz-14,grove-14,harbor-14,1013,791
id-00015,Zephyr jade 15,pine-15,willow-15,iris-15,quartz-15,willow-15,1014,621
id-00016,Meadow cedar 16,frost-16,coral-16,coral-16,quartz-16,kelp-16,1015,280
id-00017,Umber orbit 17,ember-17,jade-17,harbor-17,cedar-17,bravo-17,1016,107
id-00018,Tidal willow 18,jade-18,river-18,frost-18,haze-18,summit-18,1017,536
id-00019,Orbit grove 19,pine-19,delta-19,meadow-19,coral-19,willow-19,1018,471
id-00020,Umber grove 20,harbor-20,haze-20,iris-20,iris-20,meadow-20,1019,507
id-00021,Pine meadow 21,grove-21,delta-21,zephyr-21,grove-21,pine-21,1020,169
id-00022,Grove river 22,cedar-22,cedar-22,river-22,harbor-22,quartz-22,1021,21
id-00023,Summit frost 23,harbor-23,zephyr-23,delta-23,kelp-23,summit-23,1022,539
id-00024,Orbit alpha 24,violet-24,delta-24,umber-24,grove-24,haze-24,1023,126
id-00025,Grove frost 25,violet-25,tidal-25,harbor-25,meadow-25,alpha-25,1024,619
id-00026,Delta jade 26,willow-26,willow-26,iris-26,jade-26,harbor-26,1025,793
id-00027,Cedar kelp 27,frost-27,violet-27,willow-27,haze-27,quartz-27,1026,774
id-00028,Alpha pine 28,meadow-28,meadow-28,frost-28,iris-28,bravo-28,1027,445
id-00029,Kelp bravo 29,river-29,violet-29,meadow-29,harbor-29,pine-29,1028,424
id-00030,Cedar summit 30,zephyr-30,orbit-30,pine-30,umber-30,haze-30,1029,380
id-00031,Ember zephyr 31,jade-31,delta-31,kelp-31,orbit-31,alpha-31,1030,876
id-00032,Iris alpha 32,cedar-32,kelp-32,alpha-32,coral-32,zephyr-32,1031,760
id-00033,Haze frost 33,violet-33,umber-33,iris-33,zephyr-33,pine-33,1032,418
id-00034,Kelp willow 34,cedar-34,jade-34,iris-34,bravo-34,meadow-34,1033,514
id-00035,Quartz bravo 35,tidal-35,violet-35,jade-35,zephyr-35,harbor-35,1034,772
id-00036,Pine cedar 36,river-36,coral-36,iris-36,pine-36,jade-36,1035,419
id-00037,River alpha 37,harbor-37,bravo-37,orbit-37,orbit-37,summit-37,1036,387
