channel_id,user_id
C-NF7FIELD,U-GLORIA
C-NF7FIELD,U-KARIN
C-NF7FIELD,U-NILS
C-NF7FIELD,U-FRIDA
C-CONSORTIUM,U-GLORIA
C-CONSORTIUM,U-KARIN
C-CONSORTIUM,U-NILS
C-CONSORTIUM,U-FRIDA
channe-00009,userid-00009
channe-00010,userid-00010
channe-00011,userid-00011
channe-00012,userid-00012
channe-00013,userid-00013
channe-00014,userid-00014
channe-00015,userid-00015
channe-00016,userid-00016
channe-00017,userid-00017
channe-00018,userid-00018
channe-00019,userid-00019
channe-00020,userid-00020
channe-00021,userid-00021
channe-00022,userid-00022
channe-00023,userid-00023
channe-00024,userid-00024
channe-00025,userid-00025
channe-00026,userid-00026
channe-00027,userid-00027
channe-00028,userid-00028
channe-00029,userid-00029
channe-00030,userid-00030
channe-00031,userid-00031
channe-00032,userid-00032
channe-00033,userid-00033
channe-00034,userid-00034
channe-00035,userid-00035
channe-00036,userid-00036
channe-00037,userid-00037
channe-00038,userid-00038
channe-00039,userid-00039
channe-00040,userid-00040
channe-00041,userid-00041
channe-00042,userid-00042
channe-00043,userid-00043
channe-00044,userid-00044
channe-00045,userid-00045
channe-00046,userid-00046
channe-00047,userid-00047
channe-00048,userid-00048
channe-00049,userid-00049
channe-00050,userid-00050
channe-00051,userid-00051
channe-00052,userid-00052
channe-00053,userid-00053
channe-00054,userid-00054
channe-00055,userid-00055
channe-00056,userid-00056
channe-00057,userid-00057
channe-00058,userid-00058
channe-00059,userid-00059
channe-00060,userid-00060
channe-00061,userid-00061
channe-00062,userid-00062
channe-00063,userid-00063
channe-00064,userid-00064
channe-00065,userid-00065
channe-00066,userid-00066
channe-00067,userid-00067
channe-00068,userid-00068
channe-00069,userid-00069
channe-00070,userid-00070
channe-00071,userid-00071
channe-00072,userid-00072
channe-00073,userid-00073
channe-00074,userid-00074
channe-00075,userid-00075
channe-00076,userid-00076
channe-00077,userid-00077
channe-00078,userid-00078
channe-00079,userid-00079
channe-00080,userid-00080
channe-00081,userid-00081
channe-00082,userid-00082
channe-00083,userid-00083
channe-00084,userid-00084
channe-00085,userid-00085
channe-00086,userid-00086
channe-00087,userid-00087
channe-00088,userid-00088
channe-00089,userid-00089
channe-00090,userid-00090
channe-00091,userid-00091
channe-00092,userid-00092
channe-00093,userid-00093
channe-00094,userid-00094
channe-00095,userid-00095
channe-00096,userid-00096
channe-00097,userid-00097
channe-00098,userid-00098
channe-00099,userid-00099
channe-00100,userid-00100
