Date	Time	Temp_F	RH_%	VPD_kPa	Heater	Mist_cycles	Notes
2025-10-05	06:30	58	64	0.55	On	2	Clear, calm
2025-10-15	06:30	55	67	0.48	On	2	Insurance renewal reminder day
2025-10-25	06:30	53	70	0.42	On	1	Damp morning
2025-11-04	06:30	51	66	0.46	On	1	Patrick visiting - skipped midday check
2025-11-15	06:30	48	63	0.5	On	1	Cold snap, heater ran overnight
2025-11-30	06:30	47	61	0.52	On	1	Plants stable pre-winter
2025-12-10	06:30	46	60	0.53	On	1	Pre-winter check - all holding
2025-12-20	06:30	45	59	0.54	On	1	Winter routine
2026-01-05	06:30	44	58	0.55	On	1	Lowest light of the year
2026-01-15	06:30	45	59	0.54	On	1	Steady
