id,meeting_id,recording_type,file_type,file_size,recording_start,recording_end,play_url,status
rec-0001,85012345670,shared_screen_with_speaker_view,MP4,524288000,2025-12-01T15:01:00Z,2025-12-01T15:25:00Z,https://zoom.us/rec/play/000007,completed
rec-0002,85012345670,audio_only,M4A,31457280,2025-12-01T15:01:00Z,2025-12-01T15:25:00Z,https://zoom.us/rec/play/00000e,completed
rec-0003,85012345671,shared_screen_with_speaker_view,MP4,524288000,2025-12-08T16:01:00Z,2025-12-08T16:55:00Z,https://zoom.us/rec/play/000015,completed
rec-0004,85012345671,audio_only,M4A,31457280,2025-12-08T16:01:00Z,2025-12-08T16:55:00Z,https://zoom.us/rec/play/00001c,completed
rec-0006,85012345675,shared_screen_with_speaker_view,MP4,524288000,2026-07-13T15:01:00Z,2026-07-13T15:31:00Z,https://zoom.us/rec/play/C8CF92,completed
rec-0007,85012345675,audio_only,M4A,31457280,2026-07-13T15:01:00Z,2026-07-13T15:31:00Z,https://zoom.us/rec/play/E59A32,completed
rec-0008,85012345676,shared_screen_with_speaker_view,MP4,524288000,2026-06-16T15:01:00Z,2026-06-16T15:31:00Z,https://zoom.us/rec/play/F2B81D,completed
rec-0009,85012345676,audio_only,M4A,31457280,2026-06-16T15:01:00Z,2026-06-16T15:31:00Z,https://zoom.us/rec/play/2BAED3,completed
rec-0010,85012345679,shared_screen_with_speaker_view,MP4,524288000,2026-07-01T15:01:00Z,2026-07-01T15:31:00Z,https://zoom.us/rec/play/4BED03,completed
rec-0011,85012345679,audio_only,M4A,31457280,2026-07-01T15:01:00Z,2026-07-01T15:31:00Z,https://zoom.us/rec/play/F6060A,completed
rec-0012,85012345680,shared_screen_with_speaker_view,MP4,524288000,2026-09-19T15:01:00Z,2026-09-19T15:31:00Z,https://zoom.us/rec/play/EF98DC,completed
rec-0013,85012345680,audio_only,M4A,31457280,2026-09-19T15:01:00Z,2026-09-19T15:31:00Z,https://zoom.us/rec/play/699C10,completed
rec-0014,85012345683,shared_screen_with_speaker_view,MP4,524288000,2026-08-16T15:01:00Z,2026-08-16T15:31:00Z,https://zoom.us/rec/play/13DC6B,completed
rec-0015,85012345683,audio_only,M4A,31457280,2026-08-16T15:01:00Z,2026-08-16T15:31:00Z,https://zoom.us/rec/play/EFB107,completed
rec-0016,85012345684,shared_screen_with_speaker_view,MP4,524288000,2026-05-17T15:01:00Z,2026-05-17T15:31:00Z,https://zoom.us/rec/play/025CF7,completed
rec-0017,85012345684,audio_only,M4A,31457280,2026-05-17T15:01:00Z,2026-05-17T15:31:00Z,https://zoom.us/rec/play/C3D141,completed
rec-0018,85012345686,shared_screen_with_speaker_view,MP4,524288000,2026-05-14T15:01:00Z,2026-05-14T15:31:00Z,https://zoom.us/rec/play/EA78D0,completed
rec-0019,85012345686,audio_only,M4A,31457280,2026-05-14T15:01:00Z,2026-05-14T15:31:00Z,https://zoom.us/rec/play/E74A91,completed
rec-0020,85012345688,shared_screen_with_speaker_view,MP4,524288000,2026-05-13T15:01:00Z,2026-05-13T15:31:00Z,https://zoom.us/rec/play/A70A95,completed
rec-0021,85012345688,audio_only,M4A,31457280,2026-05-13T15:01:00Z,2026-05-13T15:31:00Z,https://zoom.us/rec/play/C14F0A,completed
rec-0022,85012345689,shared_screen_with_speaker_view,MP4,524288000,2026-08-27T15:01:00Z,2026-08-27T15:31:00Z,https://zoom.us/rec/play/B991CA,completed
rec-0023,85012345689,audio_only,M4A,31457280,2026-08-27T15:01:00Z,2026-08-27T15:31:00Z,https://zoom.us/rec/play/8CF4D8,completed
rec-0024,85012345690,shared_screen_with_speaker_view,MP4,524288000,2026-09-19T15:01:00Z,2026-09-19T15:31:00Z,https://zoom.us/rec/play/86FD67,completed
rec-0025,85012345690,audio_only,M4A,31457280,2026-09-19T15:01:00Z,2026-09-19T15:31:00Z,https://zoom.us/rec/play/27E9E5,completed
rec-0026,85012345691,shared_screen_with_speaker_view,MP4,524288000,2026-09-27T15:01:00Z,2026-09-27T15:31:00Z,https://zoom.us/rec/play/359BD8,completed
rec-0027,85012345691,audio_only,M4A,31457280,2026-09-27T15:01:00Z,2026-09-27T15:31:00Z,https://zoom.us/rec/play/146C2B,completed
rec-0028,85012345692,shared_screen_with_speaker_view,MP4,524288000,2026-07-21T15:01:00Z,2026-07-21T15:31:00Z,https://zoom.us/rec/play/C73969,completed
rec-0029,85012345692,audio_only,M4A,31457280,2026-07-21T15:01:00Z,2026-07-21T15:31:00Z,https://zoom.us/rec/play/B43891,completed
rec-0030,85012345694,shared_screen_with_speaker_view,MP4,524288000,2026-09-09T15:01:00Z,2026-09-09T15:31:00Z,https://zoom.us/rec/play/4DF07E,completed
rec-0031,85012345694,audio_only,M4A,31457280,2026-09-09T15:01:00Z,2026-09-09T15:31:00Z,https://zoom.us/rec/play/902629,completed
rec-0032,85012345695,shared_screen_with_speaker_view,MP4,524288000,2026-06-20T15:01:00Z,2026-06-20T15:31:00Z,https://zoom.us/rec/play/112C72,completed
rec-0033,85012345695,audio_only,M4A,31457280,2026-06-20T15:01:00Z,2026-06-20T15:31:00Z,https://zoom.us/rec/play/A76716,completed
rec-0034,85012345696,shared_screen_with_speaker_view,MP4,524288000,2026-06-11T15:01:00Z,2026-06-11T15:31:00Z,https://zoom.us/rec/play/6C87DE,completed
rec-0035,85012345696,audio_only,M4A,31457280,2026-06-11T15:01:00Z,2026-06-11T15:31:00Z,https://zoom.us/rec/play/154DD2,completed
rec-0036,85012345697,shared_screen_with_speaker_view,MP4,524288000,2026-05-13T15:01:00Z,2026-05-13T15:31:00Z,https://zoom.us/rec/play/24FC80,completed
rec-0037,85012345697,audio_only,M4A,31457280,2026-05-13T15:01:00Z,2026-05-13T15:31:00Z,https://zoom.us/rec/play/9B62A6,completed
rec-0038,85012345700,shared_screen_with_speaker_view,MP4,524288000,2026-07-12T15:01:00Z,2026-07-12T15:31:00Z,https://zoom.us/rec/play/CCF608,completed
rec-0039,85012345700,audio_only,M4A,31457280,2026-07-12T15:01:00Z,2026-07-12T15:31:00Z,https://zoom.us/rec/play/6DFBDE,completed
rec-0040,85012345703,shared_screen_with_speaker_view,MP4,524288000,2026-07-26T15:01:00Z,2026-07-26T15:31:00Z,https://zoom.us/rec/play/5C66B6,completed
