store_id,name,cuisine,rating,review_count,price_range,delivery_fee,eta_minutes,latitude,longitude,address,is_open
store_mings,Ming's Chinese Kitchen,Chinese,4.3,512,$$,2.99,35,40.5187,-74.4121,"1820 Oak Tree Rd, Edison NJ",true
store_jmikes,Jersey Mike's Subs,Sandwiches,4.5,890,$,1.99,25,40.5201,-74.4098,"561 Route 1, Edison NJ",true
store_pho,Pho Saigon,Vietnamese,4.4,340,$$,3.49,40,40.5150,-74.4155,"1700 Oak Tree Rd, Edison NJ",true
store_bg_000,Pho Saigon,American,4.0,840,$,2.51,41,40.51,-74.41,Edison NJ,true
store_bg_001,Bagel Bros,Chinese,3.9,207,$$,2.57,41,40.51,-74.41,Edison NJ,true
store_bg_002,Taco Loco,Vietnamese,4.5,823,$$,2.66,30,40.51,-74.41,Edison NJ,true
store_bg_003,Ming's Kitchen,Mexican,4.1,522,$$,4.93,30,40.51,-74.41,Edison NJ,true
store_bg_004,Ming's Kitchen,Mexican,3.9,554,$,3.22,36,40.51,-74.41,Edison NJ,true
store_bg_005,Taco Loco,Chinese,4.1,371,$$,0.28,26,40.51,-74.41,Edison NJ,true
store_bg_006,Bagel Bros,Vietnamese,4.1,143,$,0.9,21,40.51,-74.41,Edison NJ,true
store_bg_007,Jersey Mike's,Sandwiches,4.4,841,$,1.8,30,40.51,-74.41,Edison NJ,true
store_bg_008,Taco Loco,Chinese,4.3,293,$,0.75,44,40.51,-74.41,Edison NJ,true
store_bg_009,Bagel Bros,Mexican,3.7,861,$$,0.5,19,40.51,-74.41,Edison NJ,true
store_bg_010,Edison Diner,Indian,4.0,405,$$,0.01,19,40.51,-74.41,Edison NJ,true
store_bg_011,Ming's Kitchen,Indian,4.2,474,$,2.99,35,40.51,-74.41,Edison NJ,true
store_bg_012,Bagel Bros,American,4.7,870,$$,2.42,24,40.51,-74.41,Edison NJ,true
store_bg_013,Curry House,Sandwiches,4.6,126,$,0.26,33,40.51,-74.41,Edison NJ,true
store_bg_014,Ming's Kitchen,Mexican,3.6,813,$,4.37,20,40.51,-74.41,Edison NJ,true
store_bg_015,Bagel Bros,Chinese,4.6,234,$,1.55,20,40.51,-74.41,Edison NJ,true
store_bg_016,Taco Loco,Vietnamese,3.5,245,$$,0.93,45,40.51,-74.41,Edison NJ,true
store_bg_017,Pizza Palace,Mexican,4.6,801,$,4.02,40,40.51,-74.41,Edison NJ,true
store_bg_018,Jersey Mike's,Sandwiches,4.1,445,$$,0.41,29,40.51,-74.41,Edison NJ,true
store_bg_019,Ming's Kitchen,Indian,4.7,429,$$,3.23,34,40.51,-74.41,Edison NJ,true
store_bg_020,Ming's Kitchen,Sandwiches,4.2,870,$$,2.84,38,40.51,-74.41,Edison NJ,true
store_bg_021,Pizza Palace,Mexican,4.9,143,$,2.49,26,40.51,-74.41,Edison NJ,true
store_bg_022,Edison Diner,Vietnamese,4.0,311,$,4.38,29,40.51,-74.41,Edison NJ,true
store_bg_023,Pizza Palace,Vietnamese,4.2,69,$,3.25,44,40.51,-74.41,Edison NJ,true
store_bg_024,Edison Diner,American,4.7,668,$,3.41,29,40.51,-74.41,Edison NJ,true
store_bg_025,Edison Diner,Mexican,4.9,438,$,0.69,35,40.51,-74.41,Edison NJ,true
store_bg_026,Jersey Mike's,American,3.6,229,$$,3.68,21,40.51,-74.41,Edison NJ,true
store_bg_027,Bagel Bros,Vietnamese,3.7,867,$,2.12,32,40.51,-74.41,Edison NJ,true
store_bg_028,Ming's Kitchen,Mexican,3.7,185,$$,4.97,39,40.51,-74.41,Edison NJ,true
store_bg_029,Jersey Mike's,Vietnamese,4.7,57,$$,3.1,23,40.51,-74.41,Edison NJ,true
store_bg_030,Jersey Mike's,Mexican,4.1,163,$$,4.82,40,40.51,-74.41,Edison NJ,true
store_bg_031,Bagel Bros,Chinese,4.3,221,$$,2.66,38,40.51,-74.41,Edison NJ,true
store_bg_032,Edison Diner,Sandwiches,3.6,589,$$,1.02,28,40.51,-74.41,Edison NJ,true
store_bg_033,Taco Loco,Sandwiches,4.2,618,$$,4.95,21,40.51,-74.41,Edison NJ,true
store_bg_034,Curry House,American,3.7,436,$$,3.04,27,40.51,-74.41,Edison NJ,true
store_bg_035,Ming's Kitchen,Indian,4.7,759,$$,3.03,34,40.51,-74.41,Edison NJ,true
store_bg_036,Pizza Palace,Indian,4.2,537,$,3.8,22,40.51,-74.41,Edison NJ,true
