Category,Monthly_Budget,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,YTD_Actual,YTD_Budget,Variance,Notes
Property Tax Escrow,$380.00,$380.00,$380.00,$380.00,$380.00,$380.00,$380.00,$380.00,$380.00,$380.00,"$3,420.00","$3,420.00",$0.00,Fixed escrow payment - no variance
Utilities (Electric/Gas/Water/Sewer),$310.00,$345.00,$338.00,$295.00,$278.00,$265.00,$258.00,$262.00,$275.00,$290.00,"$2,606.00","$2,790.00",-$184.00,Winter months ran higher; summer lower. Net under budget.
Homeowners Insurance,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,$135.00,"$1,215.00","$1,215.00",$0.00,State Farm bundled rate - fixed annual
Medicare/Medigap Premiums,$245.00,$245.00,$245.00,$245.00,$245.00,$245.00,$245.00,$245.00,$245.00,$245.00,"$2,205.00","$2,205.00",$0.00,Medicare Part B + Plan G (Blue Cross) - fixed
Auto Insurance,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$855.00,$855.00,$0.00,State Farm bundled - fixed
Groceries,$340.00,$328.00,$315.00,$342.00,$355.00,$362.00,$348.00,$370.00,$358.00,$345.00,"$3,123.00","$3,060.00",+$63.00,Running slightly over - summer produce and batch-cook supplies up
Gas (Toyota Camry),$80.00,$65.00,$72.00,$78.00,$82.00,$85.00,$80.00,$88.00,$75.00,$70.00,$695.00,$720.00,-$25.00,Under budget - fewer Portland trips in winter
Verizon Phone,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$495.00,$495.00,$0.00,Fixed plan
Prescriptions (Rx + OTC),$185.00,$110.00,$103.00,$98.00,$97.00,$86.00,$78.00,$97.00,$89.00,$82.00,$840.00,"$1,665.00",-$825.00,"Significantly under budget - the $185/mo was a rounded-up estimate. Actual Rx copays plus OTC run ~$93/month. See prescription_cost_analysis.csv"
Subscriptions,$42.00,$42.00,$42.00,$42.00,$42.00,$42.00,$42.00,$42.00,$42.00,$42.00,$378.00,$378.00,$0.00,"Netflix shared, library card free, news online"
Dining Out,$90.00,$78.00,$85.00,$92.00,$88.00,$95.00,$110.00,$105.00,$98.00,$92.00,$843.00,$810.00,+$33.00,"Jade Bowl, Cedar Grill, Doug's monthly lunch. Summer ran up slightly"
Personal / Misc,$75.00,$45.00,$62.00,$55.00,$80.00,$95.00,$70.00,$115.00,$68.00,$52.00,$642.00,$675.00,-$33.00,"Haircuts, workshop supplies, garden supplies, small household"
Gifts (Grandkids/Family),$0.00,$0.00,$0.00,$45.00,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$70.00,$0.00,+$70.00,Not in monthly budget - Maya art supplies Apr; Ethan soccer gear Jun
Home Repairs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$185.00,$0.00,$0.00,$185.00,$0.00,+$185.00,"Gutter repair, July - unbudgeted"
Garden Club Dues,$0.00,$0.00,$0.00,$0.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,$0.00,+$35.00,Annual membership fee April
TOTAL EXPENSES,"$2,032.00","$1,923.00","$1,927.00","$1,957.00","$1,967.00","$1,965.00","$1,896.00","$2,174.00","$1,915.00","$1,883.00","$17,607.00","$18,288.00",-$681.00,Year-to-date spending is $681 under the rounded budget
INCOME (Pension + SS),"$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$3,450.00","$31,050.00","$31,050.00",$0.00,Pension $1800 + Social Security $1650
NET MONTHLY,"$1,418.00","$1,527.00","$1,523.00","$1,493.00","$1,483.00","$1,485.00","$1,554.00","$1,276.00","$1,535.00","$1,567.00","$13,443.00","$12,762.00",+$681.00,Actual surplus is higher than budgeted due to Rx overestimate
