Month	Statement_Date	Groceries	Gas	Dining	Pharmacy	Personal_Misc	Home_Depot	Subscriptions	Other	Total	Payment_Date	Paid_In_Full
January	2026-01-25	$298.00	$55.00	$78.00	$42.00	$35.00	$0.00	$42.00	$0.00	$550.00	2026-02-05	Yes
February	2026-01-25	$285.00	$62.00	$85.00	$38.00	$48.00	$22.00	$42.00	$0.00	$582.00	2026-03-05	Yes
March	2026-03-25	$312.00	$68.00	$92.00	$35.00	$40.00	$45.00	$42.00	$0.00	$634.00	2026-04-05	Yes
April	2026-04-25	$325.00	$72.00	$88.00	$32.00	$65.00	$28.00	$42.00	$35.00	$687.00	2026-05-05	Yes
May	2026-05-25	$332.00	$75.00	$95.00	$30.00	$78.00	$35.00	$42.00	$25.00	$712.00	2026-06-05	Yes
June	2026-06-25	$318.00	$70.00	$110.00	$28.00	$55.00	$18.00	$42.00	$0.00	$641.00	2026-07-05	Yes
July	2026-07-25	$340.00	$78.00	$105.00	$35.00	$92.00	$55.00	$42.00	$185.00	$932.00	2026-08-05	Yes
August	2026-08-25	$328.00	$65.00	$98.00	$48.00	$52.00	$15.00	$42.00	$0.00	$648.00	2026-09-05	Yes
September	2026-09-25	$315.00	$60.00	$92.00	$30.00	$38.00	$12.00	$42.00	$0.00	$589.00	2026-10-05	Pending
YTD Total		$2853.00	$605.00	$843.00	$318.00	$503.00	$230.00	$378.00	$245.00	$5975.00		
Monthly Average		$317.00	$67.22	$93.67	$35.33	$55.89	$25.56	$42.00	$27.22	$663.89		
