Frequency	Event	Day_Or_Date	Time	Location	Notes
Daily	Morning Coffee	Every day	6:15 AM	Home	Hold non-urgent reminders until 6:45 AM
Daily	Walk with Frank	Every day (weather permitting)	7:00 AM	Neighborhood	Skip in heavy rain. Hearing aids in before leaving.
Daily	Morning Medications	Every day	7:45 AM	Home	Metformin, apixaban, metoprolol, lisinopril - with breakfast
Daily	Evening Medications	Every day	6:30 PM	Home	Metformin, apixaban, atorvastatin - with dinner
Mon/Wed/Fri	Blood Glucose Check	Monday, Wednesday, Friday	7:00 AM	Home	Before breakfast. Log to home tracker.
Weekly	Kevin's Sunday Call	Sunday	2:00 PM PT	Home (phone)	Denver call. Carlos prefers home and unhurried.
Biweekly	Karen's Wednesday Dinner	Every other Wednesday	6:00 PM	Karen's or home	Confirm by Tuesday evening
Weekly	Beaverton Community Workshop	Saturday	10:00 AM–12:00 PM	Community Workshop	Leave by 9:40 AM. Lunch out afterward.
Weekly	Sunday Batch Cook	Sunday evening	Evening	Home kitchen	Soup or stew, low sodium, 3–4 nights' worth
Monthly	Prescription Check	1st of month	Any	Home	Surface anything due for refill in next 14 days
Monthly	Visa/Savings Review	15th of month	Any	Home	Review statement and savings balance
Monthly	Cedar Hills Garden Club	First Tuesday	6:30 PM	Cedar Hills Community Center	Carlos is treasurer
Monthly	Lunch with Doug Tanaka	First Thursday	12:00 PM	Hayden's Diner, Tualatin	Standing monthly lunch
Quarterly	Endocrinology - Dr. Chen	Quarterly	Varies	Westside Diabetes Clinic, Beaverton	HbA1c the week before
Quarterly	Primary Care - Dr. Sharma	Every 3 months	Varies	Riverview Medical Partners, Beaverton	Routine check-in
Every 4 months	Cardiology - Dr. Whitfield	Every 4 months	Varies	Pacific Heart Associates, Portland	Karen drives when she can
Every 6 months	Dental - Dr. Torres	Every 6 months	Varies	Cedar Hills Dental	Routine cleaning
Annual	Audiology - Dr. Ross	December (annual)	Varies	Northwest Hearing Center	Phonak Audéo Paradise check
