entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
10001,2026-11-14,Breakfast,1011,Steel-cut oats (cooked),,1,cup,1,158,2.5,0.5,0,9,27,4,0.6,6
10002,2026-11-14,Breakfast,1001,Blackstrap molasses,,1,tbsp,2,116,0,0,0,22,30,0,22,0
10003,2026-11-14,Lunch,1002,Beef sirloin,,4,oz,1,241,14,5.6,89,64,0,0,0,30
10004,2026-11-14,Lunch,1003,Cooked spinach,,1,cup,1,41,0.5,0.1,0,126,7,4,0.9,5
10005,2026-11-14,Dinner,1006,Tofu (firm),,4,oz,1,144,8,1.2,0,15,3,2,1,17
10006,2026-11-14,Dinner,1007,Kimchi,,1,cup,1,32,0.3,0,0,747,6,2.4,3,2
10007,2026-11-13,Breakfast,1013,Large egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
10008,2026-11-13,Breakfast,1003,Cooked spinach,,1,cup,1,41,0.5,0.1,0,126,7,4,0.9,5
10009,2026-11-13,Lunch,1004,Lentils (cooked),,1,cup,1,230,0.8,0.1,0,4,40,15.6,3.6,18
10010,2026-11-13,Dinner,1014,Galbi (Korean short rib),,4,oz,1,290,20,8.4,80,540,4,0,3,22
10011,2026-11-13,Dinner,1008,White rice (cooked),,1,cup,1,205,0.4,0.1,0,2,45,0.6,0,4
10012,2026-11-12,Breakfast,1005,Fortified breakfast cereal,,1,cup,1,120,1,0,0,190,25,3,7,2
10013,2026-11-12,Lunch,1012,Grilled chicken breast,,4,oz,1,165,3.6,1,85,74,0,0,0,31
10014,2026-11-12,Lunch,1010,Kale (raw),,1,cup,1,33,0.6,0.1,0,25,7,1.3,1.6,2
10015,2026-11-12,Dinner,1009,Salmon (Atlantic),,4,oz,1,206,12,2.7,63,60,0,0,0,29
10016,2026-11-12,Dinner,1015,Broccoli (roasted),,1,cup,1,55,0.6,0.1,0,64,11,5,2.6,3.7
10017,2026-11-11,Breakfast,1011,Steel-cut oats (cooked),,1,cup,1,158,2.5,0.5,0,9,27,4,0.6,6
10018,2026-11-11,Lunch,1002,Beef sirloin,,4,oz,1,241,14,5.6,89,64,0,0,0,30
10019,2026-11-11,Dinner,1006,Tofu (firm),,4,oz,1,144,8,1.2,0,15,3,2,1,17
10020,2026-11-10,Breakfast,1013,Large egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
