uuid,owner,name,slug,duration,kind,color,active,description,scheduling_url,created_at
uuid_1000,owner 0,Attorney Consultation,slug 0,30,kind 0,color 0,true,description 0,https://example.com/0,2026-06-01T09:00:00Z
uuid_1001,owner 1,Shop Estimate Call,slug 1,15,kind 1,color 1,true,description 1,https://example.com/1,2026-06-01T09:00:00Z
uuid_noise_500,owner 500,name 500,slug 500,0,kind 500,color 500,false,description 500,https://example.com/500,2026-06-01T09:00:00Z
uuid_noise_501,owner 501,name 501,slug 501,0,kind 501,color 501,false,description 501,https://example.com/501,2026-06-01T09:00:00Z
uuid_noise_502,owner 502,name 502,slug 502,0,kind 502,color 502,false,description 502,https://example.com/502,2026-06-01T09:00:00Z
uuid_noise_503,owner 503,name 503,slug 503,0,kind 503,color 503,false,description 503,https://example.com/503,2026-06-01T09:00:00Z
uuid_noise_504,owner 504,name 504,slug 504,0,kind 504,color 504,false,description 504,https://example.com/504,2026-06-01T09:00:00Z
uuid_noise_505,owner 505,name 505,slug 505,0,kind 505,color 505,false,description 505,https://example.com/505,2026-06-01T09:00:00Z
uuid_noise_506,owner 506,name 506,slug 506,0,kind 506,color 506,false,description 506,https://example.com/506,2026-06-01T09:00:00Z
uuid_noise_507,owner 507,name 507,slug 507,0,kind 507,color 507,false,description 507,https://example.com/507,2026-06-01T09:00:00Z
uuid_noise_508,owner 508,name 508,slug 508,0,kind 508,color 508,false,description 508,https://example.com/508,2026-06-01T09:00:00Z
uuid_noise_509,owner 509,name 509,slug 509,0,kind 509,color 509,false,description 509,https://example.com/509,2026-06-01T09:00:00Z
