vehicle_id,make,model,year,type,vin_last6,medallion,mod_eligible,status
VEH-C01,Toyota,Camry,2022,sedan,884210,MDC-1187,no,active
VEH-C02,Toyota,Camry,2022,sedan,884233,MDC-1188,no,active
VEH-C03,Toyota,Camry,2021,sedan,771902,MDC-1201,no,active
VEH-C04,Toyota,Camry,2021,sedan,771945,MDC-1202,no,active
VEH-C05,Toyota,Camry,2023,sedan,905517,MDC-1244,no,active
VEH-C06,Toyota,Camry,2023,sedan,905560,MDC-1245,no,active
VEH-C07,Toyota,Camry,2020,sedan,660418,MDC-1119,no,active
VEH-C08,Toyota,Camry,2020,sedan,660471,MDC-1120,no,active
VAN-01,Chrysler,Pacifica,2023,van,331204,,yes,active
VAN-02,Chrysler,Pacifica,2023,van,331251,,yes,active
VAN-03,Chrysler,Pacifica,2022,van,318809,,yes,active
VAN-04,Chrysler,Pacifica,2021,van,304662,,yes,in_service_high_miles
