txn_id,date,type,account,entity,amount_usd,memo,vehicle_id
TXN-2026-0412,2026-03-31,Invoice,Contract Revenue - MIA Queue,Miami-Dade Aviation Dept,18000.00,MIA airport queue Q1 2026 (annualized 72000.00),
TXN-2026-0588,2026-06-30,Invoice,Contract Revenue - MIA Queue,Miami-Dade Aviation Dept,18000.00,MIA airport queue Q2 2026 (annualized 72000.00),
TXN-2026-0761,2026-09-30,Invoice,Contract Revenue - MIA Queue,Miami-Dade Aviation Dept,18000.00,MIA airport queue Q3 2026 (annualized 72000.00),
TXN-2026-0934,2026-12-31,Invoice,Contract Revenue - MIA Queue,Miami-Dade Aviation Dept,18000.00,MIA airport queue Q4 2026 (annualized 72000.00),
TXN-2026-0415,2026-03-31,Invoice,Contract Revenue - Palmetto Shuttle,Palmetto Health Systems,10500.00,Palmetto Health shuttle Q1 2026,
TXN-2026-0591,2026-06-30,Invoice,Contract Revenue - Palmetto Shuttle,Palmetto Health Systems,10500.00,Palmetto Health shuttle Q2 2026,
TXN-2026-0764,2026-09-30,Invoice,Contract Revenue - Palmetto Shuttle,Palmetto Health Systems,10500.00,Palmetto Health shuttle Q3 2026,
TXN-2026-0937,2026-12-31,Invoice,Contract Revenue - Palmetto Shuttle,Palmetto Health Systems,10500.00,Palmetto Health shuttle Q4 2026,
TXN-2026-0418,2026-03-31,Invoice,Contract Revenue - Hotels,Bayfront Grand Hotel,3500.00,Hotel contract Q1 2026,
TXN-2026-0421,2026-03-31,Invoice,Contract Revenue - Hotels,Coral Harbor Suites,3500.00,Hotel contract Q1 2026,
TXN-2026-0594,2026-06-30,Invoice,Contract Revenue - Hotels,Bayfront Grand Hotel,3500.00,Hotel contract Q2 2026,
TXN-2026-0597,2026-06-30,Invoice,Contract Revenue - Hotels,Coral Harbor Suites,3500.00,Hotel contract Q2 2026,
TXN-2026-0767,2026-09-30,Invoice,Contract Revenue - Hotels,Bayfront Grand Hotel,3500.00,Hotel contract Q3 2026,
TXN-2026-0770,2026-09-30,Invoice,Contract Revenue - Hotels,Coral Harbor Suites,3500.00,Hotel contract Q3 2026,
TXN-2026-0940,2026-12-31,Invoice,Contract Revenue - Hotels,Bayfront Grand Hotel,3500.00,Hotel contract Q4 2026,
TXN-2026-0943,2026-12-31,Invoice,Contract Revenue - Hotels,Coral Harbor Suites,3500.00,Hotel contract Q4 2026,
TXN-2026-1101,2026-12-15,Bill,Vehicle Modification - CAPEX,AccessVan Mobility LLC,4850.00,Wheelchair accessibility conversion VAN-01 (booked),VAN-01
TXN-2026-1104,2026-12-18,Bill,Vehicle Modification - CAPEX,AccessVan Mobility LLC,4850.00,Wheelchair accessibility conversion VAN-02 (booked),VAN-02
TXN-2026-0209,2026-01-05,Bill,Fleet Insurance,Coral Gables Insurance Group,3200.00,Fleet policy monthly premium (sample month),
TXN-2026-0233,2026-01-15,Bill,Fleet Loan,Sunshine Coast Credit Union,1800.00,Fleet loan payment 3 Pacifica vans 5.2 percent,
TXN-2026-0301,2026-01-31,Bill,Driver Payroll,Gusto Payroll,18000.00,Driver payroll monthly (sample month),
TXN-2026-0356,2026-01-20,Bill,Vehicle Maintenance,JP Mechanic Bay,2500.00,Maintenance budget monthly (sample month),
TXN-2026-0362,2026-01-25,Bill,Fuel,Fleet Fuel Card,6200.00,Fuel monthly (sample month),
