Tool ID	Tool	Type	Acquired	Condition
TL-01	Bowl gouge, half inch	Turning	2018	Good
TL-02	Bowl gouge, three eighths	Turning	2019	Good
TL-03	Spindle roughing gouge	Turning	2017	Good
TL-04	Parting tool	Turning	2016	Fair
TL-05	Hollowing tool set	Turning	2021	Good
TL-06	Live center, spare	Lathe	2022	New
TL-07	Cabinet table saw	Woodworking	2012	Good
TL-08	Thickness planer	Woodworking	2014	Good
TL-09	Router, plunge	Woodworking	2015	Good
TL-10	Sharpening station	Maintenance	2013	Good
TL-11	Figured maple burl bowl, fathers lathe	Heirloom	1961	Display
