iata_code,icao_code,business_name,common_name,country_code
AC,ACA,Air Canada,Air Canada,CA
AS,ASA,Alaska Airlines,Alaska,US
DL,DAL,Delta Air Lines,Delta,US
UA,UAL,United Airlines,United,US
WS,WJA,WestJet,WestJet,CA
F9,FFT,Frontier Airlines,Frontier,US
B6,JBU,JetBlue Airways,JetBlue,US
AA,AAL,American Airlines,American,US
NK,NKS,Spirit Airlines,Spirit,US
WN,SWA,Southwest Airlines,Southwest,US
AF,AFR,Air France,Air France,FR
LH,DLH,Lufthansa,Lufthansa,DE
BA,BAW,British Airways,British Airways,GB
KL,KLM,KLM Royal Dutch Airlines,KLM,NL
LX,SWR,Swiss International,Swiss,CH
