iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
PDX,Portland International,Portland,PDX,United States,US,45.5898,-122.5951,America/Los_Angeles
YUL,Montreal Trudeau,Montreal,YMQ,Canada,CA,45.4657,-73.7455,America/Toronto
YYZ,Toronto Pearson,Toronto,YTO,Canada,CA,43.6772,-79.6306,America/Toronto
YOW,Ottawa Macdonald-Cartier,Ottawa,YOW,Canada,CA,45.3225,-75.6692,America/Toronto
YQB,Quebec Jean Lesage,Quebec City,YQB,Canada,CA,46.7911,-71.3933,America/Toronto
YHZ,Halifax Stanfield,Halifax,YHZ,Canada,CA,44.8810,-63.5086,America/Halifax
YWG,Winnipeg James Richardson,Winnipeg,YWG,Canada,CA,49.9100,-97.2390,America/Winnipeg
YVR,Vancouver International,Vancouver,YVR,Canada,CA,49.1967,-123.1815,America/Vancouver
YYC,Calgary International,Calgary,YYC,Canada,CA,51.1215,-114.0107,America/Edmonton
YEG,Edmonton International,Edmonton,YEG,Canada,CA,53.3097,-113.5801,America/Edmonton
YSJ,Saint John,Saint John,YSJ,Canada,CA,45.3160,-65.8900,America/Halifax
YFC,Fredericton,Fredericton,YFC,Canada,CA,45.8690,-66.5370,America/Halifax
YQM,Moncton,Moncton,YQM,Canada,CA,46.1120,-64.6780,America/Halifax
YMQ,Montreal Metro,Montreal,YMQ,Canada,CA,45.5017,-73.5673,America/Toronto
YTM,Mont-Tremblant,Mont-Tremblant,YTM,Canada,CA,46.1000,-74.6000,America/Toronto
SEA,Seattle-Tacoma,Seattle,SEA,United States,US,47.4489,-122.3094,America/Los_Angeles
SFO,San Francisco,San Francisco,SFO,United States,US,37.6213,-122.3790,America/Los_Angeles
LAX,Los Angeles,Los Angeles,LAX,United States,US,33.9425,-118.4081,America/Los_Angeles
SAN,San Diego,San Diego,SAN,United States,US,32.7338,-117.1933,America/Los_Angeles
OAK,Oakland,Oakland,OAK,United States,US,37.7126,-122.2197,America/Los_Angeles
SJC,San Jose,San Jose,SJC,United States,US,37.3639,-121.9289,America/Los_Angeles
BUR,Hollywood Burbank,Burbank,BUR,United States,US,34.2007,-118.3585,America/Los_Angeles
LGB,Long Beach,Long Beach,LGB,United States,US,33.8177,-118.1518,America/Los_Angeles
ONT,Ontario,Ontario,ONT,United States,US,34.0560,-117.6011,America/Los_Angeles
PSP,Palm Springs,Palm Springs,PSP,United States,US,33.8297,-116.5067,America/Los_Angeles
BOI,Boise,Boise,BOI,United States,US,43.5644,-116.2228,America/Boise
SLC,Salt Lake City,Salt Lake City,SLC,United States,US,40.7899,-111.9791,America/Denver
PHX,Phoenix Sky Harbor,Phoenix,PHX,United States,US,33.4342,-112.0116,America/Phoenix
LAS,Harry Reid Las Vegas,Las Vegas,LAS,United States,US,36.0840,-115.1537,America/Los_Angeles
DEN,Denver International,Denver,DEN,United States,US,39.8561,-104.6737,America/Denver
MSP,Minneapolis-St Paul,Minneapolis,MSP,United States,US,44.8848,-93.2223,America/Chicago
ORD,Chicago O'Hare,Chicago,ORD,United States,US,41.9742,-87.9073,America/Chicago
MDW,Chicago Midway,Chicago,MDW,United States,US,41.7868,-87.7522,America/Chicago
DTW,Detroit Wayne,Detroit,DTW,United States,US,42.2124,-83.3534,America/Detroit
CLE,Cleveland Hopkins,Cleveland,CLE,United States,US,41.4117,-81.8490,America/New_York
CVG,Cincinnati,Cincinnati,CVG,United States,US,39.0533,-84.6631,America/New_York
IND,Indianapolis,Indianapolis,IND,United States,US,39.7169,-86.2956,America/Indiana/Indianapolis
STL,St. Louis,St. Louis,STL,United States,US,38.7487,-90.3700,America/Chicago
MKE,Milwaukee,Milwaukee,MKE,United States,US,42.9472,-87.8966,America/Chicago
MCI,Kansas City,Kansas City,MCI,United States,US,39.2976,-94.7139,America/Chicago
OMA,Omaha,Omaha,OMA,United States,US,41.3032,-95.8941,America/Chicago
MEM,Memphis,Memphis,MEM,United States,US,35.0424,-89.9767,America/Chicago
BNA,Nashville,Nashville,BNA,United States,US,36.1245,-86.6782,America/Chicago
SDF,Louisville,Louisville,SDF,United States,US,38.1744,-85.7364,America/New_York
PIT,Pittsburgh,Pittsburgh,PIT,United States,US,40.4915,-80.2329,America/New_York
JFK,John F Kennedy,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
LGA,LaGuardia,New York,NYC,United States,US,40.7769,-73.8740,America/New_York
EWR,Newark Liberty,Newark,NYC,United States,US,40.6895,-74.1745,America/New_York
BOS,Boston Logan,Boston,BOS,United States,US,42.3656,-71.0096,America/New_York
PWM,Portland Maine,Portland,PWM,United States,US,43.6462,-70.3090,America/New_York
BDL,Bradley International,Hartford,BDL,United States,US,41.9389,-72.6832,America/New_York
DCA,Reagan National,Washington,WAS,United States,US,38.8512,-77.0402,America/New_York
IAD,Washington Dulles,Washington,WAS,United States,US,38.9531,-77.4565,America/New_York
BWI,Baltimore Washington,Baltimore,BWI,United States,US,39.1774,-76.6684,America/New_York
PHL,Philadelphia,Philadelphia,PHL,United States,US,39.8744,-75.2424,America/New_York
ATL,Atlanta Hartsfield,Atlanta,ATL,United States,US,33.6407,-84.4277,America/New_York
MIA,Miami,Miami,MIA,United States,US,25.7959,-80.2870,America/New_York
FLL,Fort Lauderdale,Fort Lauderdale,FLL,United States,US,26.0723,-80.1527,America/New_York
MCO,Orlando,Orlando,MCO,United States,US,28.4312,-81.3081,America/New_York
TPA,Tampa,Tampa,TPA,United States,US,27.9772,-82.5311,America/New_York
RDU,Raleigh-Durham,Raleigh,RDU,United States,US,35.8801,-78.7877,America/New_York
CLT,Charlotte,Charlotte,CLT,United States,US,35.2140,-80.9431,America/New_York
RSW,Fort Myers,Fort Myers,RSW,United States,US,26.5362,-81.7552,America/New_York
SAV,Savannah,Savannah,SAV,United States,US,32.1276,-81.2021,America/New_York
CHS,Charleston,Charleston,CHS,United States,US,32.8986,-80.0405,America/New_York
IAH,George Bush Houston,Houston,IAH,United States,US,29.9902,-95.3368,America/Chicago
HOU,William P Hobby,Houston,HOU,United States,US,29.6454,-95.2789,America/Chicago
DAL,Dallas Love,Dallas,DAL,United States,US,32.8471,-96.8517,America/Chicago
