id,product,unit_amount,currency,recurring_interval,active,nickname
price_0000,prod_0000,9535,usd,,true,
price_0001,prod_0001,9116,usd,year,true,
price_0002,prod_0002,6558,usd,year,true,
price_0003,prod_0003,1210,usd,year,true,
price_0004,prod_0004,3893,usd,year,true,
price_0005,prod_0005,4342,usd,year,true,
price_0006,prod_0006,2384,usd,month,true,
price_0007,prod_0007,4285,usd,month,true,
price_0008,prod_0008,4705,usd,month,true,
price_0009,prod_0009,5573,usd,month,true,
price_0010,prod_0010,8237,usd,month,true,
price_0011,prod_0011,6412,usd,month,true,
price_0012,prod_0012,3085,usd,month,true,
price_0013,prod_0013,4938,usd,year,true,
price_0014,prod_0014,7442,usd,,true,
price_0015,prod_0015,6052,usd,,true,
price_0016,prod_0016,3825,usd,year,true,
price_0017,prod_0017,7071,usd,month,true,
price_0018,prod_0018,1557,usd,,true,
price_0019,prod_0019,4694,usd,month,true,
price_0020,prod_0020,3459,usd,,true,
price_0021,prod_0021,2536,usd,month,true,
price_0022,prod_0022,9736,usd,,true,
price_0023,prod_0023,2455,usd,month,true,
price_0024,prod_0024,7190,usd,month,true,
price_0025,prod_0025,8181,usd,month,true,
price_0026,prod_0026,809,usd,month,true,
price_0027,prod_0027,6035,usd,year,true,
price_0028,prod_0028,2900,usd,year,true,
price_0029,prod_0029,1424,usd,year,true,
price_0030,prod_0030,4192,usd,year,true,
price_0031,prod_0031,3272,usd,year,true,
price_0032,prod_0032,8625,usd,month,true,
price_0033,prod_0033,704,usd,month,true,
price_0034,prod_0034,2399,usd,,true,
price_0035,prod_0035,1547,usd,month,true,
price_0036,prod_0036,1777,usd,year,true,
price_0037,prod_0037,1455,usd,year,true,
price_0038,prod_0038,4383,usd,month,true,
price_0039,prod_0039,836,usd,year,true,
price_0040,prod_0040,3686,usd,year,true,
price_0041,prod_0041,9859,usd,year,true,
price_0042,prod_0042,4589,usd,year,true,
price_0043,prod_0043,9496,usd,month,true,
price_0044,prod_0044,7151,usd,year,true,
price_0045,prod_0045,1708,usd,,true,
price_0046,prod_0046,6626,usd,year,true,
price_0047,prod_0047,619,usd,year,true,
price_0048,prod_0048,2263,usd,year,true,
price_0049,prod_0049,9968,usd,,true,
price_0050,prod_0050,505,usd,,true,
price_0051,prod_0051,3678,usd,year,true,
price_0052,prod_0052,9515,usd,year,true,
price_0053,prod_0053,3653,usd,month,true,
price_0054,prod_0054,1021,usd,year,true,
price_0055,prod_0055,4537,usd,,true,
price_0056,prod_0056,2361,usd,year,true,
price_0057,prod_0057,7027,usd,,true,
price_0058,prod_0058,7727,usd,month,true,
price_0059,prod_0059,7571,usd,,true,
price_0060,prod_0060,563,usd,year,true,
price_0061,prod_0061,8481,usd,month,true,
price_0062,prod_0062,4652,usd,year,true,
price_0063,prod_0063,4153,usd,year,true,
price_0064,prod_0064,5155,usd,year,true,
price_0065,prod_0065,5592,usd,year,true,
price_0066,prod_0066,2726,usd,year,true,
price_0067,prod_0067,9196,usd,,true,
price_0068,prod_0068,1573,usd,year,true,
price_0069,prod_0069,9449,usd,,true,
price_0070,prod_0070,2391,usd,month,true,
price_0071,prod_0071,590,usd,month,true,
price_0072,prod_0072,6654,usd,,true,
price_0073,prod_0073,5878,usd,year,true,
price_0074,prod_0074,3801,usd,year,true,
price_0075,prod_0075,3628,usd,,true,
price_0076,prod_0076,3450,usd,month,true,
price_0077,prod_0077,5829,usd,year,true,
price_0078,prod_0078,6498,usd,month,true,
price_0079,prod_0079,6199,usd,,true,
price_0080,prod_0080,9274,usd,year,true,
price_0081,prod_0081,5182,usd,,true,
price_0082,prod_0082,9875,usd,,true,
price_0083,prod_0083,5126,usd,month,true,
price_0084,prod_0084,4042,usd,year,true,
price_0085,prod_0085,5906,usd,year,true,
price_0086,prod_0086,1243,usd,,true,
price_0087,prod_0087,5023,usd,month,true,
price_0088,prod_0088,9705,usd,,true,
price_0089,prod_0089,3444,usd,year,true,
price_0090,prod_0090,1835,usd,,true,
price_0091,prod_0091,4750,usd,year,true,
price_0092,prod_0092,9926,usd,month,true,
price_0093,prod_0093,7160,usd,,true,
price_0094,prod_0094,7618,usd,year,true,
price_0095,prod_0095,6427,usd,month,true,
price_0096,prod_0096,954,usd,year,true,
price_0097,prod_0097,4867,usd,,true,
price_0098,prod_0098,9486,usd,year,true,
price_0099,prod_0099,1861,usd,,true,
price_0100,prod_0100,6208,usd,,true,
price_0101,prod_0101,3983,usd,,true,
price_0102,prod_0102,3685,usd,month,true,
price_0103,prod_0103,4225,usd,,true,
price_0104,prod_0104,7181,usd,year,true,
price_0105,prod_0105,9894,usd,year,true,
price_0106,prod_0106,4990,usd,year,true,
price_0107,prod_0107,1994,usd,year,true,
price_0108,prod_0108,4145,usd,month,true,
price_0109,prod_0109,9040,usd,year,true,
price_0110,prod_0110,9499,usd,year,true,
price_0111,prod_0111,7724,usd,year,true,
price_0112,prod_0112,9986,usd,,true,
price_0113,prod_0113,9475,usd,year,true,
price_0114,prod_0114,4482,usd,year,true,
price_0115,prod_0115,4303,usd,month,true,
price_0116,prod_0116,7970,usd,,true,
price_0117,prod_0117,8134,usd,,true,
price_0118,prod_0118,817,usd,,true,
price_0119,prod_0119,9680,usd,,true,
price_0120,prod_0120,2604,usd,,true,
price_0121,prod_0121,9376,usd,year,true,
price_0122,prod_0122,3178,usd,year,true,
price_0123,prod_0123,3963,usd,year,true,
price_0124,prod_0124,6154,usd,year,true,
price_0125,prod_0125,5104,usd,year,true,
price_0126,prod_0126,3907,usd,,true,
price_0127,prod_0127,5095,usd,year,true,
price_0128,prod_0128,3758,usd,,true,
price_0129,prod_0129,7287,usd,year,true,
price_0130,prod_0130,7478,usd,year,true,
price_0131,prod_0131,3205,usd,month,true,
price_0132,prod_0132,1005,usd,year,true,
price_0133,prod_0133,2115,usd,month,true,
price_0134,prod_0134,1282,usd,month,true,
price_0135,prod_0135,7579,usd,year,true,
price_0136,prod_0136,6759,usd,year,true,
price_0137,prod_0137,814,usd,,true,
price_0138,prod_0138,1992,usd,,true,
price_0139,prod_0139,1609,usd,month,true,
price_0140,prod_0140,6676,usd,,true,
price_0141,prod_0141,4345,usd,month,true,
price_0142,prod_0142,6232,usd,month,true,
price_0143,prod_0143,3511,usd,,true,
price_0144,prod_0144,6961,usd,month,true,
price_0145,prod_0145,8317,usd,year,true,
price_0146,prod_0146,1665,usd,year,true,
price_0147,prod_0147,2905,usd,month,true,
price_0148,prod_0148,9627,usd,month,true,
price_0149,prod_0149,5583,usd,year,true,
price_0150,prod_0150,5166,usd,year,true,
