track_no	title	artist	album	year	duration_mm_ss	tag	playlist_section	notes
1	If I Should Fall from Grace with God	The Pogues	If I Should Fall from Grace with God	1988	2:21	celtic_folk	open	the kitchen runs at the right tempo from track 1
2	Sally MacLennane	The Pogues	Rum Sodomy and the Lash	1985	2:43	celtic_folk	open	Papa Luc tolerates this one specifically
3	Fairytale of New York	The Pogues	If I Should Fall from Grace with God	1988	4:34	celtic_folk	open	yes even in October
4	Wake Up	Arcade Fire	Funeral	2004	5:36	indie_rock	prep	dough lamination song
5	Rebellion (Lies)	Arcade Fire	Funeral	2004	5:11	indie_rock	prep	for the third hour of pork prep when the back wants to give out
6	Holocene	Bon Iver	Bon Iver, Bon Iver	2011	5:36	indie_folk	plating	light, quiet, plating window
7	Skinny Love	Bon Iver	For Emma, Forever Ago	2008	3:58	indie_folk	plating	Sienna's pick when she is over
8	The Wolves (Act I and II)	Bon Iver	For Emma, Forever Ago	2008	5:22	indie_folk	plating	wind down crimp work
9	Marquee Moon	Television	Marquee Moon	1977	10:40	rock	prep	10 minutes of crust rolling without thinking
10	Take Me Out	Franz Ferdinand	Franz Ferdinand	2004	3:57	indie_rock	open	the Jess favorite, kept for Tuesday gym days
11	The Drunken Sailor	The Irish Rovers	The Best of the Irish Rovers	1999	3:48	celtic_folk	open	Papa Luc surrenders to this one
12	Whiskey in the Jar	The Dubliners	A Drop of the Hard Stuff	1967	2:54	celtic_folk	open	Father Trahan once sang the second verse at the parish potluck
13	I'm Shipping Up to Boston	Dropkick Murphys	The Warrior's Code	2005	2:34	celtic_rock	prep	Boston years memory, played LOUD before market load
14	Sunday Bloody Sunday	U2	War	1983	4:39	rock	prep	hometown Hutchings family heritage choice, do not skip
15	Bohemian Like You	The Dandy Warhols	Thirteen Tales from Urban Bohemia	2000	3:30	rock	prep	Portland local, has to be here
16	Float On	Modus Mio	Cassettes from the wedding mix tape	2004	3:28	indie_rock	close	for the wind down between dinner service and crash
17	Heat Wave	Snail Mail	Lush	2018	4:10	indie_rock	close	Sienna leaves this on when she stays over
18	Cygnet Committee	David Bowie	David Bowie	1969	9:35	rock	close	the long one after a 120 cover day
19	C'est dans les chansons	Jean-Pierre Ferland	Jaune	1970	3:48	quebecois_chanson	papa_segment	Papa Luc's section, he insists
20	Le tour de l'île	Félix Leclerc	L'alouette en colère	1972	5:43	quebecois_chanson	papa_segment	the song Yves cries to and pretends he is not
21	Lindberg	Robert Charlebois	Robert Charlebois	1968	3:29	quebecois_chanson	papa_segment	played at family weddings in Trois-Rivières
22	The Auld Triangle	The Pogues	The Pogues in Paris	2012	5:11	celtic_folk	close	the last song of every Thursday hockey night when Yves cannot make it to the rink
23	A Pair of Brown Eyes	The Pogues	Rum Sodomy and the Lash	1985	4:53	celtic_folk	prep	rolling crusts at 4 PM Friday
24	Re Stacks	Bon Iver	For Emma, Forever Ago	2008	6:40	indie_folk	close	the apartment after Sienna goes home
25	Mon pays	Gilles Vigneault	Mon pays	1964	3:48	quebecois_chanson	papa_segment	Papa Luc's national anthem, do not interrupt this one
