<<<<<<< HEAD
Month	Rent	Utilities	Insurance	Supplies	Marketing	ProfFees	Total
January	2800.00	680.00	437.00	1240.00	250.00	175.00	5582.00
February	2800.00	710.00	437.00	1180.00	300.00	0.00	5427.00
March	2800.00	620.00	437.00	1350.00	200.00	850.00	6257.00
April	2800.00	580.00	437.00	1290.00	350.00	0.00	5457.00
May	2800.00	540.00	437.00	1420.00	275.00	175.00	5647.00
June	2800.00	620.00	437.00	1310.00	225.00	0.00	5392.00
July	2800.00	680.00	437.00	1200.00	300.00	0.00	5417.00
August	2800.00	700.00	437.00	1150.00	200.00	175.00	5462.00
September	2800.00	640.00	437.00	1380.00	350.00	0.00	5607.00
October	2800.00	600.00	437.00	1450.00	275.00	850.00	6412.00
November	2800.00	620.00	437.00	1320.00	250.00	0.00	5427.00
December	2800.00	680.00	437.00	1180.00	300.00	175.00	5572.00
=======
Month	Rent	Utilities	Insurance	Supplies	Marketing	ProfFees	Total
January	2800.00	680.00	437.00	1240.00	250.00	175.00	5582.00
February	2800.00	710.00	437.00	1180.00	300.00	0.00	5427.00
March	2800.00	620.00	437.00	1350.00	200.00	850.00	6257.00
April	2800.00	580.00	437.00	1290.00	350.00	0.00	5457.00
May	2800.00	540.00	437.00	1420.00	275.00	175.00	5647.00
June	2800.00	620.00	437.00	1310.00	225.00	0.00	5392.00
July	2800.00	680.00	437.00	1200.00	300.00	0.00	5417.00
August	2800.00	700.00	437.00	1150.00	200.00	175.00	5462.00
September	2800.00	640.00	437.00	1380.00	350.00	0.00	5607.00
October	2800.00	600.00	437.00	1450.00	275.00	850.00	6412.00
November	2800.00	620.00	437.00	1320.00	250.00	0.00	5427.00
December	2800.00	680.00	437.00	1180.00	300.00	175.00	5572.00
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
