asset_id,symbol,qty,avg_entry_price,current_price,side,market_value,cost_basis,unrealized_pl
asset-0,SYM0,51,198.83,425.39,long,43098.99,33741.26,-3374.16
asset-1,SYM1,81,142.09,20.73,long,31319.4,41608.03,-2265.68
asset-2,SYM2,15,90.09,219.76,long,35036.04,32764.33,-1073.66
asset-3,SYM3,94,74.7,97.38,long,27537.97,2864.85,-757.33
asset-4,SYM4,19,10.76,52.84,long,22813.93,8053.93,2736.47
asset-5,SYM5,54,10.48,472.26,long,27173.92,17820.85,-3868.62
asset-6,SYM6,45,382.21,26.97,long,9004.4,46170.97,-640.37
asset-7,SYM7,70,205.35,486.84,long,18014.39,43768.47,-4405.32
asset-8,SYM8,17,131.11,404.41,long,42137.08,36713.48,821.73
asset-9,SYM9,19,364.96,56.52,long,9089.57,15574.02,-4788.2
asset-10,SYM10,38,43.02,128.2,long,42220.79,20884.77,1987.71
asset-11,SYM11,17,23.09,277.45,long,4373.42,2761.12,1435.44
