id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ord-0,co-0,SYM0,45,58,sell,market,day,,filled,314.83,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
ord-1,co-1,SYM1,87,60,buy,market,day,,new,121.62,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z
ord-2,co-2,SYM2,85,37,sell,market,day,,canceled,190.3,2026-03-03T00:00:00Z,2026-03-03T00:00:00Z
ord-3,co-3,SYM3,45,46,sell,market,day,,new,398.18,2026-04-04T00:00:00Z,2026-04-04T00:00:00Z
ord-4,co-4,SYM4,99,53,buy,market,day,,new,424.96,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z
ord-5,co-5,SYM5,16,51,sell,market,day,,canceled,27.69,2026-06-06T00:00:00Z,2026-06-06T00:00:00Z
ord-6,co-6,SYM6,81,96,sell,market,day,,canceled,496.24,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z
ord-7,co-7,SYM7,100,80,sell,market,day,,canceled,439.6,2026-08-08T00:00:00Z,2026-08-08T00:00:00Z
ord-8,co-8,SYM8,84,51,buy,market,day,,filled,437.06,2026-09-09T00:00:00Z,2026-09-09T00:00:00Z
ord-9,co-9,SYM9,30,88,buy,market,day,,new,309.89,2026-10-10T00:00:00Z,2026-10-10T00:00:00Z
ord-10,co-10,SYM10,25,26,sell,market,day,,new,104.93,2026-11-11T00:00:00Z,2026-11-11T00:00:00Z
ord-11,co-11,SYM11,68,100,buy,market,day,,filled,366.33,2026-12-12T00:00:00Z,2026-12-12T00:00:00Z
