symbol,bid_price,bid_size,ask_price,ask_size,timestamp
SYM0,73.82,32,266.75,12,2026-11-01T00:00:00Z
SYM1,412.75,46,436.93,36,2026-11-02T00:00:00Z
SYM2,171.21,39,134.09,18,2026-11-03T00:00:00Z
SYM3,299.89,28,338.88,33,2026-11-04T00:00:00Z
SYM4,487.44,26,384.25,5,2026-11-05T00:00:00Z
SYM5,450.64,14,96.09,30,2026-11-06T00:00:00Z
SYM6,233.53,23,94.61,48,2026-11-07T00:00:00Z
SYM7,16.49,22,147.06,34,2026-11-08T00:00:00Z
SYM8,51.78,29,290.85,21,2026-11-09T00:00:00Z
SYM9,89.2,23,36.5,36,2026-11-10T00:00:00Z
SYM10,322.69,18,247.59,49,2026-11-11T00:00:00Z
SYM11,20.37,41,495.51,4,2026-11-12T00:00:00Z
