caption_id,videoId,language,name,trackKind,isDraft,lastUpdated
cap_001,vid_001,en,English (auto-generated),ASR,false,2026-02-22T19:00:00Z
cap_002,vid_002,en,English (auto-generated),ASR,false,2026-01-15T18:00:00Z
cap_003,vid_003,en,English (auto-generated),ASR,false,2025-12-11T18:00:00Z
cap_004,vid_004,en,English (auto-generated),ASR,false,2025-11-20T18:00:00Z
cap_005,vid_005,en,English (auto-generated),ASR,false,2025-10-18T18:00:00Z
cap_006,vid_006,en,English (auto-generated),ASR,false,2026-03-28T18:00:00Z
cap_007,vid_007,en,English (auto-generated),ASR,false,2026-03-12T18:00:00Z
cap_008,vid_008,en,English (auto-generated),ASR,false,2026-02-22T18:00:00Z
cap_009,vid_009,en,English (auto-generated),ASR,false,2026-02-08T18:00:00Z
cap_010,vid_010,en,English (auto-generated),ASR,false,2026-01-24T18:00:00Z
cap_011,vid_011,en,English (auto-generated),ASR,false,2026-01-10T18:00:00Z
cap_012,vid_012,en,English (auto-generated),ASR,false,2025-12-14T18:00:00Z
cap_013,vid_013,en,English (auto-generated),ASR,false,2025-11-22T18:00:00Z
cap_014,vid_014,en,English (auto-generated),ASR,false,2025-10-30T18:00:00Z
cap_015,vid_015,en,English (auto-generated),ASR,false,2025-10-05T18:00:00Z
cap_016,vid_016,en,English (auto-generated),ASR,false,2025-03-12T18:00:00Z
cap_017,vid_017,en,English (auto-generated),ASR,false,2025-02-20T18:00:00Z
cap_018,vid_018,en,English (auto-generated),ASR,false,2025-01-28T18:00:00Z
cap_019,vid_019,en,English (auto-generated),ASR,false,2024-12-30T18:00:00Z
cap_020,vid_020,en,English (auto-generated),ASR,false,2024-11-18T18:00:00Z
cap_021,vid_021,en,English (auto-generated),ASR,false,2024-10-22T18:00:00Z
cap_022,vid_022,en,English (auto-generated),ASR,false,2025-03-15T18:00:00Z
cap_023,vid_023,en,English (auto-generated),ASR,false,2025-02-20T18:00:00Z
cap_024,vid_024,en,English (auto-generated),ASR,false,2025-01-26T18:00:00Z
cap_025,vid_025,en,English (auto-generated),ASR,false,2024-12-15T18:00:00Z
