transaction_id,date,type,category,description,amount_usd,memo
q3_001,2026-07-05,income,Yakima Saturday Market,Booth 14 sales week 1,2842.14,cash and Square
q3_002,2026-07-12,income,Yakima Saturday Market,Booth 14 sales week 2,3122.88,cash and Square
q3_003,2026-07-19,income,Yakima Saturday Market,Booth 14 sales week 3,3488.42,cash and Square
q3_004,2026-07-26,income,Yakima Saturday Market,Booth 14 sales week 4,3684.11,cash and Square
q3_005,2026-08-02,income,Yakima Saturday Market,Booth 14 sales week 5,4022.44,cash and Square
q3_006,2026-08-09,income,Yakima Saturday Market,Booth 14 sales week 6,4212.18,peak season
q3_007,2026-08-16,income,Yakima Saturday Market,Booth 14 sales week 7,4188.72,peak season
q3_008,2026-08-23,income,Yakima Saturday Market,Booth 14 sales week 8,4302.44,peak season
q3_009,2026-08-30,income,Yakima Saturday Market,Booth 14 sales week 9,4088.18,late peak
q3_010,2026-07-08,income,Restaurant,Harvest Table weekly delivery July 1,400.00,Linda Carter
q3_011,2026-07-15,income,Restaurant,Harvest Table weekly delivery July 2,400.00,Linda Carter
q3_012,2026-07-22,income,Restaurant,Harvest Table weekly delivery July 3,400.00,Linda Carter
q3_013,2026-07-29,income,Restaurant,Harvest Table weekly delivery July 4,400.00,Linda Carter
q3_014,2026-08-05,income,Restaurant,Harvest Table weekly delivery Aug 1,400.00,Linda Carter
q3_015,2026-08-12,income,Restaurant,Harvest Table weekly delivery Aug 2,400.00,Linda Carter
q3_016,2026-08-19,income,Restaurant,Harvest Table weekly delivery Aug 3,400.00,Linda Carter
q3_017,2026-08-26,income,Restaurant,Harvest Table weekly delivery Aug 4,400.00,Linda Carter
q3_018,2026-09-02,income,Restaurant,Harvest Table weekly delivery Sept 1,400.00,Linda Carter
q3_019,2026-09-09,income,Restaurant,Harvest Table weekly delivery Sept 2,400.00,Linda Carter
q3_020,2026-09-16,income,Restaurant,Harvest Table weekly delivery Sept 3,400.00,Linda Carter
q3_021,2026-09-23,income,Restaurant,Harvest Table weekly delivery Sept 4,400.00,Linda Carter
q3_022,2026-07-15,income,Restaurant,Cascadia Farm Table biweekly 1,250.00,Chef Meyers Ellensburg
q3_023,2026-07-29,income,Restaurant,Cascadia Farm Table biweekly 2,250.00,Chef Meyers Ellensburg
q3_024,2026-08-12,income,Restaurant,Cascadia Farm Table biweekly 3,250.00,Chef Meyers Ellensburg
q3_025,2026-08-26,income,Restaurant,Cascadia Farm Table biweekly 4,250.00,Chef Meyers Ellensburg
q3_026,2026-09-09,income,Restaurant,Cascadia Farm Table biweekly 5,250.00,Chef Meyers Ellensburg
q3_027,2026-09-23,income,Restaurant,Cascadia Farm Table biweekly 6,250.00,Chef Meyers Ellensburg
q3_028,2026-07-05,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_029,2026-07-19,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_030,2026-08-02,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_031,2026-08-16,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_032,2026-08-30,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_033,2026-09-13,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_034,2026-09-27,expense,Payroll,Jake Ruiz + Tomas Perez biweekly,3200.00,seasonal wages
q3_035,2026-07-01,expense,Bridwell lease,Farmland monthly lease,1800.00,recurring
q3_036,2026-08-01,expense,Bridwell lease,Farmland monthly lease,1800.00,recurring
q3_037,2026-09-01,expense,Bridwell lease,Farmland monthly lease,1800.00,recurring
q3_038,2026-07-15,expense,Farm operating,Seed + irrigation + fuel,2200.00,seasonal average
q3_039,2026-08-15,expense,Farm operating,Seed + irrigation + fuel,2200.00,seasonal average
q3_040,2026-09-15,expense,Farm operating,Seed + irrigation + fuel,2200.00,seasonal average
