line_id,category,vendor,amount_usd,cadence,due_date,account,notes
L001,housing,mortgage,1650.00,monthly,2026-10-01,Yakima Federal Credit Union,4.25 fixed
L002,farm,Bridwell farmland lease,1800.00,monthly,2026-10-01,Yakima Federal Credit Union,recurring
L003,farm,farm operating amortized,2200.00,monthly,2026-10-15,QuickBooks,seasonal average
L004,household,groceries,700.00,monthly,2026-10-30,Yakima Federal Credit Union,farm-supplemented
L005,household,utilities gas plus electric plus water,260.00,monthly,2026-10-15,Yakima Federal Credit Union,estimate
L006,auto,Honda Odyssey payment,380.00,monthly,2026-10-05,Yakima Federal Credit Union,Catherine van
L007,auto,Ford F-250 insurance and gas,350.00,monthly,2026-10-05,Yakima Federal Credit Union,farm truck
L008,kids,activities soccer piano dance,300.00,monthly,2026-10-15,Yakima Federal Credit Union,combined
L009,church,tithe Grace Lutheran,400.00,monthly,2026-10-04,Yakima Federal Credit Union,recurring
L010,personal,phone and internet,140.00,monthly,2026-10-12,Yakima Federal Credit Union,combined
L011,family,Margaret medication copays,120.00,monthly,2026-10-15,Yakima Federal Credit Union,Methotrexate plus Amlodipine
L012,band,band expenses,100.00,monthly,2026-10-15,Yakima Federal Credit Union,strings and gas
L013,misc,miscellaneous,200.00,monthly,2026-10-30,Yakima Federal Credit Union,rounded
L014,farm,greenhouse plastic bill,2650.00,one-time,2026-10-25,Yakima Federal Credit Union,updated invoice
L015,band,van brakes,600.00,one-time,2026-11-13,Yakima Federal Credit Union,before Prosser Nov 14
L016,farm,Karen Estrada Q3 CPA fee,850.00,one-time,2026-10-20,Yakima Federal Credit Union,quarterly filing
L017,farm,cherry tree order for half-acre expansion,6800.00,one-time,2026-10-30,Yakima Federal Credit Union,dependent on orchard vote
L018,household,Halloween costume supplies,80.00,one-time,2026-10-30,Yakima Federal Credit Union,Lily sunflower wire and fabric
L019,household,Thanksgiving grocery add for Navarros stay,320.00,one-time,2026-11-25,Yakima Federal Credit Union,six days of family visit
L020,household,Ellensburg tournament travel,120.00,one-time,2026-10-11,Yakima Federal Credit Union,Ryan soccer weekend
OCT_TOTAL,ALL,All October outflows plus one-time,20020.00,,2026-10-30,Yakima Federal Credit Union,sum of L001 through L020
