id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
seg_001,Umstead Park Loop,Run,8046.7,1.5,4.2,150,120,4,,
seg_002,Briar Creek Neighborhood,Run,5000.0,0.5,2.0,130,125,0,,
seg_003,Briar Creek Neighborhood,Run,5000.0,1.5,2.0,130,120,4,Chapel Hill,done
seg_004,Umstead Park Loop,Run,8046.7,1.5,4.2,130,125,0,Morrisville,closed
seg_005,Umstead Park Loop,Run,5000.0,0.5,4.2,150,125,0,Wake Forest,done
seg_006,Umstead Park Loop,Run,8046.7,0.5,2.0,150,125,4,Holly Springs,open
seg_007,Umstead Park Loop,Run,5000.0,0.5,2.0,150,120,4,Durham,active
seg_008,Briar Creek Neighborhood,Run,8046.7,1.5,4.2,130,125,0,Durham,completed
seg_009,Briar Creek Neighborhood,Run,5000.0,1.5,2.0,130,125,4,Raleigh,scheduled
seg_010,Umstead Park Loop,Run,8046.7,1.5,2.0,150,120,4,Raleigh,closed
seg_011,Briar Creek Neighborhood,Run,8046.7,1.5,4.2,130,120,4,Wake Forest,pending
seg_012,Briar Creek Neighborhood,Run,5000.0,1.5,2.0,130,120,4,Apex,pending
seg_013,Umstead Park Loop,Run,8046.7,1.5,4.2,150,120,4,Raleigh,active
seg_014,Umstead Park Loop,Run,8046.7,1.5,2.0,130,120,4,Cary,open
seg_015,Umstead Park Loop,Run,8046.7,1.5,2.0,150,125,0,Chapel Hill,open
seg_016,Umstead Park Loop,Run,5000.0,0.5,2.0,150,125,0,Apex,active
seg_017,Briar Creek Neighborhood,Run,8046.7,0.5,4.2,130,120,0,Durham,pending
seg_018,Briar Creek Neighborhood,Run,5000.0,0.5,4.2,150,125,4,Wake Forest,pending
seg_019,Briar Creek Neighborhood,Run,5000.0,1.5,4.2,150,120,0,Cary,confirmed
seg_020,Umstead Park Loop,Run,5000.0,1.5,2.0,130,125,0,Holly Springs,open
seg_021,Umstead Park Loop,Run,5000.0,1.5,4.2,150,120,4,Raleigh,pending
seg_022,Umstead Park Loop,Run,8046.7,0.5,2.0,130,125,0,Morrisville,completed
seg_023,Briar Creek Neighborhood,Run,8046.7,0.5,2.0,130,125,4,Apex,confirmed
seg_024,Briar Creek Neighborhood,Run,8046.7,0.5,2.0,150,125,0,Chapel Hill,completed
seg_025,Umstead Park Loop,Run,8046.7,1.5,2.0,150,125,0,Apex,open
seg_026,Umstead Park Loop,Run,8046.7,1.5,4.2,130,120,0,Morrisville,closed
seg_027,Umstead Park Loop,Run,5000.0,0.5,2.0,130,120,4,Raleigh,completed
seg_028,Briar Creek Neighborhood,Run,8046.7,1.5,2.0,130,125,0,Cary,scheduled
seg_029,Umstead Park Loop,Run,5000.0,1.5,2.0,130,125,0,Morrisville,done
seg_030,Umstead Park Loop,Run,5000.0,0.5,4.2,150,125,0,Raleigh,completed
seg_031,Umstead Park Loop,Run,8046.7,1.5,4.2,150,125,4,Holly Springs,completed
seg_032,Briar Creek Neighborhood,Run,8046.7,0.5,2.0,130,120,4,Morrisville,pending
seg_033,Briar Creek Neighborhood,Run,8046.7,1.5,2.0,130,125,4,Cary,pending
seg_034,Briar Creek Neighborhood,Run,5000.0,0.5,2.0,130,120,0,Apex,completed
seg_035,Briar Creek Neighborhood,Run,8046.7,1.5,2.0,150,120,4,Durham,pending
seg_036,Briar Creek Neighborhood,Run,5000.0,1.5,4.2,150,125,4,Apex,open
seg_037,Briar Creek Neighborhood,Run,8046.7,0.5,4.2,150,125,0,Holly Springs,scheduled
seg_038,Briar Creek Neighborhood,Run,8046.7,0.5,4.2,130,125,4,Cary,active
seg_039,Briar Creek Neighborhood,Run,8046.7,0.5,2.0,150,120,4,Cary,pending
seg_040,Umstead Park Loop,Run,8046.7,1.5,2.0,150,125,4,Morrisville,closed
seg_041,Briar Creek Neighborhood,Run,8046.7,1.5,4.2,130,120,0,Chapel Hill,active
seg_042,Umstead Park Loop,Run,8046.7,1.5,4.2,130,125,0,Morrisville,active
seg_043,Umstead Park Loop,Run,5000.0,0.5,4.2,130,125,0,Raleigh,active
seg_044,Umstead Park Loop,Run,5000.0,0.5,4.2,130,125,4,Durham,confirmed
seg_045,Umstead Park Loop,Run,5000.0,0.5,4.2,130,125,0,Apex,closed
seg_046,Briar Creek Neighborhood,Run,5000.0,1.5,2.0,130,125,4,Morrisville,completed
seg_047,Umstead Park Loop,Run,8046.7,0.5,2.0,130,125,4,Raleigh,completed
