food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Homemade Whole Wheat Bread,Matt's Kitchen,1 slice,slice,90,1.5,0.3,0,180,15,3,2,4,55,true
2,Manuel Sourdough,Matt's Kitchen,1 slice,slice,120,1.8,0.3,0,200,22,2,1,4,45,true
3,Homemade Chili,Matt's Kitchen,1 cup,cup,320,12,4,45,620,32,8,5,22,780,true
4,Stuffed Poblano Pepper,Matt's Kitchen,1 pepper,pepper,285,14,6,55,480,22,5,6,18,620,true
5,Banana Pudding,Matt's Kitchen,1 serving,serving,320,8,3.5,65,180,62,2,42,5,320,true
6,Caldo de Res,Matt's Kitchen,1 cup,cup,220,8,3,40,780,12,3,3,22,620,true
7,Caldo Tlalpeno,Matt's Kitchen,1 cup,cup,180,5,1.5,30,720,12,4,3,18,640,true
8,Homemade Cornbread,Matt's Kitchen,1 piece,piece,165,6,1.5,25,340,24,1,4,4,85,true
9,Christmas Casserole,Matt's Kitchen,1 serving,serving,380,18,8,85,640,32,4,4,22,480,true
10,Fresh Tortilla,Matt's Kitchen,1 tortilla,tortilla,120,2,0.5,0,180,22,2,0,3,55,true
11,Chamomile Tea,Matt's Garden,1 cup,cup,2,0,0,0,5,0,0,0,0,20,true
12,Spearmint Tea,Matt's Garden,1 cup,cup,2,0,0,0,5,0,0,0,0,25,true
13,Coffee (Dark Roast),Peet's,1 cup,cup,5,0,0,0,5,0,0,0,0,116,true
14,Heavy Cream,Kirkland,1 tbsp,tbsp,50,5.5,3.5,20,5,0,0,0,0.5,15,true
15,Metformin 500mg,Rx,1 tab,tab,0,0,0,0,0,0,0,0,0,0,true
16,Lisinopril 10mg,Rx,1 tab,tab,0,0,0,0,0,0,0,0,0,0,true
17,Calcium Citrate 600mg,Kirkland,1 tab,tab,5,0,0,0,2,1,0,0,0,0,true
18,Vitamin D3 1000IU,Kirkland,1 gel,gel,5,0.5,0,0,0,0,0,0,0,0,true
19,Refried Beans,La Costena,1/2 cup,cup,120,3,1,5,480,18,5,1,6,320,true
20,Pinto Beans,Homemade,1/2 cup,cup,118,0.4,0.1,0,8,22,8,1,8,375,true
21,Corn Tortilla,Mission,1 tortilla,tortilla,60,1,0.2,0,15,12,1,0,1,45,true
22,Flour Tortilla,Mission,1 tortilla,tortilla,130,3,1,0,340,22,1,0,4,55,true
23,Salsa Verde,Herdez,2 tbsp,tbsp,10,0,0,0,220,2,0,1,0,45,true
24,Salsa Roja,Herdez,2 tbsp,tbsp,12,0,0,0,240,3,0,1,0,55,true
25,Queso Chihuahua,Cacique,1 oz,oz,100,8,5,25,180,1,0,0,6,25,true
26,Queso Fresco,Cacique,1 oz,oz,90,7,4,22,220,1,0,0,6,22,true
27,Avocado,Fresh,1 medium,medium,234,21,3,0,11,12,10,1,3,690,true
28,Nopales (cactus),Fresh,1 pad,pad,14,0.1,0,0,18,3,2,1,1,210,true
29,"Rice, White Long Grain",Mahatma,1/2 cup dry,cup,340,0.5,0.1,0,5,74,1,0,6,55,true
30,Ground Turkey,Jennie-O,3 oz cooked,oz,170,9,2,65,65,0,0,0,21,195,true
31,Beef Chuck,Kroger,3 oz cooked,oz,220,12,5,78,55,0,0,0,26,285,true
32,Chicken Breast,Kroger,3 oz cooked,oz,128,2.7,0.8,73,55,0,0,0,26,220,true
33,"Eggs, Large",Egglands,1 egg,egg,72,5,1.6,186,71,0.4,0,0.4,6,71,true
34,Whole Milk,HEB,1 cup,cup,149,8,4.5,24,105,12,0,12,8,322,true
35,"Butter, Salted",Kerrygold,1 tbsp,tbsp,100,11,7,30,90,0,0,0,0.1,3,true
36,Olive Oil Extra Virgin,California,1 tbsp,tbsp,120,14,2,0,0,0,0,0,0,0.3,true
37,"Cumin, Ground",McCormick,1 tsp,tsp,8,0.5,0,0,4,1,0,0,0.4,45,true
38,Mexican Oregano,Matt's Garden,1 tsp,tsp,3,0.1,0,0,1,0.7,0,0,0.1,12,true
39,Cilantro Fresh,HEB,1/4 cup,cup,1,0,0,0,2,0.2,0,0,0.1,20,true
40,"Onion, Yellow",HEB,1/2 cup,cup,32,0.1,0,0,3,7,1,3,1,116,true
41,"Garlic, Fresh",HEB,1 clove,clove,4,0,0,0,1,1,0.1,0,0.2,12,true
42,"Tomato, Roma",HEB,1 medium,medium,22,0.2,0,0,5,4.8,1.5,3.2,1,292,true
43,Chile Poblano,HEB,1 pepper,pepper,20,0.2,0,0,3,4,2,2,1,175,true
44,Chile Ancho Dried,El Guapo,1 pepper,pepper,48,1.5,0,0,12,8,4,4,2,220,true
45,Chile Guajillo Dried,El Guapo,1 pepper,pepper,32,1,0,0,10,6,3,3,1.5,180,true
46,Cornmeal,Bob's Red Mill,1/4 cup,cup,100,1,0,0,5,22,2,0,2,65,true
47,"Flour, All-Purpose",King Arthur,1/4 cup,cup,110,0.3,0,0,0,24,1,0,3,32,true
48,"Sugar, Granulated",C&H,1 tsp,tsp,16,0,0,0,0,4,0,4,0,0,true
49,Vanilla Extract,McCormick,1 tsp,tsp,12,0,0,0,0,0.5,0,0.5,0,3,true
50,Baking Powder,Rumford,1 tsp,tsp,2,0,0,0,480,1,0,0,0,30,true
51,Baking Soda,Arm & Hammer,1 tsp,tsp,0,0,0,0,1259,0,0,0,0,0,true
52,Kosher Salt,Diamond,1 tsp,tsp,0,0,0,0,1360,0,0,0,0,0,true
53,Black Pepper,McCormick,1 tsp,tsp,6,0.1,0,0,1,1.5,0.5,0,0.2,22,true
54,Rosemary Fresh,Matt's Garden,1 tbsp,tbsp,2,0,0,0,0,0.3,0.2,0,0.1,4,true
55,Basil Fresh,Matt's Garden,1 tbsp,tbsp,1,0,0,0,0,0.1,0.1,0,0.1,8,true
56,Lavender Buds,Matt's Garden,1 tsp,tsp,2,0,0,0,0,0.4,0.1,0,0.1,5,true
57,Damiana Dried,Las Cruces Herb Shop,1 tsp,tsp,4,0,0,0,0,0.8,0.3,0,0.2,8,true
58,Aloe Vera Gel Fresh,Matt's Garden,1 tbsp,tbsp,4,0,0,0,0,1,0.1,0.5,0,5,true
59,Rue Fresh,Matt's Garden,1 sprig,sprig,1,0,0,0,0,0.1,0,0,0.1,3,true
60,Banana,Fresh,1 medium,medium,105,0.4,0.1,0,1,27,3,14,1,422,true
61,Apple,Fresh,1 medium,medium,95,0.3,0,0,2,25,4,19,0,195,true
62,Orange,Fresh,1 medium,medium,62,0.2,0,0,0,15,3,12,1,237,true
63,Grapes,HEB,1 cup,cup,104,0.2,0,0,3,27,1,23,1,288,true
64,Sweet Potato Baked,Fresh,1 medium,medium,103,0.2,0,0,41,24,4,7,2,542,true
65,Potato Baked,Fresh,1 medium,medium,161,0.2,0,0,17,37,4,2,4,926,true
66,Green Beans,HEB,1 cup,cup,31,0.2,0,0,6,7,3,3,2,209,true
67,Corn on Cob,HEB,1 ear,ear,88,1.4,0.2,0,15,19,2,6,3,250,true
68,Squash Butternut,HEB,1 cup cooked,cup,82,0.2,0,0,8,22,7,4,2,582,true
69,Zucchini,HEB,1 cup,cup,20,0.4,0,0,10,4,1,2,1.5,295,true
