weight_id,date,weight_lbs,notes
1,2024-12-06,189.6,morning weigh-in Friday
2,2024-12-13,189.6,steady
3,2024-12-20,189.1,steady
4,2024-12-27,188.9,steady
5,2025-01-03,188.9,morning weigh-in Friday
6,2025-01-10,188.8,steady
7,2025-01-17,188.3,steady
8,2025-01-24,187.9,steady
9,2025-01-31,187.6,morning weigh-in Friday
10,2025-02-07,187.4,steady
11,2025-02-14,187.0,steady
12,2025-02-21,186.9,steady
13,2025-02-28,186.9,morning weigh-in Friday
14,2025-03-07,186.6,steady
15,2025-03-14,186.7,steady
16,2025-03-21,186.7,steady
17,2025-03-28,186.3,morning weigh-in Friday
18,2025-04-04,186.5,steady
19,2025-04-11,186.3,steady
20,2025-04-18,186.3,steady
21,2025-04-25,186.5,morning weigh-in Friday
22,2025-05-02,186.3,steady
23,2025-05-09,185.9,steady
24,2025-05-16,185.8,steady
25,2025-05-23,186.0,morning weigh-in Friday
26,2025-05-30,185.8,steady
27,2025-06-06,186.1,steady
28,2025-06-13,186.3,steady
29,2025-06-20,186.3,morning weigh-in Friday
30,2025-06-27,186.1,steady
31,2025-07-04,185.8,steady
32,2025-07-11,186.1,steady
33,2025-07-18,186.3,morning weigh-in Friday
34,2025-07-25,186.7,steady
35,2025-08-01,186.4,steady
36,2025-08-08,186.0,steady
37,2025-08-15,185.9,morning weigh-in Friday
38,2025-08-22,185.6,steady
39,2025-08-29,185.9,steady
40,2025-09-05,186.1,steady
41,2025-09-12,186.2,morning weigh-in Friday
42,2025-09-19,185.9,steady
43,2025-09-26,186.2,steady
44,2025-10-03,185.7,steady
45,2025-10-10,185.1,morning weigh-in Friday
46,2025-10-17,185.4,steady
47,2025-10-24,185.5,steady
48,2025-10-31,185.1,steady
49,2025-11-07,185.1,morning weigh-in Friday
50,2025-11-14,185.3,steady
51,2025-11-21,185.2,steady
52,2025-11-28,185.4,steady
53,2025-12-05,185.7,morning weigh-in Friday
54,2025-12-12,185.7,steady
55,2025-12-19,185.9,steady
56,2025-12-26,186.2,steady
57,2026-01-02,186.3,morning weigh-in Friday
58,2026-01-09,186.2,steady
59,2026-01-16,186.1,steady
60,2026-01-23,186.1,steady
61,2026-01-30,185.7,morning weigh-in Friday
62,2026-02-06,186.0,steady
63,2026-02-13,185.9,steady
64,2026-02-20,186.2,steady
65,2026-02-27,185.9,morning weigh-in Friday
66,2026-03-06,186.2,steady
67,2026-03-13,186.3,steady
68,2026-03-20,186.0,steady
69,2026-03-27,186.2,morning weigh-in Friday
70,2026-04-03,185.8,steady
71,2026-04-10,185.5,steady
72,2026-04-17,185.8,steady
73,2026-04-24,185.6,morning weigh-in Friday
74,2026-05-01,185.1,steady
75,2026-05-08,184.5,steady
76,2026-05-15,184.9,steady
77,2026-05-22,184.4,morning weigh-in Friday
78,2026-05-29,184.1,steady
79,2026-06-05,184.4,steady
80,2026-06-12,184.4,steady
81,2026-06-19,184.2,morning weigh-in Friday
82,2026-06-26,184.3,steady
83,2026-07-03,184.1,steady
84,2026-07-10,183.9,steady
85,2026-07-17,183.6,morning weigh-in Friday
86,2026-07-24,183.1,steady
87,2026-07-31,182.7,steady
88,2026-08-07,183.1,steady
89,2026-08-14,182.6,morning weigh-in Friday
90,2026-08-21,182.3,steady
91,2026-08-28,182.5,steady
92,2026-09-04,182.6,steady
93,2026-09-11,182.2,morning weigh-in Friday
94,2026-09-18,182.1,steady
95,2026-09-25,182.2,steady
96,2026-10-02,182.1,steady
97,2026-10-09,182.2,morning weigh-in Friday
98,2026-10-16,182.4,steady
99,2026-10-23,181.9,steady
100,2026-10-30,181.5,steady
