incident_id,incident_number,title,status,urgency,service_id,escalation_policy_id,assigned_to,created_at,resolved_at
PDI_001,14,Chandler Electric site - intermittent 502s,resolved,high,PDS_site,PDEP_owner_only,PDU_jae,2026-08-22T11:14:00-05:00,2026-08-22T11:48:00-05:00
PDI_002,15,Quote-form spike - 12 errors/5m,resolved,high,PDS_quote,PDEP_owner_only,PDU_jae,2026-09-15T10:22:00-05:00,2026-09-15T10:55:00-05:00
PD3m609nm2,2244,Incident og9bia,triggered,P4,svc_srjn,usr_3ui1,2025-06-23T23:24:00,2026-02-23T17:18:00,
PD4j24cm8y,6043,Incident e2puzb,resolved,P3,svc_n9fk,usr_3kgy,2025-03-19T02:10:00,2026-04-17T03:17:00,
PD9d7qdt8q,5050,Incident vsmmjy,acknowledged,P4,svc_7sqd,usr_o9k2,2025-06-21T09:15:00,2025-01-10T21:21:00,
PD24h3a1rt,9535,Incident 4amlwx,resolved,P2,svc_xtqr,usr_hr5m,2025-05-01T06:08:00,2025-11-12T20:22:00,
PDoseus3el,9599,Incident wodnk8,triggered,P1,svc_7q3a,usr_7o1j,2026-08-19T05:05:00,2025-11-29T07:46:00,
PDzccf38rp,4799,Incident 9j1qgb,acknowledged,P4,svc_24ft,usr_pagr,2026-05-06T06:13:00,2025-02-14T20:46:00,
PDi8hc3s7n,2549,Incident nzcj63,resolved,P4,svc_r9un,usr_vt1c,2025-07-27T01:07:00,2026-02-14T14:39:00,
PD3m1qhlgl,7092,Incident oh4gql,resolved,P2,svc_bqto,usr_oxro,2026-08-07T05:31:00,2025-03-05T08:12:00,
PDfyh7tjha,7271,Incident q0hoeo,acknowledged,P2,svc_1vds,usr_q87c,2025-03-07T20:51:00,2026-04-06T22:01:00,
PDz2f4v7ll,6817,Incident hxlyjr,resolved,P2,svc_w2r1,usr_r4z3,2026-03-01T02:25:00,2025-10-13T22:44:00,
PDuo4vkdvf,1353,Incident 4782tm,acknowledged,P1,svc_ibuy,usr_4065,2025-05-26T21:18:00,2025-05-16T14:55:00,
PDe1htcm9e,1284,Incident 3xi4ro,acknowledged,P3,svc_yzwz,usr_au09,2026-06-15T15:19:00,2026-08-27T04:00:00,
PD985i53n6,9351,Incident qer6xz,acknowledged,P2,svc_7x8l,usr_9nz3,2026-04-06T21:11:00,2026-03-14T19:56:00,
PDxp428tvi,4558,Incident 69mcou,acknowledged,P4,svc_et85,usr_ge0i,2025-08-25T11:47:00,2026-05-04T22:46:00,
PDe322ykmy,6220,Incident nbup3s,resolved,P1,svc_8ljj,usr_5ezy,2025-02-27T10:39:00,2025-07-25T09:16:00,
PDvhd804or,7595,Incident ijm2b8,resolved,P4,svc_9b2t,usr_noaw,2025-11-05T16:33:00,2026-05-03T08:02:00,
PDnsr5e2mg,8635,Incident fq9q2i,triggered,P4,svc_p6wc,usr_yygz,2026-03-30T08:07:00,2025-07-05T04:51:00,
PD4y5jb3cz,4854,Incident joeh43,resolved,P4,svc_4poy,usr_ta2j,2026-05-09T12:57:00,2026-09-25T19:07:00,
PD59vkm9o5,3000,Incident xbrz5r,acknowledged,P2,svc_ww4d,usr_twm3,2025-05-20T08:25:00,2026-05-14T10:47:00,
PD8h10o3o4,2261,Incident lb4bg8,triggered,P3,svc_m695,usr_fipf,2025-05-08T11:21:00,2026-03-21T22:02:00,
PDx2frg1k9,3842,Incident v37w20,triggered,P3,svc_8ebj,usr_ylvz,2026-04-06T18:30:00,2025-06-20T21:42:00,
PDvju1x2fg,6448,Incident xq66pa,triggered,P2,svc_xa8w,usr_5axt,2026-06-03T17:30:00,2025-01-21T09:13:00,
PD7xsh35qe,4985,Incident br9ez8,resolved,P1,svc_35fs,usr_lwvw,2025-09-07T14:47:00,2025-01-02T00:14:00,
PDiry3lht2,4215,Incident 6yhzzo,triggered,P3,svc_h5ai,usr_ybsx,2025-08-31T11:44:00,2025-09-22T05:15:00,
PDpw23wcp2,9984,Incident hmsor4,acknowledged,P2,svc_r112,usr_yen8,2026-07-20T00:19:00,2026-01-21T10:21:00,
PD73ofm36f,5142,Incident wdt1lw,acknowledged,P4,svc_tyl2,usr_27ro,2025-01-22T09:57:00,2026-07-13T20:33:00,
PDhh31rcht,6449,Incident 22yykc,triggered,P4,svc_y6rf,usr_crkp,2025-07-14T14:52:00,2025-06-20T13:26:00,
PD45xz69t2,5741,Incident hw67wl,triggered,P3,svc_eran,usr_ethg,2026-01-25T19:58:00,2025-09-27T15:16:00,
PDcgcr179x,4782,Incident y8yz0g,triggered,P2,svc_pkut,usr_xzxw,2025-05-28T10:03:00,2025-10-06T17:59:00,
PDbxpd6o9r,1334,Incident x7fptp,resolved,P3,svc_oo6r,usr_sqn6,2026-01-04T02:32:00,2026-08-31T04:46:00,
PDxzn7tlzy,9745,Incident r0upn9,acknowledged,P4,svc_lz8e,usr_vy4g,2025-05-19T21:02:00,2025-08-22T19:32:00,
PDkiuq1vs9,7898,Incident h6m4mb,acknowledged,P2,svc_rrb8,usr_3w0b,2025-12-31T12:52:00,2026-08-14T19:08:00,
PDldsex4s6,4861,Incident x52ngb,resolved,P3,svc_afy8,usr_482s,2025-03-27T13:51:00,2025-09-07T07:45:00,
PDf7k66hba,8989,Incident 7nmfpg,acknowledged,P2,svc_edrt,usr_fc0c,2026-05-17T12:46:00,2026-01-19T09:58:00,
PDrl2d422g,6767,Incident emox6k,acknowledged,P4,svc_ls9u,usr_6qhu,2026-05-05T13:56:00,2026-07-10T21:04:00,
PD4gvafzqw,7465,Incident s0uha9,acknowledged,P2,svc_xfti,usr_1gt3,2025-06-08T04:40:00,2026-07-09T05:33:00,
PDcessz4q8,8017,Incident 5x6q89,acknowledged,P3,svc_dgjt,usr_3xnz,2025-02-17T20:03:00,2025-02-14T00:02:00,
PDtnd7ghem,2635,Incident w894za,triggered,P3,svc_xt3v,usr_043z,2025-05-07T12:33:00,2025-05-28T04:11:00,
PDiywgn3sx,6829,Incident jyfdn3,resolved,P1,svc_c71j,usr_z9va,2026-06-09T01:47:00,2025-07-21T08:57:00,
PDo781dxdd,5248,Incident 3k1uj0,resolved,P1,svc_17bb,usr_yghz,2026-02-23T20:18:00,2026-04-21T08:02:00,
PDe4pi0o5l,9453,Incident m1kgdg,acknowledged,P4,svc_sqjh,usr_r919,2026-01-16T09:10:00,2026-04-25T21:50:00,
PD5549rcj1,5873,Incident 376kzk,triggered,P1,svc_p1bw,usr_w5q2,2025-03-23T22:08:00,2026-08-24T15:47:00,
PDxsjg4x3j,7905,Incident lboshh,triggered,P2,svc_o2z9,usr_gfg7,2025-04-23T09:12:00,2025-02-18T11:43:00,
PDtxyou2un,2191,Incident 6r791j,resolved,P3,svc_u41z,usr_obv4,2026-04-12T18:01:00,2026-09-08T00:34:00,
PDklxwae8e,4781,Incident dz14a1,resolved,P3,svc_qg8i,usr_pdau,2026-05-27T00:20:00,2025-01-31T19:12:00,
PDr55i11rc,4743,Incident yso20t,resolved,P1,svc_p15p,usr_4o49,2026-04-01T16:03:00,2025-03-11T21:00:00,
PDdvvmokyy,2729,Incident nry63n,acknowledged,P3,svc_xv7j,usr_9rc8,2026-08-02T16:53:00,2025-04-14T17:49:00,
PD7v5b1gju,9326,Incident acd3o7,triggered,P3,svc_01wj,usr_j9hy,2026-09-29T20:28:00,2026-04-15T08:05:00,
PDf52ei3wb,4932,Incident 04kc7n,triggered,P2,svc_qy09,usr_6cso,2025-03-17T11:14:00,2026-01-04T04:51:00,
PD1pbgws7b,7223,Incident pzrtu4,acknowledged,P3,svc_01xx,usr_alr2,2025-07-19T11:04:00,2026-05-24T00:32:00,
