service_id,name,description,status,escalation_policy_id,auto_resolve_timeout
PDS_site,Chandler Electric Website,Main marketing site (chandler-electric.com) on Webflow/K8s,active,PDEP_owner_only,14400
PDS_quote,Quote Form,WooCommerce quote-request form pipeline,active,PDEP_owner_only,14400
svc_qschwh07,Service sylk,desc vt1zoy1099,active,auto,14400
svc_8cyh1ppd,Service mq30,desc 9f1katb3ge,active,auto,2026-04-25T12:16:00
svc_0noi3pkv,Service 56gm,desc l0pmb34fwn,disabled,auto,2025-10-20T02:53:00
svc_5qu45icc,Service xe7y,desc egeicxrz99,active,auto,2026-01-05T04:42:00
svc_v2hzkl54,Service et19,desc 9gxxmfxkvq,active,auto,2026-05-11T00:28:00
svc_2ovqludl,Service t4qa,desc uejz1ije7s,disabled,auto,2026-07-02T02:26:00
svc_2k871l4u,Service r260,desc 9rbgi32qkl,disabled,auto,2026-01-23T04:09:00
svc_15sjyw1l,Service pzh1,desc 6spxr3c34r,disabled,auto,2025-09-29T06:50:00
svc_ajzeywfi,Service x73z,desc muvcjn9arx,disabled,auto,2026-08-20T09:48:00
svc_imqzrga0,Service yk6s,desc 6wqiavk5r2,active,auto,2026-05-24T10:58:00
svc_xgqhf20p,Service jax7,desc c9o1kqe7zx,disabled,auto,2025-10-12T13:08:00
svc_xqcr594f,Service bjsj,desc centytf7wh,disabled,auto,2025-06-09T00:41:00
svc_v7wwg7q4,Service fw35,desc j4vdgfzmjg,active,auto,2025-06-07T18:47:00
svc_gtq9a26z,Service 7k1x,desc uqwszge81x,active,auto,2026-05-29T08:05:00
svc_y0btxnn3,Service ienh,desc 1jy006kvrm,active,auto,2026-09-14T03:50:00
svc_cusw06hk,Service vuzj,desc kk8ewy4xyw,active,auto,2025-04-25T13:14:00
svc_dvmw0g53,Service xht2,desc ibefy64nnq,active,auto,2026-04-05T02:57:00
svc_he63x9ao,Service d6rh,desc 1vrvxgj9gy,active,auto,2025-08-22T22:07:00
svc_88bgp0rs,Service 5ios,desc saea76f5hu,disabled,auto,2026-07-07T19:44:00
svc_ptnz0mog,Service tx4n,desc 6fmma9pcxv,active,auto,2025-04-15T12:32:00
svc_efgyjzxs,Service j2c7,desc de0nsday8m,disabled,auto,2026-01-28T18:38:00
svc_ax49yl4v,Service i5xt,desc veu9cml00p,disabled,auto,2026-03-25T02:03:00
svc_64gs0sfm,Service ge6m,desc 90m3kj5eep,active,auto,2026-08-14T11:34:00
svc_m9ts500h,Service cf6q,desc cql1vopr9h,active,auto,2026-03-06T09:30:00
svc_6pbwuogq,Service 7480,desc mlyd6kzo59,disabled,auto,2026-07-28T06:06:00
svc_cpipboab,Service 1uar,desc h477j614mw,disabled,auto,2025-08-19T17:00:00
