catalog_object_id,location_id,quantity,state
var_patch,loc_dojo,80,IN_STOCK
var_shinai,loc_dojo,35,IN_STOCK
var_tee_m,loc_dojo,20,IN_STOCK
var_tee_l,loc_dojo,22,IN_STOCK
var_tee_xl,loc_dojo,18,IN_STOCK
sq-cat-00392,front_display,44,2026-05-19
sq-cat-00354,reserved,16,2026-10-06
sq-cat-00319,front_display,42,2026-06-29
sq-cat-00301,reserved,32,2026-05-03
sq-cat-00360,warehouse,17,2026-06-05
sq-cat-00330,reserved,48,2026-09-09
sq-cat-00402,back_shelf,38,2026-07-08
sq-cat-00316,front_display,32,2026-06-14
sq-cat-00362,front_display,6,2026-07-31
sq-cat-00311,front_display,52,2026-05-21
sq-cat-00382,back_shelf,63,2026-08-08
sq-cat-00371,back_shelf,4,2026-08-15
sq-cat-00388,front_display,21,2026-09-23
sq-cat-00358,reserved,37,2026-07-08
sq-cat-00313,reserved,21,2026-08-27
sq-cat-00329,back_shelf,79,2026-07-15
sq-cat-00355,warehouse,12,2026-08-12
sq-cat-00401,reserved,64,2026-09-30
sq-cat-00335,warehouse,17,2026-06-06
sq-cat-00318,front_display,25,2026-09-21
sq-cat-00339,back_shelf,40,2026-06-11
sq-cat-00404,warehouse,28,2026-08-08
sq-cat-00393,reserved,76,2026-08-09
sq-cat-00309,warehouse,45,2026-10-10
sq-cat-00391,warehouse,21,2026-09-29
sq-cat-00342,warehouse,61,2026-08-31
sq-cat-00390,reserved,33,2026-08-09
sq-cat-00332,warehouse,73,2026-08-23
sq-cat-00336,reserved,10,2026-07-27
sq-cat-00386,front_display,63,2026-06-22
sq-cat-00405,warehouse,16,2026-08-13
sq-cat-00308,front_display,55,2026-07-18
sq-cat-00321,warehouse,3,2026-07-06
sq-cat-00331,reserved,49,2026-09-23
sq-cat-00337,back_shelf,23,2026-09-18
sq-cat-00314,back_shelf,32,2026-05-26
sq-cat-00346,front_display,26,2026-06-15
sq-cat-00305,back_shelf,15,2026-05-05
sq-cat-00350,reserved,40,2026-09-12
sq-cat-00338,front_display,54,2026-06-06
sq-cat-00317,back_shelf,2,2026-08-30
sq-cat-00327,front_display,20,2026-05-09
sq-cat-00380,reserved,27,2026-07-10
sq-cat-00397,front_display,63,2026-09-15
sq-cat-00334,reserved,57,2026-06-13
sq-cat-00304,reserved,1,2026-07-30
sq-cat-00394,front_display,17,2026-09-20
sq-cat-00384,reserved,53,2026-05-14
sq-cat-00361,reserved,66,2026-09-24
sq-cat-00389,reserved,48,2026-06-15
sq-cat-00377,back_shelf,62,2026-06-08
sq-cat-00369,front_display,31,2026-09-03
sq-cat-00378,front_display,31,2026-08-22
sq-cat-00315,reserved,76,2026-10-12
sq-cat-00372,back_shelf,57,2026-06-12
sq-cat-00396,warehouse,36,2026-08-03
sq-cat-00326,reserved,49,2026-08-05
sq-cat-00320,reserved,23,2026-07-11
sq-cat-00366,back_shelf,25,2026-05-15
sq-cat-00310,warehouse,73,2026-08-24
sq-cat-00325,back_shelf,29,2026-10-01
sq-cat-00365,back_shelf,51,2026-07-24
sq-cat-00348,reserved,29,2026-05-09
sq-cat-00303,front_display,61,2026-08-10
