id,name,type,segment,genre,upcoming_events
atr-000,River City Symphony,attraction,Music,Jazz,18
atr-001,Jacksonville Symphony,attraction,Music,Jazz,9
atr-002,Ritz Theatre Ensemble,attraction,Sports,Basketball,17
atr-003,Blues Legends,attraction,Music,Rock,7
atr-004,Bruce Springsteen Tribute,attraction,Music,Jazz,10
atr-005,Broadway Series: Hamilton,attraction,Sports,Basketball,19
atr-006,Broadway Series: Book of Mormon,attraction,Sports,Rock,1
atr-007,Jazz Sessions,attraction,Sports,Rock,13
atr-008,Regional Cardiology Symposium,attraction,Music,Rock,20
atr-009,Jacksonville Jaguars,attraction,Music,Jazz,7
atr-010,John Mellencamp Live,attraction,Music,Jazz,7
atr-011,Debussy Piano Series,attraction,Sports,Basketball,11
atr-012,Family Movie Night,attraction,Sports,Rock,13
atr-013,Classic Film Series,attraction,Sports,Rock,16
atr-014,Family Concert Series,attraction,Music,Rock,20
atr-015,Monster Trucks,attraction,Music,Jazz,7
atr-016,Downtown Concert Series,attraction,Sports,Jazz,2
atr-017,Beer Fest,attraction,Sports,Jazz,20
atr-018,Broadway: Wicked,attraction,Sports,Rock,13
atr-019,Broadway: Lion King,attraction,Music,Basketball,1
atr-020,Broadway: Phantom,attraction,Music,Jazz,14
atr-021,River City Symphony,attraction,Music,Rock,1
atr-022,Jacksonville Symphony,attraction,Sports,Jazz,12
atr-023,Ritz Theatre Ensemble,attraction,Music,Jazz,10
atr-024,Blues Legends,attraction,Sports,Rock,8
atr-025,Bruce Springsteen Tribute,attraction,Sports,Jazz,1
atr-026,Broadway Series: Hamilton,attraction,Sports,Basketball,15
atr-027,Broadway Series: Book of Mormon,attraction,Music,Rock,15
atr-028,Jazz Sessions,attraction,Music,Jazz,6
atr-029,Regional Cardiology Symposium,attraction,Sports,Basketball,1
atr-030,Jacksonville Jaguars,attraction,Sports,Basketball,1
atr-031,John Mellencamp Live,attraction,Music,Basketball,19
atr-032,Debussy Piano Series,attraction,Music,Jazz,18
atr-033,Family Movie Night,attraction,Sports,Basketball,3
atr-034,Classic Film Series,attraction,Sports,Jazz,9
atr-035,Family Concert Series,attraction,Music,Basketball,5
atr-036,Monster Trucks,attraction,Music,Basketball,19
atr-037,Downtown Concert Series,attraction,Sports,Rock,20
atr-038,Beer Fest,attraction,Sports,Basketball,20
atr-039,Broadway: Wicked,attraction,Music,Rock,18
atr-040,Broadway: Lion King,attraction,Music,Jazz,9
atr-041,Broadway: Phantom,attraction,Music,Rock,3
atr-042,River City Symphony,attraction,Sports,Jazz,15
atr-043,Jacksonville Symphony,attraction,Sports,Rock,15
atr-044,Ritz Theatre Ensemble,attraction,Music,Jazz,17
atr-045,Blues Legends,attraction,Sports,Basketball,11
atr-046,Bruce Springsteen Tribute,attraction,Sports,Jazz,20
atr-047,Broadway Series: Hamilton,attraction,Sports,Basketball,1
atr-048,Broadway Series: Book of Mormon,attraction,Sports,Basketball,20
atr-049,Jazz Sessions,attraction,Music,Rock,1
atr-050,Regional Cardiology Symposium,attraction,Sports,Basketball,5
atr-051,Jacksonville Jaguars,attraction,Music,Rock,20
atr-052,John Mellencamp Live,attraction,Sports,Basketball,12
atr-053,Debussy Piano Series,attraction,Sports,Basketball,19
atr-054,Family Movie Night,attraction,Music,Jazz,11
atr-055,Classic Film Series,attraction,Music,Jazz,12
atr-056,Family Concert Series,attraction,Music,Jazz,1
atr-057,Monster Trucks,attraction,Sports,Rock,9
atr-058,Downtown Concert Series,attraction,Music,Jazz,1
