id,name,classification_id,venue_id,attraction_id,start_datetime,status,price_min,price_max,currency
evt-tm-0000,River City Symphony - Beethoven Symphony No. 9,cls-000,ven-000,atr-000,2026-11-19T19:00:00Z,cancelled,20.72,394.08,USD
evt-tm-0001,River City Symphony - Chopin Concerto No. 1,cls-001,ven-001,atr-001,2026-10-26T21:00:00Z,cancelled,43.94,357.85,USD
evt-tm-0002,Jacksonville Symphony - Mozart Requiem,cls-002,ven-002,atr-002,2026-11-05T18:00:00Z,onsale,64.58,259.06,USD
evt-tm-0003,Ritz Theatre - Blues Legends Night,cls-003,ven-003,atr-003,2026-12-13T21:00:00Z,offsale,84.38,368.48,USD
evt-tm-0004,The Florida Theatre - Springsteen Tribute Band,cls-004,ven-004,atr-004,2026-10-23T21:00:00Z,onsale,77.13,206.1,USD
evt-tm-0005,Times-Union Center - Broadway Series: Hamilton,cls-005,ven-005,atr-005,2026-11-12T20:00:00Z,offsale,52.73,493.57,USD
evt-tm-0006,Times-Union Center - Broadway Series: Book of Mormon,cls-006,ven-006,atr-006,2026-10-07T19:00:00Z,offsale,47.1,287.29,USD
evt-tm-0007,Ritz Theatre - Jazz Sessions,cls-007,ven-007,atr-007,2026-10-03T18:00:00Z,offsale,94.64,395.71,USD
evt-tm-0008,Prime Osborn - Regional Cardiology Symposium,cls-008,ven-008,atr-008,2026-11-27T21:00:00Z,cancelled,83.41,470.35,USD
evt-tm-0009,TIAA Bank Field - Jaguars vs Titans,cls-009,ven-009,atr-009,2026-12-17T21:00:00Z,onsale,126.22,367.81,USD
evt-tm-0010,TIAA Bank Field - Jaguars vs Colts,cls-010,ven-010,atr-010,2026-10-16T18:00:00Z,onsale,141.29,184.4,USD
evt-tm-0011,Vystar Veterans Memorial Arena - Bruce Springsteen,cls-011,ven-011,atr-011,2026-11-25T19:00:00Z,offsale,96.62,314.94,USD
evt-tm-0012,The Florida Theatre - John Mellencamp Live,cls-012,ven-012,atr-012,2026-12-09T18:00:00Z,onsale,106.01,348.77,USD
evt-tm-0013,River City Symphony - Debussy Piano Works,cls-013,ven-013,atr-013,2026-12-09T21:00:00Z,onsale,145.1,495.11,USD
evt-tm-0014,Ritz Theatre - Family Movie Night,cls-014,ven-014,atr-014,2026-10-06T21:00:00Z,onsale,54.48,216.45,USD
evt-tm-0015,Sun-Ray Cinema - Classic Film Series,cls-015,ven-015,atr-015,2026-12-24T21:00:00Z,cancelled,91.39,181.12,USD
evt-tm-0016,Jax Symphony - Family Concert Series,cls-016,ven-016,atr-016,2026-10-20T20:00:00Z,offsale,57.29,320.32,USD
