id,name,city,state,country,postal_code,address,latitude,longitude
ven-000,TIAA Bank Field,Jacksonville,FL,US,36587,1924 Bay St,31.2305,-82.3323
ven-001,The Florida Theatre,Tampa,GA,US,36363,509 Kennedy Blvd,33.4904,-79.3391
ven-002,Times-Union Center for the Performing Arts,Jacksonville,FL,US,34274,4606 Riverside Ave,33.6764,-75.2562
ven-003,Ritz Theatre,Orlando,FL,US,31882,4112 Robinson St,27.7721,-78.1682
ven-004,VyStar Veterans Memorial Arena,Tampa,GA,US,38755,3757 Zack St,31.2006,-77.0454
ven-005,Prime Osborn Convention Center,Orlando,FL,US,30080,2386 South St,30.8571,-82.1833
ven-006,Sun-Ray Cinema,Jacksonville,GA,US,34246,1779 Bay St,31.2819,-80.6065
ven-007,Regal Cinemas Beach Blvd,Atlanta,FL,US,34089,9035 Marietta St,28.7176,-82.9478
ven-008,AMC Regency 24,Atlanta,GA,US,33910,1524 Piedmont Ave,28.3904,-75.2118
ven-009,Riverside Fine Arts Series,Orlando,GA,US,33903,9774 Robinson St,28.4297,-78.8069
ven-010,Jacksonville Symphony Hall,Atlanta,FL,US,36540,7012 Boulevard NE,28.0777,-83.1614
ven-011,Amphitheater at Metropolitan Park,Jacksonville,FL,US,30401,620 300 A Philip Randolph Blvd,28.8563,-80.7019
ven-012,Everbank Field,Miami,FL,US,34630,588 Biscayne Blvd,28.0189,-81.4764
ven-013,Jacksonville Fairgrounds,Miami,FL,US,30105,1635 Ocean Dr,30.0204,-83.3765
ven-014,Downtown Jax Riverfront,Tampa,FL,US,34533,3682 Franklin St,34.1651,-80.9703
ven-015,Museum of Science and History,Tampa,GA,US,33798,3911 Cypress St,25.0202,-81.5031
ven-016,Cummer Museum,Atlanta,GA,US,35816,8379 Boulevard NE,33.6025,-82.934
ven-017,The Landing,Atlanta,FL,US,32446,9963 Auburn Ave,34.8447,-84.8437
ven-018,Jacksonville Zoo Amphitheater,Orlando,GA,US,37565,534 International Dr,31.136,-82.2023
ven-019,Beaches Museum,Jacksonville,FL,US,35675,9295 Prudential Dr,29.0192,-77.6718
ven-020,TIAA Bank Field,Miami,GA,US,35359,3357 Collins Ave,28.5744,-76.7165
ven-021,The Florida Theatre,Atlanta,GA,US,34591,9028 Ponce de Leon Ave,27.3383,-80.0291
ven-022,Times-Union Center for the Performing Arts,Orlando,GA,US,36952,6973 Colonial Dr,25.8734,-79.4356
ven-023,Ritz Theatre,Miami,FL,US,39053,3711 NE 15th St,26.2226,-83.9822
ven-024,VyStar Veterans Memorial Arena,Orlando,GA,US,35620,7459 International Dr,26.1567,-78.8931
ven-025,Prime Osborn Convention Center,Tampa,GA,US,31730,9754 Kennedy Blvd,25.1423,-81.6852
ven-026,Sun-Ray Cinema,Orlando,GA,US,30441,4657 Central Blvd,25.3416,-84.1557
ven-027,Regal Cinemas Beach Blvd,Orlando,FL,US,39605,206 Robinson St,31.0252,-77.1007
ven-028,AMC Regency 24,Orlando,GA,US,30039,2715 Colonial Dr,28.4373,-83.4584
ven-029,Riverside Fine Arts Series,Miami,GA,US,37868,7024 NE 15th St,27.5584,-84.6877
ven-030,Jacksonville Symphony Hall,Atlanta,GA,US,32124,5674 Peachtree St,28.1416,-78.0046
