id,company_id,pay_period_start,pay_period_end,check_date,processed,gross_pay,net_pay,employee_count
gus-pr-2026-20,gus-co-mesaverde,2026-09-27,2026-10-10,2026-10-16,True,184500.00,127800.00,15
gus-pr-2026-21,gus-co-mesaverde,2026-10-11,2026-10-24,2026-10-30,True,184500.00,127800.00,15
gus-pr-2026-22,gus-co-mesaverde,2026-10-25,2026-11-07,2026-11-13,False,,,15
gus-pay-6000,gus-co-mesaverde,2024-12-28,2025-01-09,2025-01-10,True,180000,126000,42
gus-pay-6001,gus-co-mesaverde,2025-01-11,2025-01-23,2025-01-24,True,182500,127750,43
gus-pay-6002,gus-co-mesaverde,2025-01-25,2025-02-06,2025-02-07,True,185000,129500,44
gus-pay-6003,gus-co-mesaverde,2025-02-08,2025-02-20,2025-02-21,True,187500,131250,45
gus-pay-6004,gus-co-mesaverde,2025-02-22,2025-03-06,2025-03-07,True,190000,133000,46
gus-pay-6005,gus-co-mesaverde,2025-03-08,2025-03-20,2025-03-21,True,192500,134750,42
gus-pay-6006,gus-co-mesaverde,2025-03-22,2025-04-03,2025-04-04,True,195000,136500,43
gus-pay-6007,gus-co-mesaverde,2025-04-05,2025-04-17,2025-04-18,True,197500,138250,44
gus-pay-6008,gus-co-mesaverde,2025-04-19,2025-05-01,2025-05-02,True,200000,140000,45
gus-pay-6009,gus-co-mesaverde,2025-05-03,2025-05-15,2025-05-16,True,202500,141750,46
gus-pay-6010,gus-co-mesaverde,2025-05-17,2025-05-29,2025-05-30,True,205000,143500,42
gus-pay-6011,gus-co-mesaverde,2025-05-31,2025-06-12,2025-06-13,True,207500,145250,43
gus-pay-6012,gus-co-mesaverde,2025-06-14,2025-06-26,2025-06-27,True,210000,147000,44
gus-pay-6013,gus-co-mesaverde,2025-06-28,2025-07-10,2025-07-11,True,212500,148750,45
gus-pay-6014,gus-co-mesaverde,2025-07-12,2025-07-24,2025-07-25,True,215000,150500,46
gus-pay-6015,gus-co-mesaverde,2025-07-26,2025-08-07,2025-08-08,True,217500,152250,42
gus-pay-6016,gus-co-mesaverde,2025-08-09,2025-08-21,2025-08-22,True,220000,154000,43
gus-pay-6017,gus-co-mesaverde,2025-08-23,2025-09-04,2025-09-05,True,222500,155750,44
gus-pay-6018,gus-co-mesaverde,2025-09-06,2025-09-18,2025-09-19,True,225000,157500,45
gus-pay-6019,gus-co-mesaverde,2025-09-20,2025-10-02,2025-10-03,True,227500,159250,46
gus-pay-6020,gus-co-mesaverde,2025-10-04,2025-10-16,2025-10-17,True,230000,161000,42
gus-pay-6021,gus-co-mesaverde,2025-10-18,2025-10-30,2025-10-31,True,232500,162750,43
gus-pay-6022,gus-co-mesaverde,2025-11-01,2025-11-13,2025-11-14,True,235000,164500,44
gus-pay-6023,gus-co-mesaverde,2025-11-15,2025-11-27,2025-11-28,True,237500,166250,45
gus-pay-6024,gus-co-mesaverde,2025-11-29,2025-12-11,2025-12-12,True,240000,168000,46
gus-pay-6025,gus-co-mesaverde,2025-12-13,2025-12-25,2025-12-26,True,242500,169750,42
gus-pay-6026,gus-co-mesaverde,2025-12-27,2026-01-08,2026-01-09,True,245000,171500,43
gus-pay-6027,gus-co-mesaverde,2026-01-10,2026-01-22,2026-01-23,True,247500,173250,44
gus-pay-6028,gus-co-mesaverde,2026-01-24,2026-02-05,2026-02-06,True,250000,175000,45
gus-pay-6029,gus-co-mesaverde,2026-02-07,2026-02-19,2026-02-20,True,252500,176750,46
gus-pay-6030,gus-co-mesaverde,2026-02-21,2026-03-05,2026-03-06,True,255000,178500,42
gus-pay-6031,gus-co-mesaverde,2026-03-07,2026-03-19,2026-03-20,True,257500,180250,43
gus-pay-6032,gus-co-mesaverde,2026-03-21,2026-04-02,2026-04-03,True,260000,182000,44
gus-pay-6033,gus-co-mesaverde,2026-04-04,2026-04-16,2026-04-17,True,262500,183750,45
gus-pay-6034,gus-co-mesaverde,2026-04-18,2026-04-30,2026-05-01,True,265000,185500,46
