Date,Vendor,Item,Category,Amount,Reimbursable,Notes
2026-01-14,Office Depot,Dry-erase markers (bulk 48),Supplies,24.99,No,7th grade room 214
2026-02-03,Amazon,Laminating pouches 200ct,Supplies,18.45,No,Founding era timeline cards
2026-02-27,Staples,Cardstock assorted 250ct,Supplies,14.20,No,Reconstruction stations
2026-03-11,Barnes & Noble,"Chains by L. Halse Anderson (6 copies)",Books,53.94,No,Class read-aloud set
2026-04-08,Office Depot,Sticky notes 12-pack,Supplies,9.49,No,Exit tickets
2026-05-19,Amazon,USB document camera,Equipment,42.99,No,Front-of-room demos
2026-08-25,Michaels,Butcher paper roll,Supplies,16.75,No,Back-to-school map wall
2026-09-02,Staples,Composition notebooks 24ct,Supplies,21.36,No,Interactive notebooks
2026-09-15,Amazon,Colored pencils classroom pack,Supplies,27.80,No,Map coloring unit
2026-10-06,Office Depot,Printer paper 5 reams,Supplies,32.45,No,Unit test copies
2026-10-22,Target,Snacks for after-school meet,Coaching,19.60,No,Cross-country home meet
2026-11-16,Office Depot,Binder clips + tape,Supplies,31.49,No,Grading station
2026-11-27,Staples,File folders + labels,Supplies,42.15,No,Semester archive
2026-12-04,Amazon,Whiteboard erasers 12ct,Supplies,12.99,No,Room 214 restock
,,,Total eligible educator expense,415.29,,Cap is 300 per IRS for single educator
