date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2026-06-01,375,371,175,137,22,18,4,1,1
2026-06-02,395,384,123,109,25,19,11,0,7
2026-06-03,86,83,30,23,4,3,3,2,0
2026-06-04,189,183,76,58,9,8,6,3,3
2026-06-05,29,28,14,10,2,1,1,2,5
2026-06-06,391,384,140,112,37,31,7,1,2
2026-06-07,48,47,17,13,4,3,1,2,5
2026-06-08,272,256,113,96,16,15,16,3,0
2026-06-09,339,331,129,100,28,23,8,3,3
2026-06-10,128,121,39,31,7,5,7,0,0
2026-06-11,314,304,160,122,34,27,10,3,3
2026-06-12,340,335,171,151,43,33,5,3,6
2026-06-13,131,127,51,41,14,12,4,1,1
2026-06-14,214,211,72,56,14,12,3,1,2
2026-06-15,229,224,107,83,21,18,5,3,4
2026-06-16,342,323,117,99,22,17,19,3,4
2026-06-17,360,347,132,107,20,16,13,3,7
2026-06-18,72,68,35,26,8,6,4,1,0
2026-06-19,113,107,46,36,6,4,6,0,2
2026-06-20,268,256,112,96,31,25,12,0,3
2026-06-21,89,84,37,32,9,8,5,2,6
2026-06-22,238,230,110,93,24,22,8,2,5
2026-06-23,71,70,31,23,7,6,1,2,6
2026-06-24,181,174,85,73,25,17,7,3,2
2026-06-25,20,19,10,8,1,0,1,2,1
2026-06-26,256,247,125,106,29,21,9,3,6
2026-06-27,205,197,85,71,13,11,8,0,6
2026-06-28,39,37,18,15,2,1,2,3,8
2026-06-29,62,58,26,21,3,2,4,0,3
2026-06-30,130,126,46,34,5,4,4,3,3
2026-07-01,114,110,52,44,10,9,4,2,2
2026-07-02,134,126,64,51,14,13,8,2,7
2026-07-03,301,288,133,107,37,35,13,3,8
2026-07-04,190,181,95,72,14,12,9,1,4
2026-07-05,143,135,57,50,13,11,8,2,8
2026-07-06,281,272,88,72,19,15,9,2,5
2026-07-07,267,258,102,79,20,18,9,1,4
2026-07-08,316,306,118,95,17,14,10,1,8
2026-07-09,174,171,55,42,6,4,3,2,5
2026-07-10,70,67,22,18,3,2,3,1,4
2026-07-11,26,25,13,9,2,1,1,0,0
2026-07-12,117,111,58,52,17,14,6,2,5
2026-07-13,359,344,143,115,36,28,15,0,1
2026-07-14,360,348,120,107,34,27,12,2,6
2026-07-15,37,34,17,14,4,3,3,3,3
2026-07-16,94,91,30,22,4,3,3,2,0
2026-07-17,203,196,96,74,20,16,7,0,4
2026-07-18,42,41,18,16,4,3,1,1,8
2026-07-19,329,316,120,90,16,12,13,3,1
2026-07-20,263,251,96,79,12,10,12,0,5
2026-07-21,105,99,33,26,8,6,6,2,6
2026-07-22,144,139,66,54,10,8,5,0,7
2026-07-23,148,140,66,56,9,6,8,1,1
2026-07-24,162,159,78,66,11,9,3,3,8
2026-07-25,66,62,22,19,5,4,4,2,3
2026-07-26,297,286,148,131,22,16,11,1,7
2026-07-27,136,131,63,48,12,11,5,1,0
2026-07-28,55,52,19,16,4,3,3,3,1
2026-07-29,293,288,95,77,25,20,5,3,6
2026-07-30,172,166,75,66,11,9,6,2,5
2026-07-31,251,246,99,76,25,18,5,0,5
2026-08-01,45,43,19,16,3,2,2,0,0
2026-08-02,159,155,64,55,9,8,4,0,6
2026-08-03,55,53,24,21,7,5,2,3,6
2026-08-04,260,254,133,112,31,25,6,1,2
2026-08-05,36,35,15,11,2,1,1,3,0
2026-08-06,46,43,14,10,2,1,3,0,0
2026-08-07,82,79,36,29,8,5,3,2,5
2026-08-08,115,108,53,46,8,6,7,2,4
2026-08-09,339,334,115,100,25,21,5,2,3
2026-08-10,373,362,153,136,39,27,11,3,6
2026-08-11,194,183,74,60,9,6,11,0,7
2026-08-12,228,216,78,68,18,12,12,3,8
2026-08-13,298,283,134,107,27,23,15,0,4
2026-08-14,150,146,54,41,11,9,4,3,3
2026-08-15,304,300,134,103,33,31,4,0,1
2026-08-16,250,242,94,82,18,15,8,1,1
2026-08-17,252,245,127,96,22,17,7,1,8
2026-08-18,391,370,147,116,35,29,21,1,8
2026-08-19,81,78,25,20,5,4,3,2,0
2026-08-20,40,39,20,17,3,2,1,3,8
2026-08-21,82,80,36,30,8,5,2,0,2
2026-08-22,39,37,13,9,2,1,2,3,0
2026-08-23,239,233,88,72,25,19,6,0,7
2026-08-24,85,81,40,31,10,9,4,1,1
2026-08-25,305,289,128,100,23,20,16,2,0
2026-08-26,175,167,88,72,16,13,8,2,8
2026-08-27,28,26,10,7,2,1,2,1,1
2026-08-28,335,333,143,114,36,33,2,1,6
2026-08-29,125,121,46,34,8,6,4,0,4
2026-08-30,140,139,54,43,12,10,1,3,6
2026-08-31,212,201,72,59,17,12,11,3,2
2026-09-01,310,301,132,106,30,21,9,0,4
2026-09-02,50,48,18,14,4,2,2,1,7
2026-09-03,121,115,58,45,7,6,6,1,1
2026-09-04,124,116,54,43,13,11,8,3,8
2026-09-05,235,225,82,69,22,19,10,0,6
2026-09-06,380,361,135,107,36,27,19,1,3
2026-09-07,182,180,86,69,16,12,2,1,4
2026-09-08,333,320,119,104,30,28,13,0,1
2026-09-09,321,306,152,116,22,19,15,2,1
2026-09-10,400,395,165,145,46,34,5,3,4
2026-09-11,268,260,96,75,22,16,8,0,4
2026-09-12,74,69,36,31,8,7,5,2,7
2026-09-13,276,260,103,84,22,19,16,1,7
2026-09-14,103,99,41,34,10,7,4,1,1
2026-09-15,353,340,130,103,25,17,13,3,7
2026-09-16,313,309,116,94,21,18,4,1,0
2026-09-17,248,238,77,59,19,14,10,3,7
2026-09-18,154,151,74,61,17,15,3,3,2
2026-09-19,90,86,38,32,5,3,4,1,0
2026-09-20,209,204,102,86,28,25,5,1,5
2026-09-21,374,359,156,122,39,34,15,2,2
2026-09-22,360,345,163,143,31,21,15,3,8
2026-09-23,193,181,67,50,10,8,12,2,0
2026-09-24,65,61,21,17,3,2,4,3,3
2026-09-25,133,130,54,44,11,10,3,0,6
2026-09-26,118,110,39,31,8,7,8,1,5
2026-09-27,139,135,59,45,10,8,4,3,3
2026-09-28,390,386,168,144,50,45,4,1,3
2026-09-29,205,198,95,73,12,9,7,3,2
2026-09-30,180,176,78,62,17,16,4,1,8
2026-10-01,276,267,116,93,18,14,9,1,4
2026-10-02,227,222,101,87,13,11,5,2,8
2026-10-03,202,197,73,65,21,14,5,2,7
2026-10-04,377,365,188,145,25,22,12,1,7
2026-10-05,285,270,144,127,29,20,15,0,0
2026-10-06,179,168,73,57,18,13,11,3,4
2026-10-07,237,230,94,73,23,20,7,0,8
2026-10-08,170,165,77,63,20,15,5,3,4
2026-10-09,351,340,114,89,21,19,11,1,1
2026-10-10,310,294,99,79,16,12,16,3,1
2026-10-11,215,207,91,81,26,23,8,1,0
2026-10-12,219,210,73,57,16,12,9,3,8
2026-10-13,266,261,137,115,29,20,5,0,6
2026-10-14,27,26,10,8,2,1,1,1,3
2026-10-15,26,24,9,7,1,0,2,0,7
2026-10-16,171,164,63,49,15,12,7,2,1
2026-10-17,296,286,143,122,21,19,10,0,0
2026-10-18,132,125,45,36,11,9,7,0,7
2026-10-19,104,101,41,34,8,7,3,1,5
2026-10-20,395,384,202,162,45,34,11,2,5
2026-10-21,303,289,133,116,30,21,14,1,4
2026-10-22,208,201,85,71,19,17,7,1,3
2026-10-23,231,222,84,72,24,18,9,0,0
2026-10-24,306,291,117,99,23,18,15,0,2
2026-10-25,317,298,141,121,39,33,19,3,1
2026-10-26,133,130,48,41,6,4,3,1,5
2026-10-27,61,58,29,23,5,3,3,1,8
2026-10-28,71,70,30,24,4,3,1,3,7
2026-10-29,237,230,122,102,31,23,7,0,0
2026-10-30,369,364,151,118,32,29,5,2,8
2026-10-31,241,235,122,102,22,19,6,1,2
2026-11-01,328,319,134,113,29,22,9,0,4
2026-11-02,304,296,98,84,20,15,8,2,3
2026-11-03,347,328,157,141,41,34,19,0,7
2026-11-04,217,213,108,84,18,15,4,0,2
2026-11-05,33,32,15,13,4,3,1,0,3
2026-11-06,38,36,15,12,1,0,2,1,5
2026-11-07,364,346,145,112,21,17,18,3,7
