asset_id,symbol,qty,avg_entry_price,current_price,side,market_value,cost_basis,unrealized_pl
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e001,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e001,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e001,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e002,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e002,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e002,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e003,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e003,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e003,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e004,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e004,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e004,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e005,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e005,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e005,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e006,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e006,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e006,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e007,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e007,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e007,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e008,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e008,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e008,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e009,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e009,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e009,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e010,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e010,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e010,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e011,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e011,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e011,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e012,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e012,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e012,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e013,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e013,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e013,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e014,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e014,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e014,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e015,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e015,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e015,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e016,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e016,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e016,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e017,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e017,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e017,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e018,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e018,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e018,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e019,VTI,12,268.40,295.10,long,3541.20,3220.80,320.40
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e019,BND,6,73.20,75.85,long,455.10,439.20,15.90
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e019,VXUS,2,64.50,70.20,long,140.40,129.00,11.40
