symbol,bid_price,bid_size,ask_price,ask_size,timestamp
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
VTI,295.08,4,295.12,3,2026-10-12T13:00:00Z
BND,75.83,5,75.87,4,2026-10-12T13:00:00Z
VXUS,70.18,2,70.22,3,2026-10-12T13:00:00Z
SCHD,28.42,6,28.44,5,2026-10-12T13:00:00Z
AVUV,102.15,2,102.19,2,2026-10-12T13:00:00Z
