id,symbol,name,exchange,asset_class,tradable,fractionable
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f,VTI,Vanguard Total Stock Market ETF,NYSE ARCA,us_equity,true,true
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70,BND,Vanguard Total Bond Market ETF,NASDAQ,us_equity,true,true
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081,VXUS,Vanguard Total International Stock ETF,NASDAQ,us_equity,true,true
d4b9fcc7-c04d-4ea4-b18f-4d5e6f708192,SCHD,Schwab US Dividend Equity ETF,NYSE ARCA,us_equity,true,true
e5cafdd8-d15e-4fb5-c290-5e6f70819203,AVUV,Avantis US Small Cap Value ETF,NYSE ARCA,us_equity,true,true
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e001,VTI,Vanguard Total Stock Market ETF,NYSE ARCA,us_equity,true,true
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e001,BND,Vanguard Total Bond Market ETF,NASDAQ,us_equity,true,true
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e001,VXUS,Vanguard Total International Stock ETF,NASDAQ,us_equity,true,true
d4b9fcc7-c04d-4ea4-b18f-4d5e6f708192-e001,SCHD,Schwab US Dividend Equity ETF,NYSE ARCA,us_equity,true,true
e5cafdd8-d15e-4fb5-c290-5e6f70819203-e001,AVUV,Avantis US Small Cap Value ETF,NYSE ARCA,us_equity,true,true
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e002,VTI,Vanguard Total Stock Market ETF,NYSE ARCA,us_equity,true,true
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e002,BND,Vanguard Total Bond Market ETF,NASDAQ,us_equity,true,true
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e002,VXUS,Vanguard Total International Stock ETF,NASDAQ,us_equity,true,true
d4b9fcc7-c04d-4ea4-b18f-4d5e6f708192-e002,SCHD,Schwab US Dividend Equity ETF,NYSE ARCA,us_equity,true,true
e5cafdd8-d15e-4fb5-c290-5e6f70819203-e002,AVUV,Avantis US Small Cap Value ETF,NYSE ARCA,us_equity,true,true
a1e6c8f4-9d1a-4b71-9e5c-1a2b3c4d5e6f-e003,VTI,Vanguard Total Stock Market ETF,NYSE ARCA,us_equity,true,true
b2f7d9a5-ae2b-4c82-9f6d-2b3c4d5e6f70-e003,BND,Vanguard Total Bond Market ETF,NASDAQ,us_equity,true,true
c3a8ebb6-bf3c-4d93-a07e-3c4d5e6f7081-e003,VXUS,Vanguard Total International Stock ETF,NASDAQ,us_equity,true,true
d4b9fcc7-c04d-4ea4-b18f-4d5e6f708192-e003,SCHD,Schwab US Dividend Equity ETF,NYSE ARCA,us_equity,true,true
e5cafdd8-d15e-4fb5-c290-5e6f70819203-e003,AVUV,Avantis US Small Cap Value ETF,NYSE ARCA,us_equity,true,true
