id,name,slug,sku,type,status,price,regular_price,sale_price,on_sale,stock_quantity,stock_status,manage_stock,categories,description,date_created
101,Estimate - Panel upgrade,estimate-panel-upgrade,EST-PANEL,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Residential,Estimate - Panel upgrade,2024-01-01T00:00:00
102,Estimate - Whole-home rewire,estimate-whole-rewire,EST-REWIRE,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Residential,Estimate - Whole-home rewire,2024-01-01T00:00:00
103,Estimate - EV charger install,estimate-ev-charger,EST-EV,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Residential,Estimate - EV charger install,2024-01-01T00:00:00
104,Estimate - Residential solar,estimate-solar,EST-SOLAR,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Solar,Estimate - Residential solar,2024-01-01T00:00:00
105,Estimate - Service call (residential),estimate-service-call,EST-SVC,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Residential,Estimate - Service call (residential),2024-01-01T00:00:00
106,Estimate - Light commercial panel,estimate-light-commercial,EST-LC,simple,publish,0.00,9999.00,,false,0,instock,false,Service - Commercial,Estimate - Light commercial panel,2024-01-01T00:00:00
1006,Product a0kr,sl45won3,variable,publish,desc l7dj09os4hr7nhi,short emnwnby1,1371.64,2153.77,false,true,true,2026-09-07T17:50:00,2026-06-16T21:36:00,,
108,Product a64j,rtr51sw9,variable,draft,desc ydirxnp5rzi7kse,short vjmejamt,3101.23,3065.60,1,true,true,2026-02-27T17:45:00,2025-03-31T02:47:00,,
110,Product 0rs7,kq46vjzq,variable,draft,desc vygseng4nzr6trk,short gu23qa5c,430.03,77.40,34,true,true,2025-10-13T16:23:00,2026-05-15T20:37:00,,
112,Product 89go,vvdiriim,simple,publish,desc 0ams9ppyw5ke5f5,short mgccsdrw,3861.99,3037.63,43,true,true,2026-05-11T17:45:00,2025-08-06T10:34:00,,
114,Product 1g6w,5d2t91un,variable,publish,desc 3erk4aj81kw88uq,short ltqgp0h2,3398.58,2418.59,86,true,true,2026-07-24T01:00:00,2025-05-06T10:22:00,,
116,Product vqy8,71il18p3,variable,draft,desc oxbedq064m7s1lo,short qs2q1cj3,4391.20,4724.73,15,true,true,2025-04-06T04:49:00,2026-04-28T19:40:00,,
118,Product 6ccm,sq4a4zhk,variable,draft,desc y27vutm1u6nevx0,short 8uo0dac2,1780.92,373.08,3,true,true,2026-07-25T05:34:00,2026-05-29T15:43:00,,
