album_id,name,artist_id,album_type,release_date,total_tracks,label
alb_001,Lofi Beats for Coding,art_001,album,2026-01-15,12,Chillhop
alb_002,Lofi Beats for Coding,art_002,album,2026-07-19,12,Chillhop
alb_003,Lofi Beats for Coding,art_003,album,2026-09-23,12,Chillhop
alb_004,Lofi Beats for Coding,art_004,album,2026-10-06,12,Chillhop
alb_005,Lofi Beats for Coding,art_005,album,2026-07-13,12,Chillhop
alb_006,Lofi Beats for Coding,art_006,album,2026-10-08,12,Chillhop
alb_007,Lofi Beats for Coding,art_007,album,2026-09-20,12,Chillhop
alb_008,Lofi Beats for Coding,art_008,album,2026-07-05,12,Chillhop
alb_009,Lofi Beats for Coding,art_009,album,2026-06-27,12,Chillhop
alb_010,Lofi Beats for Coding,art_010,album,2026-07-25,12,Chillhop
alb_011,Lofi Beats for Coding,art_011,album,2026-09-09,12,Chillhop
alb_012,Lofi Beats for Coding,art_012,album,2026-07-09,12,Chillhop
alb_013,Lofi Beats for Coding,art_013,album,2026-06-27,12,Chillhop
alb_014,Lofi Beats for Coding,art_014,album,2026-11-17,12,Chillhop
alb_015,Lofi Beats for Coding,art_015,album,2026-10-05,12,Chillhop
alb_016,Lofi Beats for Coding,art_016,album,2026-06-03,12,Chillhop
alb_017,Lofi Beats for Coding,art_017,album,2026-06-05,12,Chillhop
alb_018,Lofi Beats for Coding,art_018,album,2026-11-09,12,Chillhop
alb_019,Lofi Beats for Coding,art_019,album,2026-10-18,12,Chillhop
alb_020,Lofi Beats for Coding,art_020,album,2026-09-03,12,Chillhop
alb_021,Lofi Beats for Coding,art_021,album,2026-07-21,12,Chillhop
alb_022,Lofi Beats for Coding,art_022,album,2026-07-02,12,Chillhop
alb_023,Lofi Beats for Coding,art_023,album,2026-08-21,12,Chillhop
alb_024,Lofi Beats for Coding,art_024,album,2026-08-13,12,Chillhop
alb_025,Lofi Beats for Coding,art_025,album,2026-09-23,12,Chillhop
alb_026,Lofi Beats for Coding,art_026,album,2026-10-19,12,Chillhop
alb_027,Lofi Beats for Coding,art_027,album,2026-11-17,12,Chillhop
alb_028,Lofi Beats for Coding,art_028,album,2026-06-05,12,Chillhop
alb_029,Lofi Beats for Coding,art_029,album,2026-06-14,12,Chillhop
alb_030,Lofi Beats for Coding,art_030,album,2026-11-09,12,Chillhop
alb_031,Lofi Beats for Coding,art_031,album,2026-10-25,12,Chillhop
alb_032,Lofi Beats for Coding,art_032,album,2026-06-26,12,Chillhop
alb_033,Lofi Beats for Coding,art_033,album,2026-09-10,12,Chillhop
alb_034,Lofi Beats for Coding,art_034,album,2026-11-01,12,Chillhop
alb_035,Lofi Beats for Coding,art_035,album,2026-10-15,12,Chillhop
alb_036,Lofi Beats for Coding,art_036,album,2026-07-07,12,Chillhop
alb_037,Lofi Beats for Coding,art_037,album,2026-07-09,12,Chillhop
alb_038,Lofi Beats for Coding,art_038,album,2026-10-27,12,Chillhop
alb_039,Lofi Beats for Coding,art_039,album,2026-09-28,12,Chillhop
alb_040,Lofi Beats for Coding,art_040,album,2026-08-28,12,Chillhop
alb_041,Lofi Beats for Coding,art_041,album,2026-11-20,12,Chillhop
alb_042,Lofi Beats for Coding,art_042,album,2026-11-07,12,Chillhop
alb_043,Lofi Beats for Coding,art_043,album,2026-11-07,12,Chillhop
alb_044,Lofi Beats for Coding,art_044,album,2026-09-24,12,Chillhop
alb_045,Lofi Beats for Coding,art_045,album,2026-08-22,12,Chillhop
alb_046,Lofi Beats for Coding,art_046,album,2026-11-14,12,Chillhop
alb_047,Lofi Beats for Coding,art_047,album,2026-11-20,12,Chillhop
alb_048,Lofi Beats for Coding,art_048,album,2026-09-15,12,Chillhop
alb_049,Lofi Beats for Coding,art_049,album,2026-07-17,12,Chillhop
alb_050,Lofi Beats for Coding,art_050,album,2026-11-16,12,Chillhop
alb_051,Lofi Beats for Coding,art_051,album,2026-10-08,12,Chillhop
alb_052,Lofi Beats for Coding,art_052,album,2026-10-10,12,Chillhop
alb_053,Lofi Beats for Coding,art_053,album,2026-06-22,12,Chillhop
alb_054,Lofi Beats for Coding,art_054,album,2026-08-23,12,Chillhop
alb_055,Lofi Beats for Coding,art_055,album,2026-10-26,12,Chillhop
alb_056,Lofi Beats for Coding,art_056,album,2026-09-26,12,Chillhop
alb_057,Lofi Beats for Coding,art_057,album,2026-09-14,12,Chillhop
alb_058,Lofi Beats for Coding,art_058,album,2026-08-08,12,Chillhop
alb_059,Lofi Beats for Coding,art_059,album,2026-09-19,12,Chillhop
alb_060,Lofi Beats for Coding,art_060,album,2026-11-11,12,Chillhop
alb_061,Lofi Beats for Coding,art_061,album,2026-10-06,12,Chillhop
alb_062,Lofi Beats for Coding,art_062,album,2026-11-20,12,Chillhop
alb_063,Lofi Beats for Coding,art_063,album,2026-10-01,12,Chillhop
alb_064,Lofi Beats for Coding,art_064,album,2026-08-21,12,Chillhop
alb_065,Lofi Beats for Coding,art_065,album,2026-10-13,12,Chillhop
alb_066,Lofi Beats for Coding,art_066,album,2026-07-07,12,Chillhop
alb_067,Lofi Beats for Coding,art_067,album,2026-08-26,12,Chillhop
alb_068,Lofi Beats for Coding,art_068,album,2026-07-19,12,Chillhop
alb_069,Lofi Beats for Coding,art_069,album,2026-11-14,12,Chillhop
alb_070,Lofi Beats for Coding,art_070,album,2026-11-21,12,Chillhop
alb_071,Lofi Beats for Coding,art_071,album,2026-08-18,12,Chillhop
alb_072,Lofi Beats for Coding,art_072,album,2026-10-07,12,Chillhop
alb_073,Lofi Beats for Coding,art_073,album,2026-08-22,12,Chillhop
alb_074,Lofi Beats for Coding,art_074,album,2026-11-13,12,Chillhop
alb_075,Lofi Beats for Coding,art_075,album,2026-10-06,12,Chillhop
alb_076,Lofi Beats for Coding,art_076,album,2026-08-08,12,Chillhop
alb_077,Lofi Beats for Coding,art_077,album,2026-10-19,12,Chillhop
alb_078,Lofi Beats for Coding,art_078,album,2026-10-22,12,Chillhop
alb_079,Lofi Beats for Coding,art_079,album,2026-07-20,12,Chillhop
alb_080,Lofi Beats for Coding,art_080,album,2026-06-03,12,Chillhop
alb_081,Lofi Beats for Coding,art_081,album,2026-08-05,12,Chillhop
alb_082,Lofi Beats for Coding,art_082,album,2026-06-08,12,Chillhop
alb_083,Lofi Beats for Coding,art_083,album,2026-08-27,12,Chillhop
alb_084,Lofi Beats for Coding,art_084,album,2026-08-14,12,Chillhop
alb_085,Lofi Beats for Coding,art_085,album,2026-09-25,12,Chillhop
alb_086,Lofi Beats for Coding,art_086,album,2026-06-15,12,Chillhop
alb_087,Lofi Beats for Coding,art_087,album,2026-07-22,12,Chillhop
alb_088,Lofi Beats for Coding,art_088,album,2026-09-12,12,Chillhop
alb_089,Lofi Beats for Coding,art_089,album,2026-11-20,12,Chillhop
alb_090,Lofi Beats for Coding,art_090,album,2026-07-19,12,Chillhop
alb_091,Lofi Beats for Coding,art_091,album,2026-07-12,12,Chillhop
alb_092,Lofi Beats for Coding,art_092,album,2026-10-11,12,Chillhop
alb_093,Lofi Beats for Coding,art_093,album,2026-07-15,12,Chillhop
alb_094,Lofi Beats for Coding,art_094,album,2026-08-07,12,Chillhop
alb_095,Lofi Beats for Coding,art_095,album,2026-08-28,12,Chillhop
alb_096,Lofi Beats for Coding,art_096,album,2026-11-23,12,Chillhop
alb_097,Lofi Beats for Coding,art_097,album,2026-06-23,12,Chillhop
alb_098,Lofi Beats for Coding,art_098,album,2026-07-13,12,Chillhop
alb_099,Lofi Beats for Coding,art_099,album,2026-11-07,12,Chillhop
alb_100,Lofi Beats for Coding,art_100,album,2026-07-09,12,Chillhop
alb_101,Lofi Beats for Coding,art_101,album,2026-10-13,12,Chillhop
alb_102,Lofi Beats for Coding,art_102,album,2026-07-10,12,Chillhop
alb_103,Lofi Beats for Coding,art_103,album,2026-11-04,12,Chillhop
alb_104,Lofi Beats for Coding,art_104,album,2026-11-03,12,Chillhop
alb_105,Lofi Beats for Coding,art_105,album,2026-07-03,12,Chillhop
alb_106,Lofi Beats for Coding,art_106,album,2026-11-26,12,Chillhop
alb_107,Lofi Beats for Coding,art_107,album,2026-06-27,12,Chillhop
alb_108,Lofi Beats for Coding,art_108,album,2026-07-01,12,Chillhop
alb_109,Lofi Beats for Coding,art_109,album,2026-08-12,12,Chillhop
alb_110,Lofi Beats for Coding,art_110,album,2026-07-14,12,Chillhop
alb_111,Lofi Beats for Coding,art_111,album,2026-10-27,12,Chillhop
alb_112,Lofi Beats for Coding,art_112,album,2026-06-08,12,Chillhop
alb_113,Lofi Beats for Coding,art_113,album,2026-07-03,12,Chillhop
alb_114,Lofi Beats for Coding,art_114,album,2026-10-16,12,Chillhop
alb_115,Lofi Beats for Coding,art_115,album,2026-07-01,12,Chillhop
alb_116,Lofi Beats for Coding,art_116,album,2026-08-21,12,Chillhop
alb_117,Lofi Beats for Coding,art_117,album,2026-10-03,12,Chillhop
alb_118,Lofi Beats for Coding,art_118,album,2026-10-07,12,Chillhop
alb_119,Lofi Beats for Coding,art_119,album,2026-07-10,12,Chillhop
alb_120,Lofi Beats for Coding,art_120,album,2026-10-03,12,Chillhop
alb_121,Lofi Beats for Coding,art_121,album,2026-10-11,12,Chillhop
alb_122,Lofi Beats for Coding,art_122,album,2026-10-26,12,Chillhop
alb_123,Lofi Beats for Coding,art_123,album,2026-09-02,12,Chillhop
alb_124,Lofi Beats for Coding,art_124,album,2026-06-12,12,Chillhop
alb_125,Lofi Beats for Coding,art_125,album,2026-10-04,12,Chillhop
alb_126,Lofi Beats for Coding,art_126,album,2026-08-14,12,Chillhop
alb_127,Lofi Beats for Coding,art_127,album,2026-08-02,12,Chillhop
alb_128,Lofi Beats for Coding,art_128,album,2026-09-03,12,Chillhop
alb_129,Lofi Beats for Coding,art_129,album,2026-10-09,12,Chillhop
alb_130,Lofi Beats for Coding,art_130,album,2026-06-12,12,Chillhop
alb_131,Lofi Beats for Coding,art_131,album,2026-11-18,12,Chillhop
alb_132,Lofi Beats for Coding,art_132,album,2026-09-13,12,Chillhop
alb_133,Lofi Beats for Coding,art_133,album,2026-07-12,12,Chillhop
alb_134,Lofi Beats for Coding,art_134,album,2026-11-14,12,Chillhop
alb_135,Lofi Beats for Coding,art_135,album,2026-08-19,12,Chillhop
alb_136,Lofi Beats for Coding,art_136,album,2026-09-11,12,Chillhop
alb_137,Lofi Beats for Coding,art_137,album,2026-06-14,12,Chillhop
alb_138,Lofi Beats for Coding,art_138,album,2026-06-25,12,Chillhop
alb_139,Lofi Beats for Coding,art_139,album,2026-08-11,12,Chillhop
alb_140,Lofi Beats for Coding,art_140,album,2026-06-25,12,Chillhop
alb_141,Lofi Beats for Coding,art_141,album,2026-09-06,12,Chillhop
alb_142,Lofi Beats for Coding,art_142,album,2026-07-24,12,Chillhop
alb_143,Lofi Beats for Coding,art_143,album,2026-10-09,12,Chillhop
alb_144,Lofi Beats for Coding,art_144,album,2026-06-10,12,Chillhop
alb_145,Lofi Beats for Coding,art_145,album,2026-10-10,12,Chillhop
alb_146,Lofi Beats for Coding,art_146,album,2026-06-12,12,Chillhop
alb_147,Lofi Beats for Coding,art_147,album,2026-08-07,12,Chillhop
alb_148,Lofi Beats for Coding,art_148,album,2026-06-25,12,Chillhop
alb_149,Lofi Beats for Coding,art_149,album,2026-06-12,12,Chillhop
alb_150,Lofi Beats for Coding,art_150,album,2026-08-07,12,Chillhop
alb_151,Lofi Beats for Coding,art_151,album,2026-07-14,12,Chillhop
alb_152,Lofi Beats for Coding,art_152,album,2026-10-22,12,Chillhop
alb_153,Lofi Beats for Coding,art_153,album,2026-11-21,12,Chillhop
alb_154,Lofi Beats for Coding,art_154,album,2026-06-24,12,Chillhop
alb_155,Lofi Beats for Coding,art_155,album,2026-09-23,12,Chillhop
alb_156,Lofi Beats for Coding,art_156,album,2026-07-18,12,Chillhop
alb_157,Lofi Beats for Coding,art_157,album,2026-10-22,12,Chillhop
alb_158,Lofi Beats for Coding,art_158,album,2026-10-22,12,Chillhop
alb_159,Lofi Beats for Coding,art_159,album,2026-09-07,12,Chillhop
alb_160,Lofi Beats for Coding,art_160,album,2026-08-25,12,Chillhop
alb_161,Lofi Beats for Coding,art_161,album,2026-11-07,12,Chillhop
alb_162,Lofi Beats for Coding,art_162,album,2026-11-28,12,Chillhop
alb_163,Lofi Beats for Coding,art_163,album,2026-08-27,12,Chillhop
alb_164,Lofi Beats for Coding,art_164,album,2026-06-05,12,Chillhop
alb_165,Lofi Beats for Coding,art_165,album,2026-11-27,12,Chillhop
alb_166,Lofi Beats for Coding,art_166,album,2026-11-12,12,Chillhop
alb_167,Lofi Beats for Coding,art_167,album,2026-11-26,12,Chillhop
alb_168,Lofi Beats for Coding,art_168,album,2026-07-12,12,Chillhop
alb_169,Lofi Beats for Coding,art_169,album,2026-09-22,12,Chillhop
alb_170,Lofi Beats for Coding,art_170,album,2026-11-18,12,Chillhop
alb_171,Lofi Beats for Coding,art_171,album,2026-09-23,12,Chillhop
alb_172,Lofi Beats for Coding,art_172,album,2026-09-01,12,Chillhop
alb_173,Lofi Beats for Coding,art_173,album,2026-06-23,12,Chillhop
alb_174,Lofi Beats for Coding,art_174,album,2026-10-26,12,Chillhop
alb_175,Lofi Beats for Coding,art_175,album,2026-08-11,12,Chillhop
alb_176,Lofi Beats for Coding,art_176,album,2026-11-20,12,Chillhop
alb_177,Lofi Beats for Coding,art_177,album,2026-11-08,12,Chillhop
alb_178,Lofi Beats for Coding,art_178,album,2026-11-27,12,Chillhop
alb_179,Lofi Beats for Coding,art_179,album,2026-06-24,12,Chillhop
alb_180,Lofi Beats for Coding,art_180,album,2026-07-26,12,Chillhop
alb_181,Lofi Beats for Coding,art_181,album,2026-11-24,12,Chillhop
alb_182,Lofi Beats for Coding,art_182,album,2026-08-26,12,Chillhop
alb_183,Lofi Beats for Coding,art_183,album,2026-11-02,12,Chillhop
alb_184,Lofi Beats for Coding,art_184,album,2026-06-04,12,Chillhop
alb_185,Lofi Beats for Coding,art_185,album,2026-09-06,12,Chillhop
alb_186,Lofi Beats for Coding,art_186,album,2026-06-19,12,Chillhop
alb_187,Lofi Beats for Coding,art_187,album,2026-08-27,12,Chillhop
alb_188,Lofi Beats for Coding,art_188,album,2026-08-09,12,Chillhop
alb_189,Lofi Beats for Coding,art_189,album,2026-09-27,12,Chillhop
alb_190,Lofi Beats for Coding,art_190,album,2026-11-19,12,Chillhop
alb_191,Lofi Beats for Coding,art_191,album,2026-06-12,12,Chillhop
alb_192,Lofi Beats for Coding,art_192,album,2026-10-17,12,Chillhop
alb_193,Lofi Beats for Coding,art_193,album,2026-07-13,12,Chillhop
alb_194,Lofi Beats for Coding,art_194,album,2026-08-22,12,Chillhop
alb_195,Lofi Beats for Coding,art_195,album,2026-10-07,12,Chillhop
alb_196,Lofi Beats for Coding,art_196,album,2026-07-27,12,Chillhop
alb_197,Lofi Beats for Coding,art_197,album,2026-09-06,12,Chillhop
alb_198,Lofi Beats for Coding,art_198,album,2026-07-11,12,Chillhop
alb_199,Lofi Beats for Coding,art_199,album,2026-06-21,12,Chillhop
