iata_code,icao_code,business_name,common_name,country_code
HA,HAL,Hawaiian Airlines,Hawaiian,US
AA,AAL,American Airlines,American,US
DL,DAL,Delta Air Lines,Delta,US
UA,UAL,United Airlines,United,US
WN,SWA,Southwest Airlines,Southwest,US
AS,ASA,Alaska Airlines,Alaska,US
B6,JBU,JetBlue Airways,JetBlue,US
F9,FFT,Frontier Airlines,Frontier,US
NK,NKS,Spirit Airlines,Spirit,US
AC,ACA,Air Canada,Air Canada,CA
BA,BAW,British Airways,British Airways,GB
LH,DLH,Lufthansa,Lufthansa,DE
AF,AFR,Air France,Air France,FR
KL,KLM,KLM Royal Dutch,KLM,NL
IB,IBE,Iberia,Iberia,ES
JL,JAL,Japan Airlines,JAL,JP
NH,ANA,All Nippon Airways,ANA,JP
KE,KAL,Korean Air,Korean,KR
OZ,AAR,Asiana Airlines,Asiana,KR
QF,QFA,Qantas,Qantas,AU
NZ,ANZ,Air New Zealand,Air NZ,NZ
EK,UAE,Emirates,Emirates,AE
EY,ETD,Etihad Airways,Etihad,AE
QR,QTR,Qatar Airways,Qatar,QA
SQ,SIA,Singapore Airlines,Singapore,SG
CX,CPA,Cathay Pacific,Cathay,HK
TG,THA,Thai Airways,Thai,TH
VN,HVN,Vietnam Airlines,Vietnam,VN
PR,PAL,Philippine Airlines,Philippine,PH
MH,MAS,Malaysia Airlines,Malaysia,MY
X0,REG000,Regional Carrier 1,RC1,US
BH,REG001,Regional Carrier 2,RC2,CA
CO,REG002,Regional Carrier 3,RC3,MX
DV,REG003,Regional Carrier 4,RC4,BR
E2,REG004,Regional Carrier 5,RC5,AR
GA,REG005,Regional Carrier 6,RC6,CL
GG,REG006,Regional Carrier 7,RC7,CO
HN,REG007,Regional Carrier 8,RC8,PE
IU,REG008,Regional Carrier 9,RC9,BO
J1,REG009,Regional Carrier 10,RC10,EC
X1,REG010,Regional Carrier 11,RC11,US
CI,REG011,Regional Carrier 12,RC12,CA
DP,REG012,Regional Carrier 13,RC13,MX
EW,REG013,Regional Carrier 14,RC14,BR
F3,REG014,Regional Carrier 15,RC15,AR
HB,REG015,Regional Carrier 16,RC16,CL
HH,REG016,Regional Carrier 17,RC17,CO
IO,REG017,Regional Carrier 18,RC18,PE
JV,REG018,Regional Carrier 19,RC19,BO
K2,REG019,Regional Carrier 20,RC20,EC
X2,REG020,Regional Carrier 21,RC21,US
DJ,REG021,Regional Carrier 22,RC22,CA
EQ,REG022,Regional Carrier 23,RC23,MX
FX,REG023,Regional Carrier 24,RC24,BR
G4,REG024,Regional Carrier 25,RC25,AR
IC,REG025,Regional Carrier 26,RC26,CL
II,REG026,Regional Carrier 27,RC27,CO
JP,REG027,Regional Carrier 28,RC28,PE
KW,REG028,Regional Carrier 29,RC29,BO
L3,REG029,Regional Carrier 30,RC30,EC
X3,REG030,Regional Carrier 31,RC31,US
FL,REG031,Regional Carrier 32,RC32,CA
FR,REG032,Regional Carrier 33,RC33,MX
GY,REG033,Regional Carrier 34,RC34,BR
H5,REG034,Regional Carrier 35,RC35,AR
JD,REG035,Regional Carrier 36,RC36,CL
JJ,REG036,Regional Carrier 37,RC37,CO
KQ,REG037,Regional Carrier 38,RC38,PE
LX,REG038,Regional Carrier 39,RC39,BO
M4,REG039,Regional Carrier 40,RC40,EC
X4,REG040,Regional Carrier 41,RC41,US
GM,REG041,Regional Carrier 42,RC42,CA
GS,REG042,Regional Carrier 43,RC43,MX
HZ,REG043,Regional Carrier 44,RC44,BR
I6,REG044,Regional Carrier 45,RC45,AR
LF,REG045,Regional Carrier 46,RC46,CL
KK,REG046,Regional Carrier 47,RC47,CO
LR,REG047,Regional Carrier 48,RC48,PE
MY,REG048,Regional Carrier 49,RC49,BO
N5,REG049,Regional Carrier 50,RC50,EC
X5,REG050,Regional Carrier 51,RC51,US
MS,REG051,Regional Carrier 52,RC52,CA
HT,REG052,Regional Carrier 53,RC53,MX
I0,REG053,Regional Carrier 54,RC54,BR
J7,REG054,Regional Carrier 55,RC55,AR
MG,REG055,Regional Carrier 56,RC56,CL
LL,REG056,Regional Carrier 57,RC57,CO
NT,REG057,Regional Carrier 58,RC58,PE
O0,REG058,Regional Carrier 59,RC59,BO
O6,REG059,Regional Carrier 60,RC60,EC
X6,REG060,Regional Carrier 61,RC61,US
OU,REG061,Regional Carrier 62,RC62,CA
P1,REG062,Regional Carrier 63,RC63,MX
P7,REG063,Regional Carrier 64,RC64,BR
K8,REG064,Regional Carrier 65,RC65,AR
OI,REG065,Regional Carrier 66,RC66,CL
MM,REG066,Regional Carrier 67,RC67,CO
PV,REG067,Regional Carrier 68,RC68,PE
Q2,REG068,Regional Carrier 69,RC69,BO
Q8,REG069,Regional Carrier 70,RC70,EC
X7,REG070,Regional Carrier 71,RC71,US
QW,REG071,Regional Carrier 72,RC72,CA
R3,REG072,Regional Carrier 73,RC73,MX
R9,REG073,Regional Carrier 74,RC74,BR
L9,REG074,Regional Carrier 75,RC75,AR
