statement_id,statement_month,pieces_count,base_rate_usd,reprint_fee_usd,total_usd,paid_date,notes
CR-2026-01,2026-01,1,300.00,0.00,300.00,2026-02-13,January column on Candidates Round Two follow-up. Carol batched with December
CR-2026-02,2026-02,1,300.00,0.00,300.00,2026-03-13,February column on endgame technique in the Berlin
CR-2026-03,2026-03,1,300.00,45.00,345.00,2026-04-14,March column plus Chinese anthology reprint fee for the Kramnik piece from 2022
CR-2026-04,2026-04,1,300.00,0.00,300.00,2026-05-15,April column on early Karpov study games
CR-2026-05,2026-05,1,300.00,0.00,300.00,2026-06-12,May column on Nimzo-Indian move-order tricks
CR-2026-06,2026-06,1,300.00,0.00,300.00,2026-07-15,June column on pawn structure in the Semi-Slav
CR-2026-07,2026-07,1,300.00,60.00,360.00,2026-08-14,July column on knight outposts plus Chess Digest reprint fee for the Rubinstein essay
CR-2026-08,2026-08,1,300.00,0.00,300.00,2026-09-15,August column on the classical bishop pair
CR-2026-09,2026-09,1,300.00,0.00,300.00,2026-10-14,September column on Candidates rest-day analysis. Carol emailed statement confirmation
CR-2026-10,2026-10,1,300.00,0.00,300.00,2026-11-13,October column deep Candidates preview. Paid date per Carol standard cycle
