book_id,title,author,edition,publisher,publication_year,acquisition_date,acquisition_price_usd,current_estimate_low_usd,current_estimate_high_usd,condition,signed,shelf_location,notes
CB-0001,The Modern Chess Instructor,Wilhelm Steinitz,First,G.P. Putnam Sons New York,1889,1985-11-14,850.00,4000.00,5500.00,Fine,FALSE,Nathan Glass Case,Hallmark of the collection. Insurance rider centerpiece
CB-0002,Mein System,Aron Nimzowitsch,First,Verlag B. Kagan Berlin,1925,1988-06-22,600.00,1500.00,2100.00,Very Good,FALSE,Nathan Glass Case,1925 first German. Original cloth wrapper intact
CB-0003,Common Sense in Chess,Emanuel Lasker,First,Bellairs and Co London,1896,1990-04-09,250.00,700.00,950.00,Near Fine,FALSE,Nathan Glass Case,1896 London first edition
CB-0004,My Chess Career,Jose Raul Capablanca,First,G. Bell and Sons London,1920,1992-09-30,300.00,800.00,1100.00,Very Good,FALSE,Nathan Glass Case,London first edition. Original boards intact
CB-0005,My Best Games of Chess 1908-1923,Alexander Alekhine,First,G. Bell and Sons London,1927,1994-03-18,200.00,600.00,850.00,Very Good,FALSE,Nathan Glass Case,1927 first English edition London
CB-0006,My 60 Memorable Games,Robert James Fischer,First,Simon and Schuster New York,1969,1996-08-24,400.00,1800.00,2500.00,Fine,TRUE,Nathan Glass Case,Signed by Fischer at New York 1971 tournament. Provenance letter retained
CB-0007,The Life and Games of Mikhail Tal,Mikhail Tal,First,RHM Press New York,1976,2001-05-12,150.00,400.00,650.00,Fine,TRUE,Study Main,Signed by Tal Buenos Aires 1978 tour
CB-0008,On My Great Predecessors Volume 1,Garry Kasparov,First,Everyman Chess London,2003,2003-10-04,120.00,250.00,400.00,Fine,TRUE,Study Main,Signed by Kasparov London book tour
CB-0009,My Life and Games,Vladimir Kramnik,First,Everyman Chess London,2000,2000-11-15,80.00,150.00,250.00,Fine,TRUE,Study Main,Signed by Kramnik at London simul
CB-0010,Chess is My Life,Anatoly Karpov,First,Pergamon Press Oxford,1980,1990-02-27,60.00,120.00,220.00,Near Fine,TRUE,Study Main,Signed by Karpov
CB-0011,My Best Games of Chess,Viswanathan Anand,First,Gambit Publications London,1998,2005-07-08,50.00,100.00,180.00,Fine,TRUE,Study Main,Signed by Anand at Berkeley visit
CB-0012,Nottingham 1936,Alexander Alekhine,First,G. Bell and Sons London,1937,1990-12-03,150.00,400.00,650.00,Near Fine,FALSE,Study Main,1937 first English tournament book
CB-0013,Wettkampf Bogoljubow-Alekhine 1929,Efim Bogoljubow,First,Verlag Kagan Berlin,1929,1998-01-16,200.00,550.00,850.00,Very Good,FALSE,Nathan Glass Case,German first edition. Cloth binding
