sale_id,sale_date,title,channel,list_price_usd,sale_price_usd,platform_fee_usd,shipping_cost_usd,net_usd,ship_to_state,notes
BS-2026-01,2026-01-18,Fischer Reshevsky The Match of the Century,Storefront,80.00,75.00,5.25,8.00,61.75,CA,duplicate copy from lower shelf. Buyer local pickup declined
BS-2026-02,2026-02-08,ECO Volume B Second Edition,Storefront,65.00,60.00,4.20,6.00,49.80,WA,secondary study set. Third edition retained
BS-2026-03,2026-02-24,Averbakh Chess Endings Essential Knowledge,Storefront,95.00,90.00,6.30,10.00,73.70,NY,third printing. Original 1966 edition retained on Study Upper
BS-2026-04,2026-03-11,Kasparov On My Great Predecessors Volume 1,Storefront,110.00,100.00,7.00,12.00,81.00,TX,duplicate hardback. Signed copy retained
BS-2026-05,2026-04-06,Bronstein Zurich International Chess Tournament 1953,Storefront,85.00,80.00,5.60,8.00,66.40,MA,softcover reprint. Hardback first English retained
BS-2026-06,2026-04-22,Chernev Logical Chess Move by Move,Storefront,50.00,45.00,3.15,6.00,35.85,IL,working teaching copy replaced with new print
BS-2026-07,2026-05-13,ECO Volume E Third Edition,Storefront,65.00,58.00,4.06,6.00,47.94,GA,secondary reference. Kept fourth edition
BS-2026-08,2026-06-04,Karpov Best Games of Chess 1969-1977,Storefront,75.00,70.00,4.90,8.00,57.10,OR,second copy inherited from Whitfield trade
BS-2026-09,2026-07-20,Nimzowitsch My System 1947 reprint,Storefront,55.00,50.00,3.50,6.00,40.50,MI,student loaner replaced. Kept Limited edition
BS-2026-10,2026-08-15,Silman Complete Endgame Course,Storefront,40.00,38.00,2.66,5.00,30.34,VA,used teaching copy
BS-2026-11,2026-09-10,Reti Masters of the Chessboard 1932 first English,Storefront,70.00,65.00,4.55,8.00,52.45,PA,duplicate copy. Original retained on Study Main
BS-2026-12,2026-10-05,Botvinnik Selected Games 1926-1946,Storefront,90.00,85.00,5.95,10.00,69.05,FL,second copy. Kept original hardback
BS-2026-13,2026-01-27,Alekhine My Best Games of Chess 1908-1923 Facsimile,Marketplace,145.00,135.00,20.25,12.00,102.75,NJ,duplicate facsimile. First edition retained
BS-2026-14,2026-02-15,Capablanca Chess Fundamentals hardback,Marketplace,65.00,60.00,9.00,8.00,43.00,CO,second copy from Ashworth trade
BS-2026-15,2026-03-05,Kasparov On My Great Predecessors Volume 3,Marketplace,120.00,110.00,16.50,12.00,81.50,AZ,duplicate hardback. Signed volume retained
BS-2026-16,2026-03-30,Steinitz The Modern Chess Instructor Facsimile,Marketplace,195.00,180.00,27.00,15.00,138.00,MA,facsimile. Original 1889 not for sale ever
BS-2026-17,2026-05-02,Fischer My 60 Memorable Games hardback,Marketplace,85.00,78.00,11.70,9.00,57.30,WA,softcover teaching duplicate replaced with new print
BS-2026-18,2026-05-28,Tal The Life and Games of Mikhail Tal,Marketplace,70.00,65.00,9.75,8.00,47.25,CA,paperback edition. First hardback retained
BS-2026-19,2026-06-19,Petrosian Complete Games 1946-1963,Marketplace,115.00,105.00,15.75,12.00,77.25,TX,duplicate copy sold. Original English first retained. Matches book_id CB-0037 sold flag
BS-2026-20,2026-07-08,Larsen Best Games 1947-1969,Marketplace,60.00,55.00,8.25,8.00,38.75,MN,duplicate softcover
BS-2026-21,2026-08-02,Smyslov 125 Selected Games,Marketplace,95.00,85.00,12.75,10.00,62.25,WI,second copy. Kept original
BS-2026-22,2026-09-05,Kramnik My Life and Games,Marketplace,75.00,68.00,10.20,8.00,49.80,OH,unsigned duplicate. Signed copy retained
BS-2026-23,2026-09-26,Bronstein The Sorcerer Apprentice,Marketplace,80.00,72.00,10.80,9.00,52.20,IN,buyer requested partial refund for spine wear. Net after adjust posts to bank at 47.20
BS-2026-24,2026-10-14,Karpov Endgame Vol 1 Bishops,Marketplace,105.00,95.00,14.25,10.00,70.75,NC,duplicate teaching copy
BS-2026-25,2026-10-28,Anand My Best Games of Chess,Marketplace,70.00,65.00,9.75,8.00,47.25,OK,softcover duplicate
