zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
zpid_dec_001,742 Adams St,Decatur,GA,30030,33.7712,-84.2954,4,3,2450,7200,2018,SINGLE_FAMILY,795000,782000,3800,FOR_SALE,14,ag_dec_1
zpid_dec_002,1128 Oakview Rd,Decatur,GA,30030,33.7702,-84.2985,3,2.5,2100,6800,2005,SINGLE_FAMILY,685000,698000,3500,FOR_SALE,32,ag_dec_2
zpid_dec_003,483 W Trinity Pl,Decatur,GA,30030,33.7731,-84.2938,4,3.5,2900,8100,2020,SINGLE_FAMILY,875000,868000,4200,FOR_SALE,7,ag_dec_1
zpid_ave_001,215 Fairfield Rd,Avondale Estates,GA,30002,33.7719,-84.2687,3,2,1800,6400,1948,SINGLE_FAMILY,545000,552000,2800,FOR_SALE,45,ag_ave_1
zpid_ave_002,1074 Kensington Rd,Avondale Estates,GA,30002,33.7735,-84.2701,4,3,2600,7800,2015,SINGLE_FAMILY,725000,731000,3600,FOR_SALE,18,ag_ave_1
zpid_ave_003,384 Berkeley Rd,Avondale Estates,GA,30002,33.7712,-84.2712,3,2.5,2200,7100,2010,SINGLE_FAMILY,625000,632000,3200,PENDING,28,ag_ave_1
zpid_201,1234 W Trinity Pl,Decatur,GA,30030,33.776,-84.288,3,3,1775,7684,2016,SINGLE_FAMILY,857000,857000,2661,FOR_SALE,56,ag_dec_1
zpid_202,2949 Winnona Dr,East Atlanta,GA,30032,33.779,-84.265,4,2,1694,7289,2016,SINGLE_FAMILY,818000,818000,3063,FOR_SALE,86,ag_dec_1
zpid_203,2056 Warren St,Avondale Estates,GA,30002,33.771,-84.284,4,2,1944,7984,2011,SINGLE_FAMILY,590000,590000,2802,FOR_SALE,3,ag_dec_1
zpid_204,2769 Emerson Ave,Decatur,GA,30030,33.771,-84.294,4,3,2228,9228,1994,SINGLE_FAMILY,724000,724000,2819,PENDING,3,ag_dec_1
