search_id,user_id,name,city,state,min_price,max_price,min_beds,min_baths,home_type,created_at
srch_fritz_decatur,fritz_rush,Decatur post-fellowship,Decatur,GA,600000,850000,3,2,SINGLE_FAMILY,2025-11-01T12:00:00Z
srch_fritz_avondale,fritz_rush,Avondale Estates post-fellowship,Avondale Estates,GA,500000,750000,3,2,SINGLE_FAMILY,2025-11-01T12:00:00Z
srch_1,fritz_rush,Reference search 1,Decatur,GA,576694,901575,3,2,SINGLE_FAMILY,2026-06-15T12:00:00Z
srch_2,fritz_rush,Reference search 2,Decatur,GA,696815,859703,3,2,SINGLE_FAMILY,2026-09-15T12:00:00Z
srch_3,fritz_rush,Reference search 3,Decatur,GA,558675,914814,3,2,SINGLE_FAMILY,2026-06-15T12:00:00Z
srch_4,fritz_rush,Reference search 4,Decatur,GA,579713,939595,3,2,SINGLE_FAMILY,2026-05-15T12:00:00Z
srch_5,fritz_rush,Reference search 5,Decatur,GA,606871,981241,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_6,fritz_rush,Reference search 6,Decatur,GA,543050,903784,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_7,fritz_rush,Reference search 7,Decatur,GA,625072,974869,3,2,SINGLE_FAMILY,2026-06-15T12:00:00Z
srch_8,fritz_rush,Reference search 8,Decatur,GA,665330,874493,3,2,SINGLE_FAMILY,2026-02-15T12:00:00Z
srch_9,fritz_rush,Reference search 9,Decatur,GA,677168,899076,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_10,fritz_rush,Reference search 10,Decatur,GA,590205,911929,3,2,SINGLE_FAMILY,2026-03-15T12:00:00Z
srch_11,fritz_rush,Reference search 11,Decatur,GA,652281,816183,3,2,SINGLE_FAMILY,2026-03-15T12:00:00Z
srch_12,fritz_rush,Reference search 12,Decatur,GA,512602,853177,3,2,SINGLE_FAMILY,2026-07-15T12:00:00Z
srch_13,fritz_rush,Reference search 13,Decatur,GA,696274,836007,3,2,SINGLE_FAMILY,2026-02-15T12:00:00Z
srch_14,fritz_rush,Reference search 14,Decatur,GA,679243,936803,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_15,fritz_rush,Reference search 15,Decatur,GA,555186,936310,3,2,SINGLE_FAMILY,2026-02-15T12:00:00Z
srch_16,fritz_rush,Reference search 16,Decatur,GA,540440,806411,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_17,fritz_rush,Reference search 17,Decatur,GA,677265,878156,3,2,SINGLE_FAMILY,2026-07-15T12:00:00Z
srch_18,fritz_rush,Reference search 18,Decatur,GA,582033,949994,3,2,SINGLE_FAMILY,2026-02-15T12:00:00Z
srch_19,fritz_rush,Reference search 19,Decatur,GA,560381,984618,3,2,SINGLE_FAMILY,2026-06-15T12:00:00Z
srch_20,fritz_rush,Reference search 20,Decatur,GA,596047,985983,3,2,SINGLE_FAMILY,2026-05-15T12:00:00Z
srch_21,fritz_rush,Reference search 21,Decatur,GA,598477,874723,3,2,SINGLE_FAMILY,2026-06-15T12:00:00Z
srch_22,fritz_rush,Reference search 22,Decatur,GA,643482,816299,3,2,SINGLE_FAMILY,2026-05-15T12:00:00Z
srch_23,fritz_rush,Reference search 23,Decatur,GA,537067,960198,3,2,SINGLE_FAMILY,2026-07-15T12:00:00Z
srch_24,fritz_rush,Reference search 24,Decatur,GA,541491,923513,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_25,fritz_rush,Reference search 25,Decatur,GA,613776,870544,3,2,SINGLE_FAMILY,2026-08-15T12:00:00Z
srch_26,fritz_rush,Reference search 26,Decatur,GA,523900,924864,3,2,SINGLE_FAMILY,2026-01-15T12:00:00Z
