id,title,parent_page_id,created_time,last_edited_time,created_by,icon,archived
db_research_roadmap,Research Roadmap,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_faculty_plan,Faculty Job Plan,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_grant_tracker,Grant Tracker,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_reading_notes,Reading Notes,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_manuscript_pipeline,Manuscript Pipeline,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_cme_tracker,CME Tracker 2026,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_mpi_field,MPH Field Site Reference,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_book_club,Global Health Book Club,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_running,Running Log,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_cooking,Cooking Recipe Library,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_family,Family - Sophia and Diane,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
db_ida_conference_notes,ID Society Conference Notes,,2024-08-01T09:00:00.000Z,2026-09-25T14:00:00.000Z,usr_fritz_001,microscope,false
