id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,298,3,62,6
Label_0,Label 0,user,53,10,17,5
Label_1,Label 1,user,2,6,5,1
Label_2,Label 2,user,56,8,27,4
Label_3,Label 3,user,9,10,7,3
Label_4,Label 4,user,10,3,21,0
Label_5,Label 5,user,94,10,43,3
Label_6,Label 6,user,52,1,10,5
Label_7,Label 7,user,57,9,33,5
Label_8,Label 8,user,44,5,46,1
Label_9,Label 9,user,14,4,28,0
Label_10,Label 10,user,8,10,31,3
Label_11,Label 11,user,39,3,45,0
Label_12,Label 12,user,8,7,44,2
Label_13,Label 13,user,39,7,47,3
Label_14,Label 14,user,1,3,42,4
Label_15,Label 15,user,55,2,48,2
Label_16,Label 16,user,13,10,28,4
Label_17,Label 17,user,49,10,38,1
Label_18,Label 18,user,10,9,20,2
Label_19,Label 19,user,26,2,3,2
Label_20,Label 20,user,21,8,11,4
Label_21,Label 21,user,35,3,32,3
Label_22,Label 22,user,33,7,48,4
Label_23,Label 23,user,88,7,16,5
Label_24,Label 24,user,70,10,2,5
Label_25,Label 25,user,15,7,50,4
Label_26,Label 26,user,11,0,23,2
Label_27,Label 27,user,87,2,21,4
Label_28,Label 28,user,48,2,0,5
Label_29,Label 29,user,16,7,13,5
Label_30,Label 30,user,34,10,23,0
Label_31,Label 31,user,39,1,22,3
Label_32,Label 32,user,45,6,9,5
Label_33,Label 33,user,93,6,22,4
Label_34,Label 34,user,44,8,49,5
Label_35,Label 35,user,28,4,38,3
Label_36,Label 36,user,94,8,35,1
Label_37,Label 37,user,72,9,6,2
Label_38,Label 38,user,67,7,6,4
Label_39,Label 39,user,94,7,48,3
Label_40,Label 40,user,25,7,26,0
Label_41,Label 41,user,41,2,7,0
Label_42,Label 42,user,44,2,29,4
Label_43,Label 43,user,28,5,12,1
Label_44,Label 44,user,47,6,39,4
Label_45,Label 45,user,96,10,40,1
Label_46,Label 46,user,15,5,35,1
Label_47,Label 47,user,41,7,48,0
Label_48,Label 48,user,97,0,47,2
Label_49,Label 49,user,51,9,31,2
Label_50,Label 50,user,51,5,8,4
Label_51,Label 51,user,22,8,50,5
Label_52,Label 52,user,4,0,9,5
Label_53,Label 53,user,62,5,4,0
Label_54,Label 54,user,51,10,41,2
Label_55,Label 55,user,46,5,8,2
Label_56,Label 56,user,15,4,12,4
Label_57,Label 57,user,14,7,39,2
Label_58,Label 58,user,100,8,50,3
Label_59,Label 59,user,67,1,21,2
Label_60,Label 60,user,86,2,42,3
Label_61,Label 61,user,93,10,36,5
Label_62,Label 62,user,49,5,24,1
Label_63,Label 63,user,61,5,28,2
Label_64,Label 64,user,20,0,30,4
Label_65,Label 65,user,66,3,33,1
Label_66,Label 66,user,25,7,44,1
Label_67,Label 67,user,56,1,37,2
Label_68,Label 68,user,70,9,24,1
Label_69,Label 69,user,56,10,12,0
Label_70,Label 70,user,42,3,19,1
Label_71,Label 71,user,50,7,38,3
Label_72,Label 72,user,32,6,16,2
Label_73,Label 73,user,69,0,28,0
Label_74,Label 74,user,14,8,27,3
Label_75,Label 75,user,32,8,43,0
Label_76,Label 76,user,41,8,13,3
Label_77,Label 77,user,77,3,42,3
Label_78,Label 78,user,34,6,27,3
Label_79,Label 79,user,71,4,8,1
Label_80,Label 80,user,31,6,34,3
Label_81,Label 81,user,95,6,41,1
Label_82,Label 82,user,17,0,14,3
Label_83,Label 83,user,29,4,35,2
Label_84,Label 84,user,79,0,30,0
Label_85,Label 85,user,94,9,48,5
Label_86,Label 86,user,51,1,43,4
Label_87,Label 87,user,67,2,9,2
Label_88,Label 88,user,39,4,11,1
Label_89,Label 89,user,84,9,28,1
Label_90,Label 90,user,70,0,2,1
Label_91,Label 91,user,0,9,41,0
Label_92,Label 92,user,60,3,27,1
Label_93,Label 93,user,2,10,1,4
Label_94,Label 94,user,87,0,14,0
Label_95,Label 95,user,41,10,24,2
Label_96,Label 96,user,24,2,43,4
Label_97,Label 97,user,42,6,18,1
Label_98,Label 98,user,22,3,10,5
Label_99,Label 99,user,84,3,22,0
Label_100,Label 100,user,76,1,47,3
Label_101,Label 101,user,78,3,3,5
Label_102,Label 102,user,85,2,28,1
Label_103,Label 103,user,84,5,31,3
Label_104,Label 104,user,54,1,23,2
Label_105,Label 105,user,75,3,14,4
Label_106,Label 106,user,95,3,23,0
Label_107,Label 107,user,8,1,21,0
Label_108,Label 108,user,12,0,19,0
Label_109,Label 109,user,18,9,4,1
Label_110,Label 110,user,39,10,20,3
Label_111,Label 111,user,39,5,0,2
Label_112,Label 112,user,60,5,15,3
Label_113,Label 113,user,12,10,3,4
Label_114,Label 114,user,48,7,26,1
Label_115,Label 115,user,76,4,43,1
Label_116,Label 116,user,100,2,30,4
Label_117,Label 117,user,20,1,21,1
Label_118,Label 118,user,10,5,48,0
