item,unit,kroger_price,aldi_price,target_price,last_checked,notes
Whole milk 1gal,gallon,3.79,3.29,3.99,2026-10-04,weekly staple - Aldi runs cheapest
Eggs 18ct,carton,4.59,3.99,4.79,2026-10-04,Aldi carton typically fresher
Whole wheat bread,loaf,2.99,2.29,3.19,2026-09-28,Aldi own-label preferred
Bananas,lb,0.59,0.44,0.59,2026-10-04,
Apples Fuji,lb,1.79,1.49,1.89,2026-10-04,Owen and Maisie apple slices routine
Baby carrots,1lb bag,1.49,1.29,1.69,2026-10-04,school lunch pack-outs
Broccoli,bunch,1.99,1.69,2.19,2026-10-04,mac and cheese with broccoli side
Chicken breast,lb,4.29,3.79,4.49,2026-10-04,stir fry weeknight base
Ground turkey,lb,5.49,4.99,5.79,2026-10-01,crockpot chili and taco nights
Ground beef 80/20,lb,5.99,5.49,6.29,2026-10-04,spaghetti meat sauce night
Spaghetti pasta,16oz,1.29,0.89,1.49,2026-09-28,spaghetti-and-meat-sauce staple
Marinara sauce,jar,2.99,1.99,3.29,2026-10-01,spaghetti night
Taco shells 12ct,box,2.49,1.89,2.69,2026-10-01,taco night
Taco seasoning,packet,1.19,0.79,1.29,2026-10-01,taco night
Shredded cheddar,8oz bag,2.99,2.49,3.19,2026-10-01,tacos and mac and cheese
Boxed mac and cheese,box,1.49,0.99,1.59,2026-09-28,quick kid dinner
Canned black beans,can,0.99,0.79,1.09,2026-09-28,chili and tacos
Canned diced tomatoes,can,1.29,0.99,1.39,2026-10-01,crockpot chili
Chili seasoning,packet,1.19,0.89,1.29,2026-10-01,crockpot chili
Crockpot chili kit,kit,8.49,,,2026-10-03,Kroger only - Saturday meal
Chicken stir fry veg mix,16oz frozen,4.29,3.79,4.49,2026-10-01,weeknight stir fry
Brown rice,2lb bag,2.99,2.49,3.19,2026-09-28,stir fry base
Greek yogurt,32oz,4.99,3.99,5.29,2026-10-04,breakfast
Peanut butter,16oz,3.29,2.49,3.49,2026-09-28,school sandwiches
Granola bars,box,4.99,3.99,4.99,2026-10-02,school lunches
Cheese sticks,12ct,3.49,2.99,3.79,2026-10-04,school lunches and after-school
Apple slices cups,6pk,2.99,2.49,3.19,2026-10-04,Maisie packouts
Pretzels bag,10oz,2.79,2.29,2.99,2026-10-01,after-school snack
Diet soda 12pk,pack,5.99,4.99,6.29,2026-10-01,
Frozen dinners,each,4.29,3.29,4.49,2026-10-07,late night-shift fallback
Coffee ground can,30oz,10.99,7.99,11.49,2026-09-28,large drip mornings - cream and sugar
Vending snacks,each,2.50,,,2026-10-06,Med-Surg lounge only - stress week fallback
El Meson takeout,order,28.50,,,2026-10-05,restaurant only - occasional
Panera family meal,order,32.00,,,2026-10-08,restaurant only - post-shift dinner
Dewey's Pizza large,order,22.00,,,2026-09-27,restaurant only - kid Friday
Kroger weekly trip avg,trip estimate,87.00,,,2026-10-04,per receipt average - not a monthly total
Target household bins,each,,,24.99,2026-10-02,non-food - organization run
Old Navy kids essentials,run,,,45.00,2026-09-20,non-food reference - clothing run
