number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
50,tavr-biostats,feature/enrollment-agg,main,False,True,False,approved,45,12,3,passing
51,coastal-cardio-ops,feature/branch-000,main,True,True,False,pending,121,47,17,pending
52,tavr-biostats,feature/branch-001,main,True,True,False,approved,123,9,17,passing
53,tavr-biostats,feature/branch-002,main,False,True,False,changes_requested,45,82,12,pending
54,tavr-biostats,feature/branch-003,main,True,True,True,approved,57,53,9,failing
55,coastal-cardio-ops,feature/branch-004,main,True,False,False,approved,177,53,9,passing
56,coastal-cardio-ops,feature/branch-005,main,False,False,True,approved,176,76,2,failing
57,coastal-cardio-ops,feature/branch-006,main,True,True,True,pending,92,29,15,failing
58,coastal-cardio-ops,feature/branch-007,main,True,False,False,changes_requested,43,59,8,failing
59,tavr-biostats,feature/branch-008,main,False,True,False,pending,54,30,19,passing
60,coastal-cardio-ops,feature/branch-009,main,False,False,False,pending,57,94,9,passing
61,coastal-cardio-ops,feature/branch-010,main,True,False,True,approved,112,34,16,passing
62,coastal-cardio-ops,feature/branch-011,main,True,True,True,pending,95,70,19,passing
63,tavr-biostats,feature/branch-012,main,True,False,False,changes_requested,63,56,2,passing
64,coastal-cardio-ops,feature/branch-013,main,False,True,False,approved,92,95,14,passing
65,coastal-cardio-ops,feature/branch-014,main,False,True,True,changes_requested,170,80,18,pending
66,coastal-cardio-ops,feature/branch-015,main,False,True,True,changes_requested,101,86,7,pending
67,coastal-cardio-ops,feature/branch-016,main,False,False,False,approved,123,99,12,pending
68,tavr-biostats,feature/branch-017,main,True,False,True,pending,63,27,4,passing
69,coastal-cardio-ops,feature/branch-018,main,True,True,True,pending,70,49,5,passing
70,coastal-cardio-ops,feature/branch-019,main,False,True,True,pending,34,91,2,pending
71,tavr-biostats,feature/branch-020,main,False,True,True,changes_requested,31,6,14,pending
72,coastal-cardio-ops,feature/branch-021,main,False,False,False,changes_requested,84,10,11,failing
73,tavr-biostats,feature/branch-022,main,False,True,True,changes_requested,27,33,17,passing
74,coastal-cardio-ops,feature/branch-023,main,False,False,True,approved,55,33,7,passing
75,coastal-cardio-ops,feature/branch-024,main,True,False,True,changes_requested,86,58,4,pending
76,coastal-cardio-ops,feature/branch-025,main,False,False,True,approved,34,73,17,pending
77,coastal-cardio-ops,feature/branch-026,main,True,True,False,changes_requested,178,8,4,passing
78,coastal-cardio-ops,feature/branch-027,main,False,False,False,approved,122,52,13,passing
79,tavr-biostats,feature/branch-028,main,False,True,False,pending,59,24,18,failing
80,coastal-cardio-ops,feature/branch-029,main,True,False,False,changes_requested,102,74,7,failing
81,tavr-biostats,feature/branch-030,main,True,True,False,pending,75,58,12,failing
82,tavr-biostats,feature/branch-031,main,True,False,True,pending,72,54,8,failing
83,tavr-biostats,feature/branch-032,main,False,False,True,changes_requested,119,15,5,passing
84,tavr-biostats,feature/branch-033,main,True,True,False,pending,139,28,10,pending
85,tavr-biostats,feature/branch-034,main,True,False,True,pending,142,58,19,pending
86,coastal-cardio-ops,feature/branch-035,main,False,True,True,changes_requested,46,96,16,failing
87,coastal-cardio-ops,feature/branch-036,main,True,False,True,changes_requested,104,71,10,failing
88,tavr-biostats,feature/branch-037,main,True,False,False,approved,105,9,13,failing
89,coastal-cardio-ops,feature/branch-038,main,True,False,False,approved,175,25,3,failing
90,tavr-biostats,feature/branch-039,main,False,True,True,pending,18,43,6,failing
91,tavr-biostats,feature/branch-040,main,True,True,False,changes_requested,120,35,17,pending
92,coastal-cardio-ops,feature/branch-041,main,False,True,True,pending,95,0,17,failing
93,coastal-cardio-ops,feature/branch-042,main,False,False,False,pending,11,2,4,pending
94,tavr-biostats,feature/branch-043,main,True,False,False,pending,51,40,2,failing
95,tavr-biostats,feature/branch-044,main,True,False,True,changes_requested,152,70,4,passing
96,coastal-cardio-ops,feature/branch-045,main,True,False,False,pending,131,2,16,failing
97,tavr-biostats,feature/branch-046,main,True,False,False,approved,192,89,18,failing
98,tavr-biostats,feature/branch-047,main,False,True,False,changes_requested,186,36,6,pending
99,tavr-biostats,feature/branch-048,main,False,True,False,pending,109,98,8,pending
100,coastal-cardio-ops,feature/branch-049,main,True,False,False,pending,182,13,20,pending
101,tavr-biostats,feature/branch-050,main,False,False,True,pending,54,29,4,failing
102,tavr-biostats,feature/branch-051,main,False,True,False,pending,83,65,15,failing
103,coastal-cardio-ops,feature/branch-052,main,True,True,True,approved,98,15,13,passing
104,coastal-cardio-ops,feature/branch-053,main,False,False,True,pending,82,66,3,passing
105,coastal-cardio-ops,feature/branch-054,main,False,True,False,changes_requested,188,56,15,pending
106,tavr-biostats,feature/branch-055,main,True,False,True,changes_requested,93,64,2,passing
107,coastal-cardio-ops,feature/branch-056,main,True,True,False,pending,78,10,3,passing
108,coastal-cardio-ops,feature/branch-057,main,True,True,True,approved,174,34,16,pending
109,coastal-cardio-ops,feature/branch-058,main,False,False,False,changes_requested,151,8,16,passing
110,tavr-biostats,feature/branch-059,main,True,True,False,approved,39,71,14,pending
111,coastal-cardio-ops,feature/branch-060,main,True,True,True,approved,22,59,11,failing
112,coastal-cardio-ops,feature/branch-061,main,False,True,True,changes_requested,97,75,16,passing
113,tavr-biostats,feature/branch-062,main,True,False,False,pending,87,39,7,passing
114,coastal-cardio-ops,feature/branch-063,main,False,True,False,approved,62,26,4,passing
115,coastal-cardio-ops,feature/branch-064,main,True,True,True,changes_requested,143,33,20,pending
116,tavr-biostats,feature/branch-065,main,False,False,True,changes_requested,154,20,18,pending
117,tavr-biostats,feature/branch-066,main,False,True,True,approved,151,57,17,pending
118,tavr-biostats,feature/branch-067,main,True,False,True,approved,49,28,13,failing
119,tavr-biostats,feature/branch-068,main,False,False,True,changes_requested,178,69,3,passing
120,coastal-cardio-ops,feature/branch-069,main,True,False,True,changes_requested,194,31,5,passing
121,coastal-cardio-ops,feature/branch-070,main,True,False,False,changes_requested,178,4,3,passing
122,coastal-cardio-ops,feature/branch-071,main,True,False,True,approved,156,87,15,failing
123,tavr-biostats,feature/branch-072,main,True,False,True,changes_requested,126,53,3,pending
124,coastal-cardio-ops,feature/branch-073,main,False,True,False,changes_requested,31,16,14,failing
125,tavr-biostats,feature/branch-074,main,False,True,True,pending,128,0,2,passing
126,coastal-cardio-ops,feature/branch-075,main,False,False,True,approved,199,92,15,failing
127,tavr-biostats,feature/branch-076,main,True,False,False,pending,10,56,18,pending
128,tavr-biostats,feature/branch-077,main,True,False,False,approved,22,89,14,failing
129,tavr-biostats,feature/branch-078,main,False,False,True,approved,128,76,10,passing
130,coastal-cardio-ops,feature/branch-079,main,True,False,False,changes_requested,33,85,19,pending
131,coastal-cardio-ops,feature/branch-080,main,False,False,False,changes_requested,66,79,11,failing
132,coastal-cardio-ops,feature/branch-081,main,False,False,True,approved,191,70,10,pending
133,tavr-biostats,feature/branch-082,main,True,True,False,changes_requested,141,89,19,failing
134,coastal-cardio-ops,feature/branch-083,main,True,False,True,pending,15,83,15,failing
135,coastal-cardio-ops,feature/branch-084,main,True,False,False,changes_requested,158,80,10,pending
136,tavr-biostats,feature/branch-085,main,True,False,False,approved,12,45,19,passing
137,tavr-biostats,feature/branch-086,main,True,False,False,changes_requested,111,28,12,passing
138,tavr-biostats,feature/branch-087,main,False,True,True,pending,185,19,20,passing
139,tavr-biostats,feature/branch-088,main,True,True,False,changes_requested,22,49,16,passing
140,coastal-cardio-ops,feature/branch-089,main,True,True,True,changes_requested,132,95,12,passing
141,coastal-cardio-ops,feature/branch-090,main,False,True,False,pending,115,74,11,pending
142,coastal-cardio-ops,feature/branch-091,main,False,True,False,changes_requested,113,16,3,passing
143,coastal-cardio-ops,feature/branch-092,main,True,True,False,changes_requested,73,3,11,passing
144,coastal-cardio-ops,feature/branch-093,main,False,False,False,approved,151,90,16,pending
145,coastal-cardio-ops,feature/branch-094,main,True,False,True,changes_requested,166,100,5,passing
146,coastal-cardio-ops,feature/branch-095,main,True,False,False,approved,62,11,9,pending
147,tavr-biostats,feature/branch-096,main,True,True,False,approved,191,61,13,pending
148,tavr-biostats,feature/branch-097,main,True,False,False,changes_requested,73,66,8,pending
149,tavr-biostats,feature/branch-098,main,True,False,False,approved,118,70,17,passing
150,tavr-biostats,feature/branch-099,main,True,True,True,changes_requested,20,85,20,pending
151,tavr-biostats,feature/branch-100,main,False,False,True,approved,82,45,1,failing
152,coastal-cardio-ops,feature/branch-101,main,False,True,True,pending,64,0,5,pending
153,coastal-cardio-ops,feature/branch-102,main,False,True,True,pending,198,84,6,failing
154,coastal-cardio-ops,feature/branch-103,main,False,True,True,pending,198,88,2,passing
155,coastal-cardio-ops,feature/branch-104,main,True,False,False,changes_requested,43,38,14,pending
156,coastal-cardio-ops,feature/branch-105,main,False,True,False,changes_requested,29,6,8,failing
157,coastal-cardio-ops,feature/branch-106,main,False,True,True,pending,105,92,15,failing
158,tavr-biostats,feature/branch-107,main,False,True,False,approved,147,86,4,failing
159,tavr-biostats,feature/branch-108,main,False,True,True,approved,136,5,4,failing
160,tavr-biostats,feature/branch-109,main,False,False,True,approved,127,69,14,passing
