item_id,category,item,owner,status,due_date,vendor,last_updated,notes
MOD-001,Tent,Tent 20x40 white top,Molly Lindgren,pending,2026-10-22,Statesboro Rentals,2026-09-30,"CONFLICT — Gmail thread 19 confirms locked as of 2026-10-21, board never flipped"
MOD-002,Parking,Parking marshals x2,Gladys Monroe,confirmed,2026-10-30,Toombs County Sheriff Reserve,2026-10-18,confirmed 2 marshals 8 AM to 2 PM
MOD-003,Sanitation,Port-a-lets x3,Gladys Monroe,confirmed,2026-11-06,Southside Sanitation,2026-10-15,delivered morning of Nov 6
MOD-004,Print,Fall tour program 400 count,Molly Lindgren,confirmed,2026-11-05,Advance Printing Co,2026-10-19,pickup Nov 5 4 PM
MOD-005,Awards,Rosettes x12,Gladys Monroe,confirmed,2026-10-24,Blue Ribbon Awards Co,2026-10-08,delivered Oct 24
MOD-006,Signage,Bed signs x8,Molly Lindgren,confirmed,2026-11-04,Vidalia Sign Shop,2026-10-11,delivered Nov 4
MOD-007,Refreshments,Coffee urn plus 60 pastries,Ruth Ann Fussell,confirmed,2026-11-07,Magnolia Cafe,2026-10-25,delivery 8 AM Nov 7
MOD-008,Venue,Judging table community center room 3,Gladys Monroe,confirmed,2026-10-30,City of Vidalia,2026-10-16,no charge
MOD-009,Volunteers,Ticket-table volunteers x6,VGS Secretary,partial,2026-11-01,-,2026-10-24,4 signed up 2 slots open
MOD-010,Bed prep,Azalea bed - overall readiness,Molly Lindgren,ready,2026-11-06,-,2026-10-25,"CONFLICT — flipped to ready by Sissy Monroe Oct 25, Trello checklist shows 5/7 done"
MOD-011,Bed prep,Bed edging north side,Molly Lindgren,in_progress,2026-11-01,VGS workday crew,2026-10-04,photos confirm still incomplete Oct 20 and Oct 24
MOD-012,Bed prep,Mulch depth west side,Molly Lindgren,in_progress,2026-11-01,VGS workday crew,2026-10-04,photos confirm still thin Oct 20 and Oct 24
MOD-013,Bed prep,Plant health,Molly Lindgren,done,2026-10-20,-,2026-09-27,inspected Sep 27
MOD-014,Bed prep,Bloom timing,Molly Lindgren,done,2026-10-25,-,2026-10-20,buds opening on schedule
MOD-015,Bed prep,Weed clearance,Molly Lindgren,done,2026-10-15,-,2026-10-13,cleared Oct 13
MOD-016,Bed prep,Signage placement,Molly Lindgren,done,2026-11-05,-,2026-11-04,installed Nov 4
MOD-017,Bed prep,Walking-path clearance,Molly Lindgren,done,2026-10-30,-,2026-10-27,cleared Oct 27
MOD-018,Sponsor,Plaque design and print,Sissy Monroe,in_progress,2026-11-03,Vidalia Sign Shop,2026-10-14,Figma frame linked
MOD-019,Sponsor,Sponsor thank-you gift bags,Gladys Monroe,partial,2026-11-06,BigCommerce Gladys seed shop,2026-10-19,18 bags assembled 4 remaining
MOD-020,Materials,Flyer print run 300,Sissy Monroe,done,2026-10-25,Advance Printing Co,2026-10-25,delivered Oct 25 — 300 count
MOD-021,Materials,Newsletter piece,VGS Newsletter Editor,done,2026-10-14,-,2026-10-14,published to Contentful
MOD-022,Materials,Ticket page live,Sissy Monroe,done,2026-08-01,-,2026-08-01,Eventbrite live since Aug 1
MOD-023,Materials,Society website tour page,Sissy Monroe,done,2026-08-15,-,2026-10-02,Webflow — early-bird price not removed after Oct 31
MOD-024,Membership,Roster reconciliation for tour,Molly Lindgren,pending,2026-11-05,-,2026-10-28,"stale roster read — needs Stripe cross-check"
MOD-025,Membership,Welcome cards outstanding,Molly Lindgren,in_progress,2026-11-05,-,2026-10-22,new members Ruby B and Delbert S still no card
MOD-026,Membership,Sponsor dollar reconciliation,Molly Lindgren,pending,2026-11-05,-,2026-10-28,see sponsor letters
MOD-027,Judging,Judges confirmed x3,Gladys Monroe,confirmed,2026-10-30,-,2026-10-20,Ms Peebles, Mr Kirkland, Ms Corbett
MOD-028,Judging,Judging criteria sheet,Gladys Monroe,done,2026-10-15,-,2026-10-15,printed 5 copies
MOD-029,Judging,Ribbon presentation script,Gladys Monroe,done,2026-10-22,-,2026-10-22,-
MOD-030,Weather,Rain plan document,Gladys Monroe,partial,2026-11-05,-,2026-10-27,Gladys prefers indoor community center path — not yet in any material
MOD-031,Weather,Weather call Nov 7,Molly Lindgren,pending,2026-11-06,OpenWeather,2026-10-27,check Nov 6 evening
MOD-032,Communications,Sponsor thank-you email drafts,Molly Lindgren,pending,2026-11-08,-,2026-10-28,one line each — held drafts
MOD-033,Communications,Volunteer thank-you drafts,Molly Lindgren,pending,2026-11-08,-,2026-10-28,one line each — held drafts
MOD-034,Communications,Member thank-you drafts,Molly Lindgren,pending,2026-11-08,-,2026-10-28,one line each — held drafts
MOD-035,Communications,Post-tour survey,Molly Lindgren,pending,2026-11-11,Typeform,2026-10-28,scheduled Wed Nov 11 draft
MOD-036,Communications,Gladys handoff note,Molly Lindgren,pending,2026-11-08,-,2026-10-28,draft only
