card_id,category,checklist_item,status,due_date,verified_by,notes
TRL-001,Bed edging,North corner pavers installed,open,2026-11-01,-,pavers missing per photos Sep 14 Oct 4 Oct 20 Oct 24
TRL-002,Bed edging,East side edging trimmed,done,2026-10-15,Sissy Monroe,-
TRL-003,Bed edging,South side edging trimmed,done,2026-10-15,Sissy Monroe,-
TRL-004,Bed edging,West side edging trimmed,done,2026-10-15,Sissy Monroe,-
TRL-005,Mulch depth,West edge mulch top-up 2 to 3 bags,open,2026-11-01,-,measured ~1 inch Oct 24 needs 3 inches
TRL-006,Mulch depth,East side mulch check,done,2026-09-27,Molly Lindgren,3 inches uniform
TRL-007,Mulch depth,North side mulch check,done,2026-09-27,Molly Lindgren,3 inches uniform
TRL-008,Mulch depth,South side mulch check,done,2026-09-27,Molly Lindgren,3 inches uniform
TRL-009,Plant health,Azalea leaf inspection,done,2026-10-20,Molly Lindgren,no lace bug no leaf gall clean
TRL-010,Plant health,Companion planting (mondo grass) health,done,2026-10-20,Molly Lindgren,-
TRL-011,Plant health,Root zone moisture check,done,2026-10-22,Molly Lindgren,adequate no signs of stress
TRL-012,Bloom timing,Bud count assessment,done,2026-10-20,Sissy Monroe,dense buds set
TRL-013,Bloom timing,Estimated peak bloom window,done,2026-10-25,Sissy Monroe,Nov 5 through Nov 10 predicted
TRL-014,Bloom timing,Weather contingency for bloom,done,2026-10-27,Molly Lindgren,cold snap not forecast
TRL-015,Weed clearance,Front-of-bed weeding,done,2026-10-13,Molly Lindgren,-
TRL-016,Weed clearance,Back-of-bed weeding,done,2026-10-13,Molly Lindgren,-
TRL-017,Weed clearance,Walking-path adjacent weeds,done,2026-10-13,Molly Lindgren,-
TRL-018,Signage placement,Bed sign anchor points marked,done,2026-11-03,Molly Lindgren,-
TRL-019,Signage placement,Bed signs installed,done,2026-11-04,Molly Lindgren,-
TRL-020,Signage placement,Sponsor plaque anchor prepared,done,2026-11-04,Molly Lindgren,-
TRL-021,Walking-path clearance,Path swept and cleared,done,2026-10-27,Molly Lindgren,-
TRL-022,Walking-path clearance,Path lit for early morning,done,2026-10-30,Gladys Monroe,-
TRL-023,Walking-path clearance,Wheelchair accessibility check,done,2026-10-30,Gladys Monroe,ramp verified
TRL-024,Walking-path clearance,Trip hazards flagged,done,2026-11-03,Molly Lindgren,-
