charge_id,sponsor_id,sponsor_name,amount_usd,charge_date,status,description
ch_sp_2001,SP-001,Vidalia Family Dentistry,750.00,2026-10-08,succeeded,VGS 2026 Fall Tour sponsorship - Gold Bed
ch_sp_2002,SP-002,Ameris Bank Vidalia Branch,1500.00,2026-09-15,succeeded,VGS 2026 Fall Tour sponsorship - Platinum
ch_sp_2003,SP-003,Piggly Wiggly of Vidalia,500.00,2026-09-22,succeeded,VGS 2026 Fall Tour sponsorship - Silver Bed
ch_sp_2004,SP-004,Vidalia Onion Committee,2000.00,2026-09-05,succeeded,VGS 2026 Fall Tour sponsorship - Presenting
ch_sp_2005,SP-005,First State Bank of Vidalia,1000.00,2026-09-18,succeeded,VGS 2026 Fall Tour sponsorship - Gold
ch_sp_2006,SP-006,Sal's BBQ,250.00,2026-10-01,succeeded,VGS 2026 Fall Tour sponsorship - Bronze
ch_sp_2007,SP-007,Magnolia Café,250.00,2026-10-03,succeeded,VGS 2026 Fall Tour sponsorship - Bronze
ch_sp_2008,SP-008,Park Seed Co,500.00,2026-09-30,succeeded,VGS 2026 Fall Tour sponsorship - Silver Bed
ch_sp_2009,SP-009,Belk of Vidalia,500.00,2026-10-05,succeeded,VGS 2026 Fall Tour sponsorship - Silver Bed
ch_sp_2010,SP-010,Vidalia Heritage Farms,750.00,2026-10-07,succeeded,VGS 2026 Fall Tour sponsorship - Gold Bed
ch_sp_2011,SP-011,Toombs County Farm Bureau,1000.00,2026-09-25,succeeded,VGS 2026 Fall Tour sponsorship - Gold
ch_sp_2012,SP-013,State Farm - Nathan Fussell Agency,500.00,2026-10-11,succeeded,VGS 2026 Fall Tour sponsorship - Silver Bed
ch_sp_2013,SP-014,Vidalia Drug,250.00,2026-10-04,succeeded,VGS 2026 Fall Tour sponsorship - Bronze
ch_sp_2014,SP-015,Wooten Nursery & Landscape,750.00,2026-09-28,succeeded,VGS 2026 Fall Tour sponsorship - Gold Bed
ch_sp_2015,SP-016,Sasser Insurance Group,500.00,2026-10-02,succeeded,VGS 2026 Fall Tour sponsorship - Silver Bed
ch_sp_2016,SP-018,Grimsley Feed & Seed,400.00,2026-10-06,succeeded,VGS 2026 Fall Tour sponsorship - Bronze Plus
ch_sp_2017,SP-012,Peach State Heating & Air,,,pending,VGS 2026 Fall Tour sponsorship - Silver Bed - pledged not yet remitted
ch_sp_2018,SP-017,Vidalia Advance,,,in_kind,VGS 2026 Fall Tour sponsorship - in-kind ad space no cash charge
ch_sp_2019,SP-004,Vidalia Onion Committee,50.00,2026-09-09,refunded,VGS 2026 Fall Tour sponsorship - accidental double partial - refunded 2026-09-11
ch_sp_2020,SP-005,First State Bank of Vidalia,1000.00,2026-09-14,failed,VGS 2026 Fall Tour sponsorship - card_declined - reissued next day as ch_sp_2005
