task_id,section,task,owner,status,due_date,notes
ASN-001,Inventory,Weekly Piggly Wiggly pickup - Sat 8 AM,Deacon Ellsworth,recurring,2026-11-07,~180 lbs typical
ASN-002,Inventory,Second Harvest South GA delivery - Sat 9:30 AM,Deacon Ellsworth,recurring,2026-11-07,~340 lbs produce and dairy
ASN-003,Inventory,Sal's BBQ end-of-day donation - Sat 2 PM,Deacon Ellsworth,recurring,2026-11-07,Sal calls day-of
ASN-004,Inventory,Shelf-stable staples current count (rice beans canned goods),Sister Odessa,in_progress,2026-11-06,last count Oct 24 - need refresh
ASN-005,Inventory,Refrigerator temp check,Deacon Ellsworth,recurring,2026-11-07,-
ASN-006,Inventory,Freezer temp check,Deacon Ellsworth,recurring,2026-11-07,-
ASN-007,Pickup schedule,Piggly Wiggly back-dock arrival window,Deacon Ellsworth,confirmed,2026-11-07,7:45 to 8:15 AM
ASN-008,Pickup schedule,Second Harvest driver contact,Deacon Ellsworth,confirmed,2026-11-07,Ray Rewis (912) 260-4471
ASN-009,Pickup schedule,Sal BBQ pickup time,Sal Padgett,tentative,2026-11-07,between 1:30 and 2:15 PM
ASN-010,Delivery notes,Guest sign-in table setup,Sister Odessa,confirmed,2026-11-07,front table with prayer request box
ASN-011,Delivery notes,Household limit per guest,Deacon Ellsworth,standing,2026-11-07,one bag produce plus one bag staples
ASN-012,Delivery notes,New guest intake form,Sister Odessa,confirmed,2026-11-07,name and household size only
ASN-013,Volunteer sign-in,Sign-in sheet template printed,Sister Odessa,done,2026-11-06,12 slots
ASN-014,Volunteer sign-in,Volunteer count expected Nov 7,Molly Lindgren,partial,2026-11-06,5 confirmed 2 tentative
ASN-015,Volunteer sign-in,First-aid contact reminder,Sister Odessa,standing,2026-11-07,Deacon Ellsworth CPR-certified
ASN-016,Closing checklist,Cash box lock,Deacon Ellsworth,standing,2026-11-07,-
ASN-017,Closing checklist,Refrigerator temp log,Deacon Ellsworth,standing,2026-11-07,-
ASN-018,Closing checklist,Trash to dumpster,Deacon Ellsworth,standing,2026-11-07,-
ASN-019,Closing checklist,Doors and lights,Deacon Ellsworth,standing,2026-11-07,-
ASN-020,Closing checklist,Deposit slip prepared,Sister Odessa,standing,2026-11-07,-
ASN-021,Reporting,Weekly count of guests served,Sister Odessa,recurring,2026-11-07,-
ASN-022,Reporting,Weekly weight of food distributed,Sister Odessa,recurring,2026-11-07,-
ASN-023,Reporting,Deaconess board summary,Molly Lindgren,pending,2026-11-08,for Nov 18 board meeting
ASN-024,Contingencies,Backup volunteer list,Sister Odessa,standing,2026-11-07,Lorraine Dixon Beverly Byrd
ASN-025,Contingencies,Weather closure protocol,Pastor Whitfield,standing,2026-11-07,pantry runs unless severe
ASN-026,Contingencies,Overflow inventory storage,Deacon Ellsworth,standing,2026-11-07,fellowship hall closet
ASN-027,Nov 7 specific,Molly out (Fall Tour) - swap check,Molly Lindgren,pending,2026-11-04,see Gmail thread 34 from Lorraine
ASN-028,Nov 7 specific,Molly return to pantry after tour closes,Molly Lindgren,pending,2026-11-06,tour ends 1 PM pantry closes 12 PM - conflict
ASN-029,Nov 7 specific,Pantry inventory ready for whoever runs the floor,Sister Odessa,pending,2026-11-06,-
ASN-030,Nov 7 specific,Draft note to Pastor Whitfield on Molly's status,Molly Lindgren,pending,2026-11-04,draft only
