Author	Title	Year	Source Type	Call Number or ID	Notes
Beardsley, John	Gee's Bend: The Architecture of the Quilt	2006	Book	NK9112 .B43 2006	Core source on the Alabama quilting community, improvisational design
Eaton, Allen H.	Handicrafts of the Southern Highlands	1937	Book	TT23 .E2	Foundational survey of Appalachian craft and weaving traditions
Burnham, Dorothy K.	Keep Me Warm One Night: Early Handweaving in North America	1972	Book	NK8912 .B87	Coverlet and loom weaving patterns, useful for the loom section
Hedges, Elaine	Hearts and Hands: Women, Quilts, and American Society	1987	Book	NK9112 .H43	Gender and labor angle for the paper argument
Metcalf, Eugene W.	The Politics of the Past in American Craft	1993	Journal Article	Winterthur Portfolio 28(1)	Cited for the heritage and commodification debate
Smithsonian Folklife	Southern Quilting Traditions Oral History Collection	2014	Archive	SI-FOLK-2014-QLT	Primary interview transcripts, quoted in body section two
Wadsworth, Anna	Missing Pieces: Georgia Folk Art 1770-1976	1976	Exhibition Catalog	N6530.G4 W3	Georgia textile makers, ties to her own Atlanta background
Cerny, Catherine	Quilt Studies and the Material Culture Method	1991	Journal Article	Clothing and Textiles Research Journal 9(3)	Methods source for object analysis
Adamson, Glenn	Thinking Through Craft	2007	Book	NK1135 .A33 2007	Theory chapter framing craft versus art
Freeman, Roland L.	A Communion of the Spirits: African American Quilters	1996	Book	NK9112 .F74	Key source on African American quilting lineage
MacDowell, Marsha	To Honor and Comfort: Native Quilting Traditions	1997	Book	E98.A7 M33	Comparative chapter, Native and craft community overlap
Whitfield, Clara	The Glass Forest	2022	Novel	PS3623 .H58 G53	Assigned course reading, used for the framing epigraph
