Date	Description	Category	Amount (USD)	Running Balance
2026-10-01	Beginning balance	Balance		631.31
2026-10-01	Zelle transfer from Kwame Pfeiffer, monthly support	Income	+700.00	1331.31
2026-10-02	Greenway Residential LLC, rent	Housing	-575.00	756.31
2026-10-03	Kroger #412 Nashville	Groceries	-62.40	693.91
2026-10-05	WeGo Transit student pass	Transport	-40.00	653.91
2026-10-07	Spotify USA	Subscriptions	-5.99	647.92
2026-10-08	Crunchyroll	Subscriptions	-7.99	639.93
2026-10-09	CSU Payroll direct deposit	Income	+286.50	926.43
2026-10-09	Walgreens #6521	Health	-34.80	891.63
2026-10-11	Hattie B's Hot Chicken	Dining	-13.25	878.38
2026-10-12	Amazon.com	Shopping	-28.60	849.78
2026-10-14	Kroger #412 Nashville	Groceries	-58.10	791.68
2026-10-15	Hulu	Subscriptions	-1.99	789.69
2026-10-16	Apple iCloud	Subscriptions	-0.99	788.70
2026-10-17	Taco Mamacita	Dining	-14.50	774.20
2026-10-18	Venmo from Destiny Carter, utilities share	Reimbursement	+40.00	814.20
2026-10-20	Frothy Monkey Coffee	Dining	-5.25	808.95
2026-10-20	Etsy	Shopping	-22.00	786.95
2026-10-21	Uber Trip	Transport	-11.40	775.55
2026-10-22	CSU Payroll direct deposit	Income	+286.50	1062.05
2026-10-22	Nashville Electric Service	Utilities	-80.00	982.05
2026-10-24	Kroger #412 Nashville	Groceries	-61.30	920.75
2026-10-27	CSU Campus Laundry	Laundry	-20.00	900.75
2026-10-28	DoorDash	Groceries	-18.75	882.00
2026-10-29	H&M Nashville	Shopping	-42.00	840.00
