Track	Title	Artist	Album	Duration	Date Added
1	Motion Sickness	Phoebe Bridgers	Stranger in the Alps	3:58	2026-10-02
2	Snooze	SZA	SOS	3:21	2026-10-02
3	Cherry Wine	Hozier	Hozier	4:01	2026-10-04
4	Light On	Maggie Rogers	Heard It in a Past Life	3:49	2026-10-04
5	Kyoto	Phoebe Bridgers	Punisher	3:04	2026-10-09
6	Good Days	SZA	Good Days	4:39	2026-10-09
7	Work Song	Hozier	Hozier	3:41	2026-10-12
8	Alaska	Maggie Rogers	Now That the Light Is Fading	3:39	2026-10-14
9	Garden Song	Phoebe Bridgers	Punisher	3:32	2026-10-18
10	The Weekend	SZA	Ctrl	4:32	2026-10-20
11	Take Me to Church	Hozier	Hozier	4:02	2026-10-22
12	Back in My Body	Maggie Rogers	Heard It in a Past Life	4:18	2026-10-26
