place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
place_rimrock_clinic,Rimrock Valley Veterinary Clinic,"1840 SW Quarry Ave, Redmond OR 97756",44.2701,-121.1838,4.8,87,veterinary_care;point_of_interest;establishment,OPERATIONAL,2
place_madras_grounds,Madras Sage Rodeo Grounds,"1280 SE Fairgrounds Loop, Madras OR 97741",44.6325,-121.1232,4.6,142,stadium;point_of_interest;establishment,OPERATIONAL,0
place_henderson_ranch,Henderson Ranch,"21450 NW Henderson Loop Rd, Terrebonne OR 97760",44.3601,-121.2089,0,0,premise;point_of_interest,OPERATIONAL,0
place_midori_home,Tumalo property,"65880 OB Riley Rd, Tumalo OR 97701",44.1518,-121.3284,0,0,premise,OPERATIONAL,0
place_summit_path,Summit Path Recovery,"1410 Oregon Ave, Klamath Falls OR 97601",42.2167,-121.7811,4.4,23,health;point_of_interest;establishment,OPERATIONAL,2
place_madras_cafe,Madras Country Cafe,"275 SW 6th St, Madras OR 97741",44.6342,-121.1289,4.5,312,restaurant;food;point_of_interest;establishment,OPERATIONAL,1
place_bend_endo,Bend Endocrinology Associates,"2275 NE Doctors Dr, Bend OR 97701",44.0606,-121.295,4.7,56,doctor;health;point_of_interest;establishment,OPERATIONAL,2
place_kelley_ranch,Kelley family ranch,"23110 Pinehurst Rd, Bend OR 97703",44.0832,-121.3411,0,0,premise,OPERATIONAL,0
place_tumalo_jct,Tumalo Junction (US-20/OB Riley),"OB Riley Rd & US-20, Tumalo OR 97701",44.1622,-121.3206,0,0,route;point_of_interest,OPERATIONAL,0
place_us97_terrebonne,US-97 N / Terrebonne Wayside,"US-97 N, Terrebonne OR 97760",44.3514,-121.1808,0,0,route;point_of_interest,OPERATIONAL,0
place_culver_jct,Culver Highway Junction,"US-97 & Culver Hwy, Culver OR 97734",44.5226,-121.2133,0,0,route;point_of_interest,OPERATIONAL,0
place_madras_fairgrounds_lot,Madras Sage Grounds Trailer Lot,"1280 SE Fairgrounds Loop, Madras OR 97741",44.6318,-121.1240,4.3,18,parking;point_of_interest,OPERATIONAL,0
place_redmond_arena,Redmond Harvest Showdown Arena,"3800 SW Airport Way, Redmond OR 97756",44.2541,-121.1496,4.6,98,stadium;point_of_interest;establishment,OPERATIONAL,0
place_lapine_arena,La Pine Fall Series Arena,"51420 Hwy 97, La Pine OR 97739",43.6701,-121.5031,4.2,41,stadium;point_of_interest;establishment,OPERATIONAL,0
place_fuel_terrebonne,Terrebonne Chevron (fuel stop),"8120 N Hwy 97, Terrebonne OR 97760",44.3522,-121.1811,4.1,67,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_zoetis_distributor,Zoetis Distribution Center,"1209 Orchard St, Olathe KS 66061",38.8814,-94.8191,4.0,12,storage;point_of_interest,OPERATIONAL,0
place_auto_0001,Terrebonne Feed & Ranch Supply,"9361 SE Ave, Terrebonne OR 97701",43.7133,-121.2576,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0002,Sisters Trailer Lot,"7338 NE Loop, Sisters OR 97756",44.1662,-121.2442,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0003,Madras Feed & Ranch Supply,"6101 NW Ave, Madras OR 97734",43.9627,-120.9816,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0004,Redmond Chevron (fuel stop),"4574 SE Loop, Redmond OR 97741",43.4696,-121.5164,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0005,Prineville Trailer Lot,"5258 NE Loop, Prineville OR 97756",43.4476,-121.0636,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0006,Mitchell Feed & Ranch Supply,"8840 NW Loop, Mitchell OR 97741",44.4197,-121.5777,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0007,Three Rodeo Grounds,"9724 SW Rd, Tumalo OR 97741",43.8562,-121.2106,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0008,Tack & Saddle — Culver,"9380 SW Loop, Culver OR 97701",43.5423,-121.2596,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0009,Redmond Chevron (fuel stop),"8519 NE Hwy, Redmond OR 97701",43.8949,-121.2815,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0010,Juniper Ranch,"2914 SE Rd, Terrebonne OR 97734",43.4743,-121.5302,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0011,Mitchell Trailer Lot,"795 NW Loop, Mitchell OR 97701",44.0532,-121.535,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0012,Culver Veterinary Supply,"7746 NW Rd, Culver OR 97756",43.7911,-121.3061,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0013,Prineville Feed & Ranch Supply,"699 NE Ave, Prineville OR 97701",43.729,-121.2402,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0014,Redmond Veterinary Supply,"9569 NW Rd, Redmond OR 97734",43.9177,-121.055,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0015,Tumalo Feed & Ranch Supply,"1974 NE Hwy, Tumalo OR 97701",44.5072,-121.0051,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0016,Redmond Trailer Lot,"9466 SE Ave, Redmond OR 97756",44.1316,-121.0446,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0017,La Pine Chevron (fuel stop),"8272 NW Rd, La Pine OR 97754",44.0736,-121.5675,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0018,Sanders Ranch,"7531 NW Loop, Powell Butte OR 97756",44.4317,-121.4163,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0019,Sisters Veterinary Supply,"1306 NW Rd, Sisters OR 97756",43.5681,-121.6692,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0020,Brothers Feed & Ranch Supply,"9007 NW Hwy, Brothers OR 97701",43.612,-121.5973,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0021,Big Rodeo Grounds,"6870 SW Hwy, Redmond OR 97754",43.4243,-121.2857,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0022,Delta Rodeo Grounds,"5090 SE Rd, Culver OR 97756",44.4301,-120.9051,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0023,Pine Rodeo Grounds,"3386 NE Hwy, Klamath Falls OR 97734",43.5266,-121.5005,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0024,Tack & Saddle — La Pine,"298 NW Hwy, La Pine OR 97734",44.5144,-120.9083,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0025,High Ranch,"988 NW Hwy, La Pine OR 97754",44.0535,-121.451,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0026,Bear Ranch,"181 SW Rd, Mitchell OR 97741",43.5438,-121.033,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0027,Powell Butte Feed & Ranch Supply,"6160 SW Ave, Powell Butte OR 97701",44.186,-121.687,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0028,Madras Feed & Ranch Supply,"3048 SW Rd, Madras OR 97701",44.3818,-121.494,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0029,Klamath Falls Chevron (fuel stop),"6917 SE Loop, Klamath Falls OR 97701",44.5005,-121.4221,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0030,Tack & Saddle — Bend,"4522 NE Hwy, Bend OR 97741",43.4484,-121.0803,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0031,Crooked Ranch,"1969 SE Hwy, Klamath Falls OR 97734",43.5143,-121.562,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0032,Bend Veterinary Supply,"9489 SE Ave, Bend OR 97756",44.3869,-121.2996,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0033,Sisters Trailer Lot,"4060 SW Hwy, Sisters OR 97734",44.4309,-121.2285,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0034,Watson Rodeo Grounds,"340 NE Loop, Tumalo OR 97701",43.8692,-121.2517,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0035,Tack & Saddle — Bend,"3968 SE Ave, Bend OR 97701",44.1314,-121.0474,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0036,Powell Butte Feed & Ranch Supply,"2785 SW Rd, Powell Butte OR 97741",44.4103,-120.9842,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0037,Juniper Rodeo Grounds,"2666 SE Hwy, Prineville OR 97741",44.1934,-120.915,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0038,Brothers Trailer Lot,"6821 SW Ave, Brothers OR 97734",44.6353,-121.6243,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0039,Tack & Saddle — Prineville,"4649 SE Rd, Prineville OR 97734",44.3065,-121.0827,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0040,Mitchell Veterinary Supply,"6996 SE Hwy, Mitchell OR 97756",44.3989,-121.371,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0041,Watson Rodeo Grounds,"9723 SE Ave, La Pine OR 97756",44.1251,-121.0031,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0042,Tack & Saddle — Brothers,"1896 SE Ave, Brothers OR 97734",44.6058,-121.1738,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0043,Klamath Falls Chevron (fuel stop),"7851 SE Loop, Klamath Falls OR 97756",43.6635,-121.6077,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0044,La Pine Veterinary Supply,"5830 NW Ave, La Pine OR 97701",44.2011,-121.1535,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0045,Tumalo Trailer Lot,"6896 NW Rd, Tumalo OR 97754",44.5057,-121.4002,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0046,La Pine Feed & Ranch Supply,"819 SE Rd, La Pine OR 97734",44.4088,-121.596,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0047,Madras Veterinary Supply,"7392 SW Loop, Madras OR 97754",43.4825,-120.9309,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0048,Brothers Veterinary Supply,"6152 SW Hwy, Brothers OR 97741",43.4359,-120.9134,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0049,Bend Feed & Ranch Supply,"8677 SW Loop, Bend OR 97741",44.4638,-121.2062,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0050,Bend Veterinary Supply,"4103 SW Rd, Bend OR 97754",43.7758,-121.6173,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0051,Sisters Trailer Lot,"9737 NE Rd, Sisters OR 97754",43.8424,-121.0104,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0052,Holbrook Ranch,"1926 SE Rd, Redmond OR 97734",44.5687,-121.2814,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0053,Three Ranch,"1296 SW Ave, Bend OR 97734",44.3744,-121.5995,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0054,Powell Butte Chevron (fuel stop),"8111 SE Hwy, Powell Butte OR 97741",43.7645,-121.4062,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0055,Redmond Trailer Lot,"1847 SE Ave, Redmond OR 97734",44.3291,-121.6467,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0056,Mitchell Feed & Ranch Supply,"765 NW Hwy, Mitchell OR 97756",44.3841,-121.1511,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0057,Big Ranch,"421 SW Hwy, Redmond OR 97734",43.748,-120.9682,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0058,Sisters Veterinary Supply,"9693 NW Rd, Sisters OR 97701",43.6772,-120.9568,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0059,Tack & Saddle — Redmond,"7258 SW Rd, Redmond OR 97741",43.8637,-121.3808,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0060,Bear Ranch,"9197 NW Loop, La Pine OR 97756",43.4767,-121.0444,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0061,Prineville Trailer Lot,"2361 SW Rd, Prineville OR 97756",44.5453,-121.5922,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0062,Tack & Saddle — Prineville,"2584 NW Ave, Prineville OR 97734",43.6712,-121.5894,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0063,Tack & Saddle — Prineville,"9857 SE Ave, Prineville OR 97734",44.0705,-121.6826,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0064,Klamath Falls Trailer Lot,"8998 SE Hwy, Klamath Falls OR 97754",44.1681,-121.2736,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0065,Sisters Trailer Lot,"1990 SW Rd, Sisters OR 97701",43.685,-121.2128,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0066,Terrebonne Veterinary Supply,"3970 NE Loop, Terrebonne OR 97741",44.4103,-121.5686,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0067,Three Ranch,"6401 SE Loop, Sisters OR 97701",44.1211,-120.9292,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0068,Three Rodeo Grounds,"3322 SE Loop, Sisters OR 97734",44.2138,-121.1169,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0069,Henderson Rodeo Grounds,"7217 SW Rd, Madras OR 97754",44.5322,-121.0727,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0070,Redmond Veterinary Supply,"7021 NE Loop, Redmond OR 97754",43.7969,-121.3533,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0071,Henderson Ranch,"2176 NW Ave, Prineville OR 97756",44.3944,-121.4759,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0072,Tack & Saddle — Sisters,"4227 NE Ave, Sisters OR 97734",43.7514,-121.3834,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0073,Big Rodeo Grounds,"1238 SE Ave, Bend OR 97701",44.3935,-121.5464,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0074,Watson Ranch,"5976 SE Loop, Klamath Falls OR 97754",44.411,-121.1914,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0075,Tack & Saddle — Brothers,"4021 NE Loop, Brothers OR 97734",44.4222,-121.1042,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0076,Delta Rodeo Grounds,"2632 SE Ave, Mitchell OR 97734",44.1094,-121.3935,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0077,Tumalo Veterinary Supply,"6346 NW Rd, Tumalo OR 97756",43.7638,-121.551,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0078,Sage Rodeo Grounds,"9077 SW Ave, Terrebonne OR 97701",44.691,-121.1388,4.5,59,stadium;point_of_interest;establishment,OPERATIONAL,0
place_auto_0079,Redmond Trailer Lot,"9515 SE Rd, Redmond OR 97701",44.5234,-120.9233,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0080,Brothers Chevron (fuel stop),"7213 NE Hwy, Brothers OR 97701",44.4285,-121.0303,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0081,Klamath Falls Veterinary Supply,"3018 NW Loop, Klamath Falls OR 97756",44.559,-121.3548,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0082,Painted Ranch,"3477 NW Hwy, Culver OR 97741",43.8181,-121.0811,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0083,Madras Chevron (fuel stop),"906 SE Ave, Madras OR 97701",44.2681,-121.5241,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0084,Tack & Saddle — Sisters,"8315 NE Ave, Sisters OR 97741",43.62,-121.3111,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0085,Bend Chevron (fuel stop),"8757 SW Hwy, Bend OR 97734",44.232,-121.3203,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0086,Bend Feed & Ranch Supply,"4055 SE Rd, Bend OR 97741",44.2953,-121.2802,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0087,Prineville Veterinary Supply,"3361 SW Rd, Prineville OR 97734",44.2831,-121.4815,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0088,Madras Chevron (fuel stop),"3797 SE Ave, Madras OR 97756",44.2555,-121.5289,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0089,Sisters Veterinary Supply,"7825 SW Ave, Sisters OR 97754",43.4119,-121.1345,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0090,Tumalo Veterinary Supply,"3698 SE Hwy, Tumalo OR 97734",43.5174,-121.1618,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0091,Powell Butte Chevron (fuel stop),"1023 NW Rd, Powell Butte OR 97701",43.8664,-121.3788,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0092,La Pine Chevron (fuel stop),"5775 SW Ave, La Pine OR 97741",43.8758,-121.2958,4.1,76,gas_station;point_of_interest;establishment,OPERATIONAL,1
place_auto_0093,Prineville Trailer Lot,"4386 NW Hwy, Prineville OR 97741",44.1773,-121.0684,4.2,26,parking;point_of_interest,OPERATIONAL,0
place_auto_0094,Juniper Ranch,"7523 NE Hwy, La Pine OR 97756",44.2227,-121.1907,0,0,premise;point_of_interest,OPERATIONAL,0
place_auto_0095,Tack & Saddle — Madras,"6148 NW Hwy, Madras OR 97734",43.8305,-121.0891,4.6,58,store;point_of_interest;establishment,OPERATIONAL,2
place_auto_0096,Prineville Feed & Ranch Supply,"7890 SE Loop, Prineville OR 97741",44.3986,-121.4683,4.4,105,store;point_of_interest;establishment,OPERATIONAL,1
place_auto_0097,Klamath Falls Veterinary Supply,"8427 SE Hwy, Klamath Falls OR 97741",44.3715,-121.4127,4.3,11,store;point_of_interest;establishment,OPERATIONAL,2
