alias,title,parent
newamerican,American (New),restaurants
tradamerican,American (Traditional),restaurants
seafood,Seafood,restaurants
steak,Steakhouses,restaurants
southern,Southern,restaurants
cajun,Cajun/Creole,restaurants
italian,Italian,restaurants
pizza,Pizza,restaurants
mexican,Mexican,restaurants
japanese,Japanese,restaurants
chinese,Chinese,restaurants
korean,Korean,restaurants
vietnamese,Vietnamese,restaurants
thai,Thai,restaurants
mediterranean,Mediterranean,restaurants
middleeastern,Middle Eastern,restaurants
french,French,restaurants
delis,Delis,restaurants
sandwiches,Sandwiches,restaurants
salad,Salad,restaurants
vegan,Vegan,restaurants
vegetarian,Vegetarian,restaurants
coffee,Coffee & Tea,food
bars,Bars,food
breweries,Breweries,food
wine_bars,Wine Bars,food
cocktailbars,Cocktail Bars,food
sportsbars,Sports Bars,food
divebars,Dive Bars,food
pubs,Pubs,food
musicvenues,Music Venues,nightlife
performingarts,Performing Arts,nightlife
movietheaters,Movie Theaters,nightlife
museums,Museums,arts
artgalleries,Art Galleries,arts
bookstores,Bookstores,arts
musicshops,Music Stores,shopping
sportsgoods,Sporting Goods,shopping
homeandgarden,Home & Garden,shopping
hardware,Hardware Stores,shopping
furniture,Furniture Stores,shopping
discountstore,Discount Store,shopping
grocery,Grocery,shopping
healthmarkets,Health Markets,shopping
farmersmarket,Farmers Market,shopping
convenience,Convenience Stores,shopping
bbq,Bbq,restaurants
burgers,Burgers,restaurants
diners,Diners,restaurants
comfortfood,Comfortfood,restaurants
gastropubs,Gastropubs,restaurants
tapasmallplates,Tapasmallplates,restaurants
wineandspirits,Wineandspirits,localservices
fondue,Fondue,restaurants
buffets,Buffets,restaurants
hair,Hair,beautysvc
spas,Spas,beautysvc
gyms,Gyms,beautysvc
hospitals,Hospitals,health
doctors,Doctors,health
dentists,Dentists,health
autorepair,Autorepair,homeservices
poolcleaners,Poolcleaners,homeservices
homecleaning,Homecleaning,homeservices
juicebars,Juicebars,food
desserts,Desserts,restaurants
icecream,Icecream,restaurants
bakeries,Bakeries,restaurants
cafes,Cafes,restaurants
tea,Tea,food
beer_and_wine,Beer And Wine,food
restaurants,Restaurants,root
food,Food,root
nightlife,Nightlife,root
arts,Arts,root
shopping,Shopping,root
beautysvc,Beautysvc,root
health,Health,root
homeservices,Homeservices,root
professional,Professional,localservices
automotive,Automotive,localservices
pets,Pets,localservices
financialservices,Financialservices,localservices
realestate,Realestate,localservices
education,Education,localservices
religiousorgs,Religiousorgs,localservices
massmedia,Massmedia,localservices
publicservicesgovt,Publicservicesgovt,localservices
localservices,Localservices,localservices
localflavor,Localflavor,localservices
activelife,Activelife,localservices
eventservices,Eventservices,localservices
hotelstravel,Hotelstravel,localservices
tours,Tours,localservices
markets,Markets,localservices
tobaccoshops,Tobaccoshops,localservices
flowers,Flowers,shopping
photographers,Photographers,homeservices
wedding,Wedding,localservices
partysupplies,Partysupplies,shopping
giftshops,Giftshops,shopping
sportsclubs,Sports Clubs,localservices
swimmingpools,Swimmingpools,beautysvc
vinylrecords,Vinylrecords,localservices
landmarks,American (New),restaurants
realestateagents,American (Traditional),restaurants
apartments,Seafood,restaurants
lawyers,Steakhouses,restaurants
accountants,Southern,restaurants
banks,Cajun/Creole,restaurants
creditunions,Italian,restaurants
insurance,Pizza,restaurants
lifecoach,Mexican,restaurants
massage,Japanese,restaurants
manicures,Chinese,restaurants
