id,name,rating,price,category,category_title,latitude,longitude,city,state,address,phone,review_count,is_closed,image_url
biz-0000,Metro Diner Jacksonville,4.6,$,newamerican,American (New),27.1512,-77.9961,Orlando,FL,2622 Beach Blvd,(904) 321-9153,181,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0000/o.jpg
biz-0001,Casa Marina Hotel,4.7,$$,tradamerican,American (Traditional),27.4788,-75.7709,Jacksonville,FL,8265 Atlantic Blvd,(904) 356-3344,329,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0001/o.jpg
biz-0002,The Palms Fish Camp,1.6,$,seafood,Seafood,31.126,-79.5946,Miami,FL,4881 Riverside Ave,(904) 389-4804,320,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0002/o.jpg
biz-0003,Riverside Arts Market,3.8,$,steak,Steakhouses,29.5942,-80.6324,Jacksonville,FL,8437 San Jose Blvd,(904) 396-5506,109,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0003/o.jpg
biz-0004,Bold Bean Coffee,2.4,$,southern,Southern,33.6006,-80.7951,Jacksonville,FL,4579 Southside Blvd,(904) 398-5161,171,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0004/o.jpg
biz-0005,Southern Grounds & Co,4.1,$$$,cajun,Cajun/Creole,27.6981,-75.4228,Orlando,FL,6907 Baymeadows Rd,(904) 433-8529,380,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0005/o.jpg
biz-0006,Community Loaves Bakery,1.4,$,italian,Italian,27.657,-76.4352,Miami,FL,8005 JTB Pkwy,(904) 645-5183,75,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0006/o.jpg
biz-0007,Black Sheep Restaurant,1.9,$$$$,pizza,Pizza,26.584,-76.5584,Orlando,FL,7836 Philips Hwy,(904) 722-1153,13,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0007/o.jpg
biz-0008,The Bearded Pig,4.3,$$,mexican,Mexican,32.2122,-81.0951,Miami,FL,4093 Emerson St,(904) 724-8622,31,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0008/o.jpg
biz-0009,Angie's Subs,2.8,$$,japanese,Japanese,30.0712,-84.5969,Orlando,FL,7583 Kernan Blvd,(904) 739-5712,369,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0009/o.jpg
biz-0010,Beach Diner,1.4,$,chinese,Chinese,32.7583,-80.8231,Miami,FL,9131 Old St Augustine Rd,(904) 745-9955,491,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0010/o.jpg
biz-0011,Mandarin Ale House,2.5,$$,korean,Korean,26.5186,-83.0097,Miami,FL,2469 Blanding Blvd,(904) 778-3588,221,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0011/o.jpg
biz-0012,Sweet Pete's Candy,1.5,$$$$,vietnamese,Vietnamese,28.4501,-76.2931,Jacksonville,FL,6384 Roosevelt Blvd,(904) 798-2210,337,False,https://s3-media4.fl.yelpcdn.com/bphoto/biz-0012/o.jpg
