date,window,level,room,instructor,focus,capacity
2026-12-02,15:00-19:30,Levels 3-5,Studio B,Kim Russell,Winter Showcase block rehearsal,18
2026-12-04,15:00-19:30,Levels 1-2,Studio A,Marina Katz,Barre and center technique,16
2026-12-09,15:00-19:30,Pre-professional,Studio B,Kim Russell,Variations and pointe polish,12
2026-12-01,15:00-16:00,Pre-primary,Studio A,Marina Katz,Creative movement and musicality,10
2026-12-01,16:00-17:15,Levels 1-2,Studio A,Galina Reznik,Barre fundamentals,16
2026-12-01,17:15-18:30,Levels 3-5,Studio B,Kim Russell,Center adagio and turns,18
2026-12-01,18:30-19:30,Pre-professional,Studio B,Kim Russell,Pointe and showcase variations,12
2026-12-02,15:00-16:00,Pre-primary,Studio A,Marina Katz,Creative movement and musicality,10
2026-12-02,16:00-17:15,Levels 1-2,Studio A,Galina Reznik,Barre fundamentals,16
2026-12-02,18:30-19:30,Pre-professional,Studio B,Kim Russell,Showcase run-through,12
2026-12-03,15:00-16:15,Levels 1-2,Studio A,Galina Reznik,Petit allegro,16
2026-12-03,16:15-17:30,Levels 3-5,Studio B,Kim Russell,Grand allegro and choreography,18
2026-12-03,17:30-19:00,Pre-professional,Studio B,Tomas Vasquez,Partnering and pas de deux,10
2026-12-03,19:00-19:30,Pre-professional,Studio B,Kim Russell,Cool down and notes,12
2026-12-04,16:00-17:15,Levels 3-5,Studio B,Kim Russell,Showcase choreography,18
2026-12-04,17:15-18:30,Pre-professional,Studio B,Tomas Vasquez,Pas de deux,10
2026-12-04,18:30-19:30,Levels 3-5,Studio A,Galina Reznik,Stretch and conditioning,18
2026-12-07,15:00-16:00,Pre-primary,Studio A,Marina Katz,Creative movement and musicality,10
2026-12-07,16:00-17:15,Levels 1-2,Studio A,Galina Reznik,Barre fundamentals,16
2026-12-07,17:15-18:30,Levels 3-5,Studio B,Kim Russell,Center and turns,18
2026-12-07,18:30-19:30,Pre-professional,Studio B,Kim Russell,Variations,12
2026-12-08,15:00-16:15,Levels 1-2,Studio A,Galina Reznik,Barre and center,16
2026-12-08,16:15-17:30,Levels 3-5,Studio B,Kim Russell,Showcase block rehearsal,18
2026-12-08,17:30-19:30,Pre-professional,Studio B,Kim Russell,Full variations run,12
2026-12-09,15:00-16:00,Pre-primary,Studio A,Marina Katz,Creative movement and musicality,10
2026-12-09,16:00-17:15,Levels 1-2,Studio A,Galina Reznik,Petit allegro,16
2026-12-09,17:15-18:30,Levels 3-5,Studio A,Galina Reznik,Choreography clean,18
2026-12-10,15:00-16:15,Levels 1-2,Studio A,Galina Reznik,Barre fundamentals,16
2026-12-10,16:15-17:30,Levels 3-5,Studio B,Kim Russell,Showcase run-through,18
2026-12-10,17:30-19:00,Pre-professional,Studio B,Tomas Vasquez,Partnering,10
2026-12-10,19:00-19:30,Pre-professional,Studio B,Kim Russell,Notes and casting,12
2026-12-11,15:00-16:15,Levels 1-2,Studio A,Galina Reznik,Center technique,16
2026-12-11,16:15-17:45,Levels 3-5,Studio B,Kim Russell,Dress rehearsal prep,18
2026-12-11,17:45-19:30,Pre-professional,Studio B,Kim Russell,Final variations polish,12
