hold_id,source,date,start_local,end_local,label,placed_by,placed_on,cleared,notes
HOLD-2026-0417,studio_calendar,2026-12-01,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0418,studio_calendar,2026-12-02,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0419,studio_calendar,2026-12-03,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0420,studio_calendar,2026-12-04,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0611,studio_calendar,2026-12-05,08:00,10:30,Bakery production block,kim.russell,2026-09-01,false,pre showcase morning bake
HOLD-2026-0612,studio_calendar,2026-12-05,13:00,15:00,Cafe Nostalgia delivery buffer,kim.russell,2026-09-08,false,"placed before rehearsal was locked, never cleared"
HOLD-2026-0613,studio_calendar,2026-12-05,16:00,18:00,Personal recovery block,kim.russell,2026-09-08,false,after community center load out
HOLD-2026-0651,studio_calendar,2026-12-06,11:00,13:00,Sunday lunch with mom,kim.russell,2026-01-15,false,recurring standing block
HOLD-2026-0652,studio_calendar,2026-12-06,15:00,15:30,Della weekly call,kim.russell,2026-01-15,false,phone only recurring
HOLD-2026-0701,studio_calendar,2026-12-07,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0702,studio_calendar,2026-12-09,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0703,studio_calendar,2026-12-11,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0704,studio_calendar,2026-11-30,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0705,studio_calendar,2026-12-02,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0706,studio_calendar,2026-12-04,04:00,11:00,Bakery production morning,kim.russell,2026-08-15,false,standing production morning
HOLD-2026-0710,studio_calendar,2026-12-08,09:00,10:30,PT with Elena,kim.russell,2026-10-12,false,standing PT slot original
HOLD-2026-0711,studio_calendar,2026-12-10,09:30,11:00,PT with Elena,kim.russell,2026-11-19,false,moved from Tue by Elena
HOLD-2026-0720,studio_calendar,2026-12-10,05:30,08:30,Custom cake finish for pickup,kim.russell,2026-10-30,false,tied to Adams order KIRUS-2026-1122
HOLD-2026-0730,studio_calendar,2026-11-29,09:00,15:00,Holiday pre order intake open,kim.russell,2026-10-01,false,opens Typeform intake
HOLD-2026-0740,studio_calendar,2026-12-12,08:45,18:00,Winter Showcase performance,kim.russell,2026-10-22,false,performance day
HOLD-2026-0741,studio_calendar,2026-12-13,10:00,12:00,Load return community center,kim.russell,2026-10-22,false,post show storage
HOLD-2026-0421,studio_calendar,2026-12-07,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0422,studio_calendar,2026-12-08,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0423,studio_calendar,2026-12-09,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0424,studio_calendar,2026-12-10,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0425,studio_calendar,2026-12-11,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0426,studio_calendar,2026-12-01,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0427,studio_calendar,2026-12-03,15:00,19:30,Standing academy classes,kim.russell,2026-08-15,false,recurring weekday block
HOLD-2026-0752,studio_calendar,2026-12-13,11:00,13:00,Sunday lunch with mom,kim.russell,2026-01-15,false,recurring standing block
HOLD-2026-0753,studio_calendar,2026-12-13,15:00,15:30,Della weekly call,kim.russell,2026-01-15,false,phone only recurring
HOLD-2026-0760,studio_calendar,2026-12-03,12:00,14:00,Recovery block shoulder and knee,kim.russell,2026-10-30,false,Elena recommended rest window
HOLD-2026-0761,studio_calendar,2026-12-12,08:45,18:00,Winter Showcase performance day,kim.russell,2026-10-22,false,duplicate reference of performance hold
HOLD-2026-0770,studio_calendar,2026-12-11,05:30,08:00,Custom cake finishing block,kim.russell,2026-11-20,false,Dec 11 pickup batch finish
HOLD-2026-0771,studio_calendar,2026-12-12,05:00,08:30,Custom cake finishing block,kim.russell,2026-11-20,false,Dec 12 Kwanzaa and Yule log finish
HOLD-2026-0780,studio_calendar,2026-11-29,15:00,17:00,Holiday intake review,kim.russell,2026-10-01,false,triage Typeform submissions
HOLD-2026-0790,studio_calendar,2026-12-08,09:00,10:30,PT with Elena confirmed,kim.russell,2026-11-19,false,standing Tuesday slot kept
HOLD-2026-0801,studio_calendar,2026-12-06,18:00,19:00,Marcus CPA packet prep,kim.russell,2026-11-25,false,pull QuickBooks November close
HOLD-2026-0802,studio_calendar,2026-12-13,14:00,16:00,Reserve and books review,kim.russell,2026-11-25,false,reconcile to QuickBooks not planning page

