order_id,cafe,contact_email,delivery_date,window_start,window_end,item,qty,unit_price,subtotal,notes
WHL-2026-1130-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-30,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1130-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-30,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1130-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-30,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1130-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-11-30,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1130-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-30,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1130-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-30,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1130-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-11-30,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
WHL-2026-1130-HD,Heritage Deli,manager@heritagedeli.com,2026-11-30,08:00,08:30,Challah roll,12,2.75,33.00,standing weekly
WHL-2026-1130-HD,Heritage Deli,manager@heritagedeli.com,2026-11-30,08:00,08:30,Rugelach,6,4.50,27.00,standing weekly
WHL-2026-1130-HD,Heritage Deli,manager@heritagedeli.com,2026-11-30,08:00,08:30,Chocolate babka,4,18.00,72.00,standing weekly
WHL-2026-1202-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-02,07:00,07:30,Country sourdough loaf,6,7.50,45.00,standing weekly
WHL-2026-1202-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-02,07:00,07:30,Butter croissant,12,3.25,39.00,standing weekly
WHL-2026-1202-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-02,07:00,07:30,Kouign-amann,6,4.00,24.00,standing weekly
WHL-2026-1202-CN,Cafe Nostalgia,orders.tatiana@gmail.com,2026-12-02,07:00,07:30,Lemon square,8,3.50,28.00,standing weekly
WHL-2026-1202-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-02,07:30,08:00,Cranberry orange loaf,4,9.50,38.00,standing weekly
WHL-2026-1202-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-02,07:30,08:00,Cinnamon scone,6,3.75,22.50,standing weekly
WHL-2026-1202-BB,Brownstone Bookshop Cafe,orders@brownstonebookshop.com,2026-12-02,07:30,08:00,Chocolate chip cookie,10,2.50,25.00,standing weekly
